abundance,count,cumulative,cumulative_fraction
244,2254,263617871,0.996
245,2247,263620118,0.996
246,2229,263622347,0.996
247,2117,263624464,0.996
248,2114,263626578,0.996
249,2160,263628738,0.996
250,2142,263630880,0.996
251,2092,263632972,0.996
252,2089,263635061,0.996
253,2073,263637134,0.996
254,2082,263639216,0.996
255,1984,263641200,0.996
256,2085,263643285,0.996
257,2043,263645328,0.996
258,2076,263647404,0.996
259,2071,263649475,0.996
260,2057,263651532,0.996
261,2098,263653630,0.996
262,1982,263655612,0.996
263,2053,263657665,0.996
264,2057,263659722,0.996
265,2077,263661799,0.996
266,2089,263663888,0.996
267,2013,263665901,0.996
268,2063,263667964,0.996
269,1973,263669937,0.996
270,2045,263671982,0.996
271,2050,263674032,0.996
272,2087,263676119,0.996
273,2086,263678205,0.996
274,2151,263680356,0.996
275,2088,263682444,0.996
276,2133,263684577,0.996
277,2059,263686636,0.996
278,2141,263688777,0.996
279,2178,263690955,0.996
280,2117,263693072,0.996
281,2275,263695347,0.996
282,2145,263697492,0.996
283,2106,263699598,0.996
284,2057,263701655,0.996
285,2002,263703657,0.996
286,2069,263705726,0.996
287,2042,263707768,0.996
288,2051,263709819,0.996
289,2026,263711845,0.996
290,2022,263713867,0.996
291,2081,263715948,0.996
292,2051,263717999,0.996
293,2006,263720005,0.996
294,2013,263722018,0.996
295,2013,263724031,0.996
296,2085,263726116,0.996
297,2004,263728120,0.996
298,2048,263730168,0.996
299,1968,263732136,0.996
300,1978,263734114,0.996
301,1881,263735995,0.996
302,1960,263737955,0.996
303,1871,263739826,0.996
304,1927,263741753,0.996
305,1865,263743618,0.996
306,1908,263745526,0.996
307,1893,263747419,0.996
308,1931,263749350,0.996
309,1828,263751178,0.996
310,1896,263753074,0.996
311,1883,263754957,0.996
312,1861,263756818,0.996
313,1796,263758614,0.996
314,1888,263760502,0.996
315,1800,263762302,0.996
316,1778,263764080,0.996
317,1779,263765859,0.996
318,1768,263767627,0.996
319,1740,263769367,0.996
320,1682,263771049,0.996
321,1675,263772724,0.996
322,1825,263774549,0.996
323,1796,263776345,0.996
324,1658,263778003,0.996
325,1693,263779696,0.996
326,1696,263781392,0.996
327,1702,263783094,0.996
328,1714,263784808,0.996
329,1692,263786500,0.996
330,1715,263788215,0.996
331,1717,263789932,0.996
332,1704,263791636,0.996
333,1629,263793265,0.996
334,1728,263794993,0.996
335,1614,263796607,0.996
336,1633,263798240,0.997
337,1659,263799899,0.997
338,1590,263801489,0.997
339,1579,263803068,0.997
340,1589,263804657,0.997
341,1626,263806283,0.997
342,1534,263807817,0.997
343,1561,263809378,0.997
344,1494,263810872,0.997
345,1458,263812330,0.997
346,1470,263813800,0.997
347,1482,263815282,0.997
348,1488,263816770,0.997
349,1547,263818317,0.997
350,1518,263819835,0.997
351,1470,263821305,0.997
352,1480,263822785,0.997
353,1508,263824293,0.997
354,1545,263825838,0.997
355,1475,263827313,0.997
356,1463,263828776,0.997
357,1462,263830238,0.997
358,1487,263831725,0.997
359,1492,263833217,0.997
360,1439,263834656,0.997
361,1459,263836115,0.997
362,1466,263837581,0.997
363,1480,263839061,0.997
364,1457,263840518,0.997
365,1482,263842000,0.997
366,1525,263843525,0.997
367,1498,263845023,0.997
368,1479,263846502,0.997
369,1468,263847970,0.997
370,1440,263849410,0.997
371,1524,263850934,0.997
372,1483,263852417,0.997
373,1441,263853858,0.997
374,1430,263855288,0.997
375,1434,263856722,0.997
376,1446,263858168,0.997
377,1454,263859622,0.997
378,1420,263861042,0.997
379,1384,263862426,0.997
380,1423,263863849,0.997
381,1440,263865289,0.997
382,1409,263866698,0.997
383,1463,263868161,0.997
384,1487,263869648,0.997
385,1362,263871010,0.997
386,1413,263872423,0.997
387,1354,263873777,0.997
388,1365,263875142,0.997
389,1371,263876513,0.997
390,1308,263877821,0.997
391,1387,263879208,0.997
392,1366,263880574,0.997
393,1335,263881909,0.997
394,1314,263883223,0.997
395,1308,263884531,0.997
396,1310,263885841,0.997
397,1248,263887089,0.997
398,1294,263888383,0.997
399,1201,263889584,0.997
400,1196,263890780,0.997
401,1200,263891980,0.997
402,1201,263893181,0.997
403,1254,263894435,0.997
404,1325,263895760,0.997
405,1305,263897065,0.997
406,1274,263898339,0.997
407,1255,263899594,0.997
408,1202,263900796,0.997
409,1218,263902014,0.997
410,1165,263903179,0.997
411,1167,263904346,0.997
412,1186,263905532,0.997
413,1176,263906708,0.997
414,1180,263907888,0.997
415,1152,263909040,0.997
416,1170,263910210,0.997
417,1098,263911308,0.997
418,1180,263912488,0.997
419,1115,263913603,0.997
420,1101,263914704,0.997
421,1118,263915822,0.997
422,1107,263916929,0.997
423,1119,263918048,0.997
424,1121,263919169,0.997
425,1130,263920299,0.997
426,1069,263921368,0.997
427,1122,263922490,0.997
428,1037,263923527,0.997
429,1015,263924542,0.997
430,1094,263925636,0.997
431,1092,263926728,0.997
432,1076,263927804,0.997
433,1037,263928841,0.997
434,1034,263929875,0.997
435,1030,263930905,0.997
436,1097,263932002,0.997
437,1135,263933137,0.997
438,1009,263934146,0.997
439,1066,263935212,0.997
440,1013,263936225,0.997
441,1039,263937264,0.997
442,1029,263938293,0.997
443,1116,263939409,0.997
444,1094,263940503,0.997
445,1023,263941526,0.997
446,1065,263942591,0.997
447,1071,263943662,0.997
448,1085,263944747,0.997
449,1063,263945810,0.997
450,1083,263946893,0.997
451,1101,263947994,0.997
452,1080,263949074,0.997
453,1099,263950173,0.997
454,1107,263951280,0.997
455,1028,263952308,0.997
456,1109,263953417,0.997
457,1021,263954438,0.997
458,1094,263955532,0.997
459,1126,263956658,0.997
460,1096,263957754,0.997
461,1052,263958806,0.997
462,1128,263959934,0.997
463,1056,263960990,0.997
464,1057,263962047,0.997
465,1025,263963072,0.997
466,1019,263964091,0.997
467,1054,263965145,0.997
468,1025,263966170,0.997
469,1079,263967249,0.997
470,957,263968206,0.997
471,1096,263969302,0.997
472,1045,263970347,0.997
473,1109,263971456,0.997
474,1102,263972558,0.997
475,998,263973556,0.997
476,1044,263974600,0.997
477,1041,263975641,0.997
478,1113,263976754,0.997
479,1085,263977839,0.997
480,1095,263978934,0.997
481,1088,263980022,0.997
482,1073,263981095,0.997
483,1090,263982185,0.997
484,1028,263983213,0.997
485,1030,263984243,0.997
486,1027,263985270,0.997
487,1092,263986362,0.997
488,1066,263987428,0.997
489,971,263988399,0.997
490,993,263989392,0.997
491,972,263990364,0.997
492,1013,263991377,0.997
493,963,263992340,0.997
494,994,263993334,0.997
495,894,263994228,0.997
496,1015,263995243,0.997
497,893,263996136,0.997
498,947,263997083,0.997
499,946,263998029,0.997
500,940,263998969,0.997
501,934,263999903,0.997
502,922,264000825,0.997
503,942,264001767,0.997
504,946,264002713,0.997
505,864,264003577,0.997
506,947,264004524,0.997
507,944,264005468,0.997
508,918,264006386,0.997
509,909,264007295,0.997
510,915,264008210,0.997
511,889,264009099,0.997
512,857,264009956,0.997
513,894,264010850,0.997
514,840,264011690,0.997
515,825,264012515,0.997
516,827,264013342,0.997
517,798,264014140,0.997
518,776,264014916,0.997
519,778,264015694,0.997
520,779,264016473,0.997
521,770,264017243,0.997
522,776,264018019,0.997
523,722,264018741,0.997
524,756,264019497,0.997
525,695,264020192,0.997
526,764,264020956,0.997
527,709,264021665,0.997
528,730,264022395,0.997
529,705,264023100,0.997
530,735,264023835,0.997
531,699,264024534,0.997
532,740,264025274,0.997
533,642,264025916,0.997
534,663,264026579,0.997
535,648,264027227,0.997
536,667,264027894,0.997
537,648,264028542,0.997
538,681,264029223,0.997
539,627,264029850,0.997
540,643,264030493,0.997
541,656,264031149,0.997
542,639,264031788,0.997
543,634,264032422,0.997
544,618,264033040,0.997
545,659,264033699,0.997
546,629,264034328,0.997
547,605,264034933,0.997
548,626,264035559,0.997
549,610,264036169,0.997
550,598,264036767,0.997
551,638,264037405,0.997
552,613,264038018,0.997
553,612,264038630,0.997
554,599,264039229,0.997
555,587,264039816,0.997
556,620,264040436,0.997
557,609,264041045,0.997
558,610,264041655,0.997
559,633,264042288,0.997
560,602,264042890,0.997
561,605,264043495,0.997
562,650,264044145,0.997
563,606,264044751,0.997
564,611,264045362,0.997
565,586,264045948,0.997
566,590,264046538,0.997
567,662,264047200,0.997
568,642,264047842,0.997
569,622,264048464,0.997
570,633,264049097,0.997
571,620,264049717,0.997
572,596,264050313,0.997
573,626,264050939,0.997
574,639,264051578,0.997
575,613,264052191,0.997
576,672,264052863,0.997
577,629,264053492,0.997
578,575,264054067,0.997
579,590,264054657,0.997
580,582,264055239,0.997
581,591,264055830,0.997
582,601,264056431,0.997
583,637,264057068,0.997
584,579,264057647,0.997
585,605,264058252,0.997
586,552,264058804,0.997
587,536,264059340,0.997
588,529,264059869,0.997
589,549,264060418,0.997
590,553,264060971,0.997
591,503,264061474,0.997
592,551,264062025,0.997
593,512,264062537,0.998
594,518,264063055,0.998
595,529,264063584,0.998
596,559,264064143,0.998
597,515,264064658,0.998
598,505,264065163,0.998
599,540,264065703,0.998
600,525,264066228,0.998
601,545,264066773,0.998
602,529,264067302,0.998
603,501,264067803,0.998
604,505,264068308,0.998
605,535,264068843,0.998
606,519,264069362,0.998
607,521,264069883,0.998
608,544,264070427,0.998
609,531,264070958,0.998
610,508,264071466,0.998
611,504,264071970,0.998
612,482,264072452,0.998
613,434,264072886,0.998
614,489,264073375,0.998
615,460,264073835,0.998
616,472,264074307,0.998
617,450,264074757,0.998
618,446,264075203,0.998
619,446,264075649,0.998
620,483,264076132,0.998
621,491,264076623,0.998
622,454,264077077,0.998
623,452,264077529,0.998
624,489,264078018,0.998
625,484,264078502,0.998
626,479,264078981,0.998
627,443,264079424,0.998
628,492,264079916,0.998
629,490,264080406,0.998
630,459,264080865,0.998
631,506,264081371,0.998
632,473,264081844,0.998
633,493,264082337,0.998
634,456,264082793,0.998
635,506,264083299,0.998
636,484,264083783,0.998
637,482,264084265,0.998
638,458,264084723,0.998
639,451,264085174,0.998
640,457,264085631,0.998
641,505,264086136,0.998
642,430,264086566,0.998
643,431,264086997,0.998
644,484,264087481,0.998
645,438,264087919,0.998
646,505,264088424,0.998
647,422,264088846,0.998
648,456,264089302,0.998
649,405,264089707,0.998
650,410,264090117,0.998
651,421,264090538,0.998
652,434,264090972,0.998
653,459,264091431,0.998
654,426,264091857,0.998
655,423,264092280,0.998
656,449,264092729,0.998
657,459,264093188,0.998
658,463,264093651,0.998
659,439,264094090,0.998
660,486,264094576,0.998
661,440,264095016,0.998
662,494,264095510,0.998
663,433,264095943,0.998
664,424,264096367,0.998
665,426,264096793,0.998
666,409,264097202,0.998
667,429,264097631,0.998
668,424,264098055,0.998
669,409,264098464,0.998
670,408,264098872,0.998
671,382,264099254,0.998
672,378,264099632,0.998
673,389,264100021,0.998
674,369,264100390,0.998
675,369,264100759,0.998
676,395,264101154,0.998
677,374,264101528,0.998
678,391,264101919,0.998
679,357,264102276,0.998
680,364,264102640,0.998
681,357,264102997,0.998
682,367,264103364,0.998
683,325,264103689,0.998
684,353,264104042,0.998
685,307,264104349,0.998
686,297,264104646,0.998
687,344,264104990,0.998
688,308,264105298,0.998
689,307,264105605,0.998
690,301,264105906,0.998
691,267,264106173,0.998
692,316,264106489,0.998
693,314,264106803,0.998
694,283,264107086,0.998
695,307,264107393,0.998
696,311,264107704,0.998
697,334,264108038,0.998
698,295,264108333,0.998
699,296,264108629,0.998
700,288,264108917,0.998
701,303,264109220,0.998
702,286,264109506,0.998
703,300,264109806,0.998
704,300,264110106,0.998
705,287,264110393,0.998
706,301,264110694,0.998
707,292,264110986,0.998
708,309,264111295,0.998
709,277,264111572,0.998
710,259,264111831,0.998
711,327,264112158,0.998
712,279,264112437,0.998
713,324,264112761,0.998
714,289,264113050,0.998
715,322,264113372,0.998
716,288,264113660,0.998
717,254,264113914,0.998
718,278,264114192,0.998
719,280,264114472,0.998
720,308,264114780,0.998
721,254,264115034,0.998
722,282,264115316,0.998
723,290,264115606,0.998
724,270,264115876,0.998
725,310,264116186,0.998
726,257,264116443,0.998
727,292,264116735,0.998
728,283,264117018,0.998
729,329,264117347,0.998
730,275,264117622,0.998
731,284,264117906,0.998
732,312,264118218,0.998
733,280,264118498,0.998
734,294,264118792,0.998
735,311,264119103,0.998
736,266,264119369,0.998
737,280,264119649,0.998
738,312,264119961,0.998
739,273,264120234,0.998
740,266,264120500,0.998
741,272,264120772,0.998
742,270,264121042,0.998
743,305,264121347,0.998
744,281,264121628,0.998
745,254,264121882,0.998
746,284,264122166,0.998
747,245,264122411,0.998
748,300,264122711,0.998
749,287,264122998,0.998
750,291,264123289,0.998
751,290,264123579,0.998
752,278,264123857,0.998
753,265,264124122,0.998
754,267,264124389,0.998
755,258,264124647,0.998
756,297,264124944,0.998
757,297,264125241,0.998
758,255,264125496,0.998
759,283,264125779,0.998
760,285,264126064,0.998
761,297,264126361,0.998
762,297,264126658,0.998
763,255,264126913,0.998
764,266,264127179,0.998
765,264,264127443,0.998
766,293,264127736,0.998
767,253,264127989,0.998
768,287,264128276,0.998
769,256,264128532,0.998
770,249,264128781,0.998
771,270,264129051,0.998
772,266,264129317,0.998
773,257,264129574,0.998
774,265,264129839,0.998
775,251,264130090,0.998
776,254,264130344,0.998
777,263,264130607,0.998
778,238,264130845,0.998
779,277,264131122,0.998
780,262,264131384,0.998
781,259,264131643,0.998
782,260,264131903,0.998
783,258,264132161,0.998
784,281,264132442,0.998
785,246,264132688,0.998
786,264,264132952,0.998
787,249,264133201,0.998
788,260,264133461,0.998
789,246,264133707,0.998
790,251,264133958,0.998
791,274,264134232,0.998
792,296,264134528,0.998
793,287,264134815,0.998
794,256,264135071,0.998
795,262,264135333,0.998
796,284,264135617,0.998
797,294,264135911,0.998
798,261,264136172,0.998
799,271,264136443,0.998
800,256,264136699,0.998
801,262,264136961,0.998
802,257,264137218,0.998
803,264,264137482,0.998
804,278,264137760,0.998
805,252,264138012,0.998
806,277,264138289,0.998
807,241,264138530,0.998
808,260,264138790,0.998
809,232,264139022,0.998
810,251,264139273,0.998
811,236,264139509,0.998
812,244,264139753,0.998
813,253,264140006,0.998
814,228,264140234,0.998
815,223,264140457,0.998
816,243,264140700,0.998
817,222,264140922,0.998
818,214,264141136,0.998
819,247,264141383,0.998
820,219,264141602,0.998
821,229,264141831,0.998
822,240,264142071,0.998
823,245,264142316,0.998
824,256,264142572,0.998
825,234,264142806,0.998
826,220,264143026,0.998
827,281,264143307,0.998
828,265,264143572,0.998
829,263,264143835,0.998
830,236,264144071,0.998
831,251,264144322,0.998
832,272,264144594,0.998
833,270,264144864,0.998
834,263,264145127,0.998
835,227,264145354,0.998
836,230,264145584,0.998
837,239,264145823,0.998
838,219,264146042,0.998
839,240,264146282,0.998
840,181,264146463,0.998
841,251,264146714,0.998
842,234,264146948,0.998
843,234,264147182,0.998
844,225,264147407,0.998
845,229,264147636,0.998
846,233,264147869,0.998
847,228,264148097,0.998
848,228,264148325,0.998
849,225,264148550,0.998
850,224,264148774,0.998
851,242,264149016,0.998
852,235,264149251,0.998
853,228,264149479,0.998
854,228,264149707,0.998
855,219,264149926,0.998
856,217,264150143,0.998
857,217,264150360,0.998
858,199,264150559,0.998
859,212,264150771,0.998
860,212,264150983,0.998
861,208,264151191,0.998
862,194,264151385,0.998
863,216,264151601,0.998
864,229,264151830,0.998
865,232,264152062,0.998
866,208,264152270,0.998
867,198,264152468,0.998
868,209,264152677,0.998
869,215,264152892,0.998
870,206,264153098,0.998
871,233,264153331,0.998
872,229,264153560,0.998
873,195,264153755,0.998
874,221,264153976,0.998
875,230,264154206,0.998
876,217,264154423,0.998
877,200,264154623,0.998
878,224,264154847,0.998
879,231,264155078,0.998
880,176,264155254,0.998
881,211,264155465,0.998
882,227,264155692,0.998
883,194,264155886,0.998
884,202,264156088,0.998
885,203,264156291,0.998
886,200,264156491,0.998
887,176,264156667,0.998
888,176,264156843,0.998
889,194,264157037,0.998
890,190,264157227,0.998
891,174,264157401,0.998
892,211,264157612,0.998
893,180,264157792,0.998
894,212,264158004,0.998
895,183,264158187,0.998
896,185,264158372,0.998
897,191,264158563,0.998
898,204,264158767,0.998
899,206,264158973,0.998
900,203,264159176,0.998
901,188,264159364,0.998
902,176,264159540,0.998
903,191,264159731,0.998
904,189,264159920,0.998
905,196,264160116,0.998
906,181,264160297,0.998
907,189,264160486,0.998
908,185,264160671,0.998
909,208,264160879,0.998
910,201,264161080,0.998
911,187,264161267,0.998
912,195,264161462,0.998
913,185,264161647,0.998
