abundance,count,cumulative,cumulative_fraction
0,0,0,0.0
1,232724693,232724693,0.8
2,20653356,253378049,0.871
3,9524914,262902963,0.904
4,5740395,268643358,0.924
5,3770144,272413502,0.937
6,2664922,275078424,0.946
7,1971019,277049443,0.953
8,1505824,278555267,0.958
9,1182500,279737767,0.962
10,956102,280693869,0.965
11,785874,281479743,0.968
12,659913,282139656,0.97
13,561336,282700992,0.972
14,483819,283184811,0.974
15,418839,283603650,0.975
16,370192,283973842,0.977
17,331665,284305507,0.978
18,299050,284604557,0.979
19,272624,284877181,0.98
20,244169,285121350,0.981
21,218750,285340100,0.981
22,195784,285535884,0.982
23,177289,285713173,0.983
24,162988,285876161,0.983
25,150126,286026287,0.984
26,139450,286165737,0.984
27,129649,286295386,0.985
28,120996,286416382,0.985
29,112812,286529194,0.985
30,105668,286634862,0.986
31,99558,286734420,0.986
32,92647,286827067,0.986
33,87258,286914325,0.987
34,81773,286996098,0.987
35,76219,287072317,0.987
36,72041,287144358,0.988
37,67161,287211519,0.988
38,63110,287274629,0.988
39,60108,287334737,0.988
40,56349,287391086,0.988
41,53385,287444471,0.989
42,51727,287496198,0.989
43,49797,287545995,0.989
44,47096,287593091,0.989
45,45290,287638381,0.989
46,42759,287681140,0.989
47,41184,287722324,0.99
48,39321,287761645,0.99
49,37666,287799311,0.99
50,35857,287835168,0.99
51,34802,287869970,0.99
52,33583,287903553,0.99
53,32792,287936345,0.99
54,31646,287967991,0.99
55,30956,287998947,0.991
56,29325,288028272,0.991
57,28683,288056955,0.991
58,28109,288085064,0.991
59,27302,288112366,0.991
60,26832,288139198,0.991
61,25979,288165177,0.991
62,25678,288190855,0.991
63,24472,288215327,0.991
64,23698,288239025,0.991
65,23581,288262606,0.991
66,22891,288285497,0.992
67,22498,288307995,0.992
68,21915,288329910,0.992
69,21140,288351050,0.992
70,20571,288371621,0.992
71,20182,288391803,0.992
72,19519,288411322,0.992
73,19352,288430674,0.992
74,18866,288449540,0.992
75,18398,288467938,0.992
76,18068,288486006,0.992
77,17468,288503474,0.992
78,17243,288520717,0.992
79,16975,288537692,0.992
80,16581,288554273,0.992
81,16118,288570391,0.992
82,15781,288586172,0.993
