abundance,count,cumulative,cumulative_fraction
0,0,0,0.0
1,211038272,211038272,0.787
2,20084059,231122331,0.862
3,9280712,240403043,0.897
4,5596569,245999612,0.918
5,3679064,249678676,0.932
6,2596295,252274971,0.941
7,1910926,254185897,0.948
8,1464771,255650668,0.954
9,1158692,256809360,0.958
10,936304,257745664,0.962
11,776344,258522008,0.965
12,648517,259170525,0.967
13,550217,259720742,0.969
14,478295,260199037,0.971
15,413424,260612461,0.972
16,369837,260982298,0.974
17,332046,261314344,0.975
18,301444,261615788,0.976
19,278191,261893979,0.977
20,248500,262142479,0.978
21,223921,262366400,0.979
22,201394,262567794,0.98
23,182235,262750029,0.98
24,168004,262918033,0.981
25,154101,263072134,0.982
26,142910,263215044,0.982
27,131734,263346778,0.983
28,123456,263470234,0.983
29,115184,263585418,0.983
30,108857,263694275,0.984
31,102152,263796427,0.984
32,96751,263893178,0.985
33,90473,263983651,0.985
34,85610,264069261,0.985
35,80580,264149841,0.986
36,76416,264226257,0.986
37,71805,264298062,0.986
38,68449,264366511,0.986
39,64742,264431253,0.987
40,61117,264492370,0.987
41,58679,264551049,0.987
42,56477,264607526,0.987
43,53745,264661271,0.987
44,51678,264712949,0.988
45,49127,264762076,0.988
46,46481,264808557,0.988
47,44501,264853058,0.988
48,42875,264895933,0.988
49,41524,264937457,0.989
50,39420,264976877,0.989
51,38016,265014893,0.989
52,36807,265051700,0.989
53,35348,265087048,0.989
54,34867,265121915,0.989
55,33609,265155524,0.989
56,32256,265187780,0.989
57,31536,265219316,0.99
58,30256,265249572,0.99
59,29079,265278651,0.99
60,28681,265307332,0.99
61,27556,265334888,0.99
62,27227,265362115,0.99
63,26487,265388602,0.99
64,25620,265414222,0.99
65,25293,265439515,0.99
66,24395,265463910,0.99
67,23492,265487402,0.991
68,22908,265510310,0.991
69,22488,265532798,0.991
70,22094,265554892,0.991
71,20883,265575775,0.991
72,20501,265596276,0.991
73,20060,265616336,0.991
74,19317,265635653,0.991
75,18939,265654592,0.991
76,18733,265673325,0.991
77,18302,265691627,0.991
78,17947,265709574,0.991
79,17612,265727186,0.991
80,17562,265744748,0.992
81,17295,265762043,0.992
82,17084,265779127,0.992
83,16543,265795670,0.992
84,16201,265811871,0.992
85,16034,265827905,0.992
86,15720,265843625,0.992
87,15688,265859313,0.992
88,15175,265874488,0.992
89,15300,265889788,0.992
90,14801,265904589,0.992
91,14814,265919403,0.992
92,14187,265933590,0.992
93,13871,265947461,0.992
94,13771,265961232,0.992
95,13498,265974730,0.992
96,13215,265987945,0.992
97,13117,266001062,0.992
98,12956,266014018,0.993
99,12375,266026393,0.993
100,12398,266038791,0.993
101,12063,266050854,0.993
102,11932,266062786,0.993
103,11759,266074545,0.993
104,11515,266086060,0.993
105,11264,266097324,0.993
106,11059,266108383,0.993
107,10720,266119103,0.993
108,10747,266129850,0.993
109,10520,266140370,0.993
110,10312,266150682,0.993
111,10142,266160824,0.993
112,9942,266170766,0.993
113,9776,266180542,0.993
114,9849,266190391,0.993
115,9865,266200256,0.993
116,9698,266209954,0.993
117,9558,266219512,0.993
118,9503,266229015,0.993
119,9411,266238426,0.993
120,9497,266247923,0.993
121,9222,266257145,0.993
122,9046,266266191,0.993
123,9013,266275204,0.993
124,8992,266284196,0.994
125,8816,266293012,0.994
126,8965,266301977,0.994
127,8676,266310653,0.994
128,8758,266319411,0.994
129,8490,266327901,0.994
130,8542,266336443,0.994
131,8371,266344814,0.994
132,8313,266353127,0.994
133,8154,266361281,0.994
134,8003,266369284,0.994
135,8200,266377484,0.994
136,8147,266385631,0.994
137,7971,266393602,0.994
138,8002,266401604,0.994
