abundance,count,cumulative,cumulative_fraction
0,0,0,0.0
1,411608497,411608497,0.71
2,39712555,451321052,0.778
3,18669885,469990937,0.811
4,12279467,482270404,0.832
5,8874449,491144853,0.847
6,6946089,498090942,0.859
7,5653024,503743966,0.869
8,4735995,508479961,0.877
9,4056255,512536216,0.884
10,3495662,516031878,0.89
11,3043567,519075445,0.895
12,2651680,521727125,0.9
13,2323080,524050205,0.904
14,2043638,526093843,0.907
15,1808880,527902723,0.91
16,1633336,529536059,0.913
17,1485329,531021388,0.916
18,1378925,532400313,0.918
19,1311073,533711386,0.92
20,1225732,534937118,0.922
21,1153496,536090614,0.924
22,1092807,537183421,0.926
23,1048837,538232258,0.928
24,1008077,539240335,0.93
25,969953,540210288,0.932
26,933045,541143333,0.933
27,904881,542048214,0.935
28,875456,542923670,0.936
29,842884,543766554,0.938
30,817770,544584324,0.939
31,781313,545365637,0.94
32,749982,546115619,0.942
33,715483,546831102,0.943
34,682118,547513220,0.944
35,649722,548162942,0.945
36,622076,548785018,0.946
37,593202,549378220,0.947
38,563528,549941748,0.948
39,537259,550479007,0.949
40,512067,550991074,0.95
41,489387,551480461,0.951
42,473736,551954197,0.952
43,460796,552414993,0.953
44,443862,552858855,0.953
45,429761,553288616,0.954
46,421708,553710324,0.955
47,413510,554123834,0.956
48,408855,554532689,0.956
49,403316,554936005,0.957
50,402485,555338490,0.958
51,401086,555739576,0.958
52,403966,556143542,0.959
53,408137,556551679,0.96
54,409981,556961660,0.96
55,414181,557375841,0.961
56,418814,557794655,0.962
57,421749,558216404,0.963
58,426910,558643314,0.963
59,432314,559075628,0.964
60,437560,559513188,0.965
61,441691,559954879,0.966
62,447133,560402012,0.966
63,447288,560849300,0.967
64,449900,561299200,0.968
65,451679,561750879,0.969
66,451364,562202243,0.97
67,447436,562649679,0.97
68,442850,563092529,0.971
69,438280,563530809,0.972
70,432790,563963599,0.973
71,426146,564389745,0.973
72,422223,564811968,0.974
73,412595,565224563,0.975
74,405055,565629618,0.975
75,395986,566025604,0.976
76,384638,566410242,0.977
77,372763,566783005,0.977
78,362173,567145178,0.978
79,350412,567495590,0.979
80,337813,567833403,0.979
81,324711,568158114,0.98
82,311677,568469791,0.98
83,299198,568768989,0.981
84,286304,569055293,0.981
85,272063,569327356,0.982
86,259187,569586543,0.982
87,243917,569830460,0.983
88,232065,570062525,0.983
89,219755,570282280,0.983
90,208909,570491189,0.984
91,195732,570686921,0.984
92,183721,570870642,0.984
93,172351,571042993,0.985
94,161714,571204707,0.985
95,152452,571357159,0.985
96,142599,571499758,0.986
97,133310,571633068,0.986
98,124698,571757766,0.986
99,116544,571874310,0.986
100,110498,571984808,0.986
101,103341,572088149,0.987
102,96039,572184188,0.987
103,91225,572275413,0.987
104,85127,572360540,0.987
105,79592,572440132,0.987
106,76083,572516215,0.987
107,71104,572587319,0.987
108,67135,572654454,0.988
109,63390,572717844,0.988
110,60211,572778055,0.988
111,57131,572835186,0.988
112,54202,572889388,0.988
113,52376,572941764,0.988
114,50473,572992237,0.988
115,48959,573041196,0.988
116,46966,573088162,0.988
117,45915,573134077,0.988
118,44826,573178903,0.988
119,43562,573222465,0.989
120,42444,573264909,0.989
121,41664,573306573,0.989
122,40431,573347004,0.989
123,39612,573386616,0.989
124,39340,573425956,0.989
125,38407,573464363,0.989
126,37829,573502192,0.989
127,37733,573539925,0.989
128,37299,573577224,0.989
129,36905,573614129,0.989
130,36802,573650931,0.989
131,36652,573687583,0.989
132,36848,573724431,0.989
133,36682,573761113,0.989
134,36436,573797549,0.99
135,36070,573833619,0.99
136,36113,573869732,0.99
137,35625,573905357,0.99
138,35871,573941228,0.99
139,35957,573977185,0.99
140,35462,574012647,0.99
141,35411,574048058,0.99
142,35120,574083178,0.99
143,35284,574118462,0.99
144,35102,574153564,0.99
145,34855,574188419,0.99
146,34806,574223225,0.99
147,34168,574257393,0.99
148,34533,574291926,0.99
149,34294,574326220,0.99
150,33931,574360151,0.99
151,33991,574394142,0.991
152,33808,574427950,0.991
153,33448,574461398,0.991
154,33407,574494805,0.991
155,33365,574528170,0.991
156,32886,574561056,0.991
157,33175,574594231,0.991
158,33186,574627417,0.991
159,33299,574660716,0.991
160,32950,574693666,0.991
161,32852,574726518,0.991
162,32593,574759111,0.991
163,32617,574791728,0.991
164,32219,574823947,0.991
165,32614,574856561,0.991
166,32425,574888986,0.991
167,32213,574921199,0.991
168,32295,574953494,0.992
169,32428,574985922,0.992
170,32507,575018429,0.992
171,32436,575050865,0.992
172,32078,575082943,0.992
173,32335,575115278,0.992
174,32567,575147845,0.992
175,32377,575180222,0.992
176,32351,575212573,0.992
177,32939,575245512,0.992
178,32378,575277890,0.992
179,32250,575310140,0.992
180,32073,575342213,0.992
181,32171,575374384,0.992
182,32493,575406877,0.992
183,32502,575439379,0.992
184,32681,575472060,0.992
185,32860,575504920,0.992
186,32885,575537805,0.993
187,32694,575570499,0.993
188,32574,575603073,0.993
189,32181,575635254,0.993
190,32358,575667612,0.993
191,32446,575700058,0.993
192,32188,575732246,0.993
193,32360,575764606,0.993
194,32527,575797133,0.993
195,32405,575829538,0.993
196,32205,575861743,0.993
197,31495,575893238,0.993
198,31473,575924711,0.993
199,31481,575956192,0.993
200,31108,575987300,0.993
201,31014,576018314,0.993
