abundance,count,cumulative,cumulative_fraction
0,0,0,0.0
1,487474126,487474126,0.733
2,41211714,528685840,0.795
3,18955356,547641196,0.824
4,12721099,560362295,0.843
5,9466189,569828484,0.857
6,7668090,577496574,0.868
7,6363279,583859853,0.878
8,5377331,589237184,0.886
9,4533140,593770324,0.893
10,3827031,597597355,0.899
11,3250150,600847505,0.904
12,2763566,603611071,0.908
13,2388094,605999165,0.911
14,2080071,608079236,0.914
15,1861055,609940291,0.917
16,1685207,611625498,0.92
17,1562707,613188205,0.922
18,1480546,614668751,0.924
19,1427165,616095916,0.926
20,1334979,617430895,0.928
21,1255553,618686448,0.93
22,1188229,619874677,0.932
23,1118399,620993076,0.934
24,1056785,622049861,0.935
25,1002764,623052625,0.937
26,956438,624009063,0.938
27,907733,624916796,0.94
28,863347,625780143,0.941
29,816105,626596248,0.942
30,773159,627369407,0.943
31,734408,628103815,0.945
32,701968,628805783,0.946
33,671194,629476977,0.947
34,641778,630118755,0.948
35,617474,630736229,0.948
36,596628,631332857,0.949
37,575540,631908397,0.95
38,558106,632466503,0.951
39,548377,633014880,0.952
40,535569,633550449,0.953
41,530435,634080884,0.953
42,526652,634607536,0.954
43,525153,635132689,0.955
44,524876,635657565,0.956
45,527197,636184762,0.957
46,528536,636713298,0.957
47,530162,637243460,0.958
48,534266,637777726,0.959
49,537199,638314925,0.96
50,542212,638857137,0.961
51,548634,639405771,0.962
52,555386,639961157,0.962
53,557323,640518480,0.963
54,559575,641078055,0.964
55,560639,641638694,0.965
56,564408,642203102,0.966
57,565977,642769079,0.967
58,566007,643335086,0.967
59,566026,643901112,0.968
60,565787,644466899,0.969
61,557768,645024667,0.97
62,552901,645577568,0.971
63,546525,646124093,0.972
64,536263,646660356,0.972
65,530089,647190445,0.973
66,520298,647710743,0.974
67,508499,648219242,0.975
68,495653,648714895,0.976
69,482423,649197318,0.976
70,471217,649668535,0.977
71,454273,650122808,0.978
72,440564,650563372,0.978
73,425674,650989046,0.979
74,408866,651397912,0.98
75,394440,651792352,0.98
76,378090,652170442,0.981
77,361282,652531724,0.981
78,345608,652877332,0.982
79,330263,653207595,0.982
80,314922,653522517,0.983
81,300630,653823147,0.983
82,284914,654108061,0.984
83,268962,654377023,0.984
84,254113,654631136,0.984
85,240205,654871341,0.985
86,226100,655097441,0.985
87,212542,655309983,0.985
88,199599,655509582,0.986
89,185259,655694841,0.986
90,173885,655868726,0.986
91,162224,656030950,0.987
92,150732,656181682,0.987
93,141964,656323646,0.987
94,133578,656457224,0.987
95,125005,656582229,0.987
96,115947,656698176,0.988
97,108459,656806635,0.988
98,102068,656908703,0.988
99,94676,657003379,0.988
100,88392,657091771,0.988
101,83226,657174997,0.988
102,76707,657251704,0.988
103,71295,657322999,0.988
104,66811,657389810,0.989
105,63119,657452929,0.989
106,58689,657511618,0.989
107,55020,657566638,0.989
108,51590,657618228,0.989
109,49368,657667596,0.989
110,46851,657714447,0.989
111,44638,657759085,0.989
112,41575,657800660,0.989
113,39450,657840110,0.989
114,37898,657878008,0.989
115,36077,657914085,0.989
116,34034,657948119,0.989
117,32689,657980808,0.989
118,31388,658012196,0.989
