abundance,count,cumulative,cumulative_fraction
0,0,0,0.0
1,420046146,420046146,0.704
2,41764325,461810471,0.774
3,19406164,481216635,0.807
4,12734260,493950895,0.828
5,9127569,503078464,0.843
6,7148213,510226677,0.855
7,5803351,516030028,0.865
8,4869346,520899374,0.873
9,4185251,525084625,0.88
10,3647734,528732359,0.886
11,3215805,531948164,0.892
12,2843831,534791995,0.897
13,2514235,537306230,0.901
14,2227053,539533283,0.905
15,1987124,541520407,0.908
16,1770695,543291102,0.911
17,1596288,544887390,0.914
18,1469032,546356422,0.916
19,1369274,547725696,0.918
20,1265808,548991504,0.92
21,1170471,550161975,0.922
22,1095472,551257447,0.924
23,1045057,552302504,0.926
24,1001846,553304350,0.928
25,970454,554274804,0.929
26,942033,555216837,0.931
27,913329,556130166,0.932
28,889738,557019904,0.934
29,864301,557884205,0.935
30,843862,558728067,0.937
31,815516,559543583,0.938
32,787345,560330928,0.939
33,759860,561090788,0.941
34,728925,561819713,0.942
35,700659,562520372,0.943
36,669380,563189752,0.944
37,641809,563831561,0.945
38,612714,564444275,0.946
39,585339,565029614,0.947
40,558882,565588496,0.948
41,535348,566123844,0.949
42,511569,566635413,0.95
43,486259,567121672,0.951
44,463991,567585663,0.952
45,444164,568029827,0.952
46,427852,568457679,0.953
47,412759,568870438,0.954
48,398567,569269005,0.954
49,384236,569653241,0.955
50,374306,570027547,0.956
51,366516,570394063,0.956
52,358247,570752310,0.957
53,352656,571104966,0.957
54,349670,571454636,0.958
55,348001,571802637,0.959
56,347653,572150290,0.959
57,347193,572497483,0.96
58,346948,572844431,0.96
59,352298,573196729,0.961
60,355847,573552576,0.962
61,360378,573912954,0.962
62,364833,574277787,0.963
63,370496,574648283,0.963
64,375445,575023728,0.964
65,379899,575403627,0.965
66,384062,575787689,0.965
67,389388,576177077,0.966
68,392500,576569577,0.967
69,395801,576965378,0.967
70,397708,577363086,0.968
71,401554,577764640,0.969
72,401242,578165882,0.969
73,400837,578566719,0.97
74,399514,578966233,0.971
75,399550,579365783,0.971
76,397996,579763779,0.972
77,394778,580158557,0.973
78,391442,580549999,0.973
79,385893,580935892,0.974
80,380179,581316071,0.975
81,376342,581692413,0.975
82,369225,582061638,0.976
83,361226,582422864,0.976
84,351594,582774458,0.977
85,344634,583119092,0.978
86,336476,583455568,0.978
87,326852,583782420,0.979
88,317068,584099488,0.979
89,306262,584405750,0.98
90,295664,584701414,0.98
91,284813,584986227,0.981
92,274589,585260816,0.981
93,262891,585523707,0.982
94,252211,585775918,0.982
95,240641,586016559,0.982
96,228665,586245224,0.983
97,218459,586463683,0.983
98,207797,586671480,0.984
99,197653,586869133,0.984
100,188214,587057347,0.984
101,179435,587236782,0.985
102,169596,587406378,0.985
103,159976,587566354,0.985
104,151813,587718167,0.985
105,143601,587861768,0.986
106,135502,587997270,0.986
107,127846,588125116,0.986
108,121093,588246209,0.986
109,114038,588360247,0.986
110,107565,588467812,0.987
111,100559,588568371,0.987
112,94878,588663249,0.987
113,90008,588753257,0.987
114,85759,588839016,0.987
115,80192,588919208,0.987
116,75898,588995106,0.987
117,72148,589067254,0.988
118,68674,589135928,0.988
119,65280,589201208,0.988
120,62328,589263536,0.988
121,59515,589323051,0.988
122,57321,589380372,0.988
123,54692,589435064,0.988
124,51999,589487063,0.988
125,50121,589537184,0.988
126,48267,589585451,0.988
127,46575,589632026,0.989
128,45763,589677789,0.989
129,44455,589722244,0.989
130,43755,589765999,0.989
131,42405,589808404,0.989
132,41374,589849778,0.989
133,40442,589890220,0.989
134,39778,589929998,0.989
135,39161,589969159,0.989
136,38617,590007776,0.989
137,37771,590045547,0.989
138,37196,590082743,0.989
139,37028,590119771,0.989
140,36528,590156299,0.989
141,36283,590192582,0.989
142,35995,590228577,0.99
143,36009,590264586,0.99
144,35270,590299856,0.99
145,35060,590334916,0.99
146,34478,590369394,0.99
147,33898,590403292,0.99
148,33467,590436759,0.99
149,33764,590470523,0.99
150,33350,590503873,0.99
151,33054,590536927,0.99
152,32851,590569778,0.99
153,32532,590602310,0.99
154,32331,590634641,0.99
155,32394,590667035,0.99
156,32077,590699112,0.99
157,31654,590730766,0.99
158,32259,590763025,0.99
159,32024,590795049,0.99
160,31788,590826837,0.991
161,31905,590858742,0.991
162,31647,590890389,0.991
163,31321,590921710,0.991
164,30982,590952692,0.991
165,31255,590983947,0.991
166,30572,591014519,0.991
167,30728,591045247,0.991
168,30556,591075803,0.991
169,30528,591106331,0.991
170,30122,591136453,0.991
171,29878,591166331,0.991
172,30161,591196492,0.991
173,29805,591226297,0.991
174,29861,591256158,0.991
175,29950,591286108,0.991
176,29942,591316050,0.991
177,30027,591346077,0.991
178,29925,591376002,0.991
179,29549,591405551,0.992
180,29699,591435250,0.992
181,29634,591464884,0.992
182,29463,591494347,0.992
183,29419,591523766,0.992
184,29526,591553292,0.992
185,29200,591582492,0.992
186,29729,591612221,0.992
187,29332,591641553,0.992
188,29552,591671105,0.992
189,29521,591700626,0.992
190,29622,591730248,0.992
191,29832,591760080,0.992
192,29666,591789746,0.992
193,29706,591819452,0.992
194,29922,591849374,0.992
195,29383,591878757,0.992
196,29641,591908398,0.992
197,30047,591938445,0.992
198,30148,591968593,0.992
199,30025,591998618,0.993
200,29984,592028602,0.993
201,29764,592058366,0.993
202,29656,592088022,0.993
203,29713,592117735,0.993
204,29644,592147379,0.993
205,29495,592176874,0.993
206,29833,592206707,0.993
207,29478,592236185,0.993
208,29590,592265775,0.993
209,29688,592295463,0.993
210,29405,592324868,0.993
211,29848,592354716,0.993
212,29539,592384255,0.993
213,29366,592413621,0.993
214,29225,592442846,0.993
215,29179,592472025,0.993
216,28994,592501019,0.993
217,28593,592529612,0.993
218,28806,592558418,0.993
219,27811,592586229,0.993
220,27806,592614035,0.994
221,27541,592641576,0.994
222,27512,592669088,0.994
223,27460,592696548,0.994
224,27420,592723968,0.994
225,27138,592751106,0.994
226,27229,592778335,0.994
227,26769,592805104,0.994
228,26625,592831729,0.994
229,26379,592858108,0.994
230,26101,592884209,0.994
231,26105,592910314,0.994
232,25804,592936118,0.994
233,25531,592961649,0.994
234,25114,592986763,0.994
235,25170,593011933,0.994
236,24622,593036555,0.994
237,24108,593060663,0.994
238,24253,593084916,0.994
239,23869,593108785,0.994
240,23768,593132553,0.994
241,22863,593155416,0.994
242,23063,593178479,0.994
243,22398,593200877,0.995
244,21975,593222852,0.995
245,21558,593244410,0.995
246,21302,593265712,0.995
247,21115,593286827,0.995
248,20740,593307567,0.995
249,20507,593328074,0.995
250,19951,593348025,0.995
251,19615,593367640,0.995
252,19209,593386849,0.995
253,18816,593405665,0.995
254,18427,593424092,0.995
255,18324,593442416,0.995
256,17943,593460359,0.995
257,17363,593477722,0.995
258,17214,593494936,0.995
259,16694,593511630,0.995
260,16611,593528241,0.995
261,16165,593544406,0.995
262,15677,593560083,0.995
263,15366,593575449,0.995
264,15266,593590715,0.995
265,14762,593605477,0.995
266,14621,593620098,0.995
267,14244,593634342,0.995
268,13977,593648319,0.995
269,13826,593662145,0.995
270,13354,593675499,0.995
271,12888,593688387,0.995
272,12850,593701237,0.995
273,12403,593713640,0.995
274,12100,593725740,0.995
275,12325,593738065,0.995
276,11874,593749939,0.995
277,11614,593761553,0.995
278,11523,593773076,0.995
279,10999,593784075,0.996
280,10888,593794963,0.996
