abundance,count,cumulative,cumulative_fraction
0,0,0,0.0
1,463181576,463181576,0.732
2,39426290,502607866,0.794
3,18256461,520864327,0.823
4,12288333,533152660,0.842
5,9151985,542304645,0.857
6,7375329,549679974,0.869
7,6086237,555766211,0.878
8,5082868,560849079,0.886
9,4264900,565113979,0.893
10,3588731,568702710,0.899
11,3053089,571755799,0.903
12,2619209,574375008,0.908
13,2268713,576643721,0.911
14,2000988,578644709,0.914
15,1794418,580439127,0.917
16,1637249,582076376,0.92
17,1529289,583605665,0.922
18,1451537,585057202,0.924
19,1395653,586452855,0.927
20,1308529,587761384,0.929
21,1224788,588986172,0.931
22,1150593,590136765,0.933
23,1083933,591220698,0.934
24,1029414,592250112,0.936
25,970206,593220318,0.937
26,924184,594144502,0.939
27,878514,595023016,0.94
28,834413,595857429,0.942
29,789302,596646731,0.943
30,753751,597400482,0.944
31,721819,598122301,0.945
32,687828,598810129,0.946
33,658734,599468863,0.947
34,633573,600102436,0.948
35,614925,600717361,0.949
36,595998,601313359,0.95
37,583446,601896805,0.951
38,572311,602469116,0.952
39,562393,603031509,0.953
40,558799,603590308,0.954
41,553000,604143308,0.955
42,552078,604695386,0.956
43,549614,605245000,0.956
44,552707,605797707,0.957
45,550307,606348014,0.958
46,554341,606902355,0.959
47,556370,607458725,0.96
48,557643,608016368,0.961
49,557973,608574341,0.962
50,560728,609135069,0.963
51,563514,609698583,0.963
52,565138,610263721,0.964
53,567084,610830805,0.965
54,566934,611397739,0.966
55,562462,611960201,0.967
56,560769,612520970,0.968
57,558088,613079058,0.969
58,551927,613630985,0.97
59,547677,614178662,0.97
60,539358,614718020,0.971
61,530680,615248700,0.972
62,519817,615768517,0.973
63,510584,616279101,0.974
64,500598,616779699,0.975
65,488323,617268022,0.975
66,475371,617743393,0.976
67,461507,618204900,0.977
68,446814,618651714,0.978
69,429950,619081664,0.978
70,415187,619496851,0.979
71,398687,619895538,0.98
72,383696,620279234,0.98
73,364922,620644156,0.981
74,350701,620994857,0.981
75,333550,621328407,0.982
76,318024,621646431,0.982
77,300959,621947390,0.983
78,284551,622231941,0.983
79,269742,622501683,0.984
80,254592,622756275,0.984
81,239113,622995388,0.984
82,224939,623220327,0.985
83,213436,623433763,0.985
84,199033,623632796,0.985
85,185531,623818327,0.986
86,172200,623990527,0.986
87,160961,624151488,0.986
88,150205,624301693,0.986
89,139790,624441483,0.987
90,129992,624571475,0.987
91,121111,624692586,0.987
92,112229,624804815,0.987
93,104125,624908940,0.987
94,96626,625005566,0.988
95,89070,625094636,0.988
96,83012,625177648,0.988
97,77405,625255053,0.988
98,71430,625326483,0.988
99,67083,625393566,0.988
100,62025,625455591,0.988
