abundance,count,cumulative,cumulative_fraction
0,0,0,0.0
1,409951328,409951328,0.703
2,39681785,449633113,0.771
3,18488051,468121164,0.803
4,12389443,480510607,0.824
5,9151533,489662140,0.84
6,7345100,497007240,0.852
7,6088054,503095294,0.863
8,5136504,508231798,0.872
9,4348185,512579983,0.879
10,3713129,516293112,0.885
11,3172351,519465463,0.891
12,2721431,522186894,0.895
13,2350422,524537316,0.899
14,2062007,526599323,0.903
15,1831817,528431140,0.906
16,1641366,530072506,0.909
17,1507969,531580475,0.912
18,1401462,532981937,0.914
19,1327958,534309895,0.916
20,1241823,535551718,0.918
21,1158548,536710266,0.92
22,1095092,537805358,0.922
23,1038445,538843803,0.924
24,989203,539833006,0.926
25,949469,540782475,0.927
26,915423,541697898,0.929
27,885220,542583118,0.93
28,853564,543436682,0.932
29,823003,544259685,0.933
30,793507,545053192,0.935
31,765485,545818677,0.936
32,736312,546554989,0.937
33,709586,547264575,0.938
34,679616,547944191,0.94
35,651020,548595211,0.941
36,625072,549220283,0.942
37,600260,549820543,0.943
38,580749,550401292,0.944
39,557158,550958450,0.945
40,538734,551497184,0.946
41,521908,552019092,0.947
42,506941,552526033,0.947
43,494219,553020252,0.948
44,482428,553502680,0.949
45,475165,553977845,0.95
46,467262,554445107,0.951
47,463037,554908144,0.952
48,458683,555366827,0.952
49,457991,555824818,0.953
50,456810,556281628,0.954
51,455078,556736706,0.955
52,455128,557191834,0.955
53,456758,557648592,0.956
54,457344,558105936,0.957
55,459829,558565765,0.958
56,460067,559025832,0.959
57,462572,559488404,0.959
58,464539,559952943,0.96
59,465528,560418471,0.961
60,467826,560886297,0.962
61,468260,561354557,0.963
62,468825,561823382,0.963
63,469670,562293052,0.964
64,469043,562762095,0.965
65,468453,563230548,0.966
66,468069,563698617,0.967
67,465742,564164359,0.967
68,463788,564628147,0.968
69,458398,565086545,0.969
70,453607,565540152,0.97
71,445808,565985960,0.971
72,438420,566424380,0.971
73,433045,566857425,0.972
74,424160,567281585,0.973
75,415837,567697422,0.973
76,406863,568104285,0.974
77,396288,568500573,0.975
78,386366,568886939,0.976
79,377668,569264607,0.976
80,365065,569629672,0.977
81,353978,569983650,0.977
82,343816,570327466,0.978
83,332791,570660257,0.979
84,319793,570980050,0.979
