abundance,count,cumulative,cumulative_fraction
0,0,0,0.0
1,1170813815,1170813815,0.613
2,242088220,1412902035,0.739
3,112555034,1525457069,0.798
4,68103099,1593560168,0.834
5,45173913,1638734081,0.857
6,32974435,1671708516,0.875
7,25154438,1696862954,0.888
8,20048993,1716911947,0.898
9,16432665,1733344612,0.907
10,13796945,1747141557,0.914
11,11770423,1758911980,0.92
12,10190925,1769102905,0.926
13,8921855,1778024760,0.93
14,7865626,1785890386,0.934
15,7010714,1792901100,0.938
16,6281682,1799182782,0.941
17,5689507,1804872289,0.944
18,5218983,1810091272,0.947
19,4837671,1814928943,0.95
20,4354758,1819283701,0.952
21,3939113,1823222814,0.954
22,3580985,1826803799,0.956
23,3260821,1830064620,0.958
24,2985937,1833050557,0.959
25,2749276,1835799833,0.961
26,2543166,1838342999,0.962
27,2357860,1840700859,0.963
28,2200242,1842901101,0.964
29,2054645,1844955746,0.965
30,1923962,1846879708,0.966
31,1803590,1848683298,0.967
32,1698893,1850382191,0.968
33,1601434,1851983625,0.969
34,1508738,1853492363,0.97
35,1425355,1854917718,0.971
36,1356771,1856274489,0.971
37,1292114,1857566603,0.972
38,1226839,1858793442,0.973
39,1166846,1859960288,0.973
40,1113501,1861073789,0.974
41,1060443,1862134232,0.974
42,1014821,1863149053,0.975
43,972772,1864121825,0.975
44,931683,1865053508,0.976
45,891855,1865945363,0.976
46,855710,1866801073,0.977
47,818652,1867619725,0.977
48,787410,1868407135,0.978
49,758818,1869165953,0.978
50,728207,1869894160,0.978
51,698517,1870592677,0.979
52,672960,1871265637,0.979
53,645762,1871911399,0.979
54,624747,1872536146,0.98
55,598586,1873134732,0.98
56,578073,1873712805,0.98
57,557245,1874270050,0.981
58,538262,1874808312,0.981
59,518971,1875327283,0.981
60,499303,1875826586,0.982
61,482232,1876308818,0.982
62,465990,1876774808,0.982
63,452276,1877227084,0.982
64,438256,1877665340,0.982
65,422826,1878088166,0.983
66,412380,1878500546,0.983
67,399792,1878900338,0.983
68,387269,1879287607,0.983
69,378703,1879666310,0.984
70,368145,1880034455,0.984
71,355340,1880389795,0.984
72,349419,1880739214,0.984
73,339659,1881078873,0.984
74,331179,1881410052,0.984
75,324341,1881734393,0.985
76,316369,1882050762,0.985
77,309672,1882360434,0.985
78,303835,1882664269,0.985
79,296409,1882960678,0.985
80,287868,1883248546,0.985
81,282842,1883531388,0.986
82,276851,1883808239,0.986
83,271106,1884079345,0.986
84,264568,1884343913,0.986
85,260490,1884604403,0.986
86,255898,1884860301,0.986
87,249279,1885109580,0.986
88,242409,1885351989,0.987
89,239123,1885591112,0.987
90,233899,1885825011,0.987
91,227969,1886052980,0.987
92,223849,1886276829,0.987
93,217588,1886494417,0.987
94,214614,1886709031,0.987
95,209416,1886918447,0.987
96,205249,1887123696,0.987
97,201086,1887324782,0.988
98,197118,1887521900,0.988
99,193262,1887715162,0.988
100,189353,1887904515,0.988
101,185971,1888090486,0.988
102,182563,1888273049,0.988
103,178924,1888451973,0.988
104,175953,1888627926,0.988
105,171221,1888799147,0.988
106,167083,1888966230,0.988
107,164763,1889130993,0.988
108,161616,1889292609,0.989
109,158901,1889451510,0.989
110,155944,1889607454,0.989
111,153232,1889760686,0.989
112,151142,1889911828,0.989
113,148813,1890060641,0.989
114,146510,1890207151,0.989
115,145453,1890352604,0.989
