Sample	Contig	Mean	Trimmed Mean	Covered Bases	Variance	RPKM	TPM
aligned	UHGV-0406744	0	0	0	0	0	0
aligned	UHGV-1363965	0	0	0	0	0	0
aligned	UHGV-1363925	0	0	0	0	0	0
aligned	UHGV-2007258	0	0	0	0	0	0
aligned	UHGV-1363906	0	0	0	0	0	0
aligned	UHGV-0318370	0	0	0	0	0	0
aligned	UHGV-1375084	0	0	0	0	0	0
aligned	UHGV-0131329	0	0	0	0	0	0
aligned	UHGV-1915498	8.35107	8.231741	5211	18.930523	4.87332	113.50800195941702
aligned	UHGV-1919420	0.8410831	0	1342	88.71666	0.78056455	18.18068813008722
aligned	UHGV-2134673	5.313423	1.8276839	8391	399.24515	3.1002662	72.21051055239514
aligned	UHGV-2133768	1.4718969	0	391	88.689644	0.9228034	21.493688109330833
aligned	UHGV-1922335	0.19886011	0	952	2.2789855	0.12978497	3.0229132335080067
aligned	UHGV-1938320	0	0	0	0	0	0
aligned	UHGV-2075247	0.34190172	0.1604322	5296	1.016037	0.19637889	4.574001650325954
aligned	UHGV-2232755	2.470317	0.9475454	8817	65.201065	1.4275085	33.249114494537935
aligned	UHGV-1925127	0	0	0	0	0	0
aligned	UHGV-0201993	0	0	0	0	0	0
aligned	UHGV-2161681	0.014809591	0	146	0.021330694	0.02685761	0.6255595508264378
aligned	UHGV-2124730	0	0	0	0	0	0
aligned	UHGV-0201994	0	0	0	0	0	0
aligned	UHGV-0201995	0	0	0	0	0	0
aligned	UHGV-0201996	0.30859	0.121373594	2542	0.9889664	0.17874594	4.163301582593704
aligned	UHGV-0154859	0	0	0	0	0	0
aligned	UHGV-0154857	0	0	0	0	0	0
aligned	UHGV-0166429	0	0	0	0	0	0
aligned	UHGV-1656210	0	0	0	0	0	0
aligned	UHGV-0286233	0	0	0	0	0	0
aligned	UHGV-0166426	0	0	0	0	0	0
aligned	UHGV-1603500	0.45458436	0.07875963	876	3.2087462	0.26380432	6.144458438939182
aligned	UHGV-0139921	0	0	0	0	0	0
aligned	UHGV-1313019	0	0	0	0	0	0
aligned	UHGV-0089260	0	0	0	0	0	0
aligned	UHGV-1568350	0	0	0	0	0	0
aligned	UHGV-1771526	0	0	0	0	0	0
aligned	UHGV-1467644	0	0	0	0	0	0
aligned	UHGV-0006542	0	0	0	0	0	0
aligned	UHGV-1353088	0	0	0	0	0	0
aligned	UHGV-1353092	0	0	0	0	0	0
aligned	UHGV-1353093	0	0	0	0	0	0
aligned	UHGV-1353094	0	0	0	0	0	0
aligned	UHGV-0115110	0	0	0	0	0	0
aligned	UHGV-1353126	0	0	0	0	0	0
aligned	UHGV-1353133	0	0	0	0	0	0
aligned	UHGV-1353135	0	0	0	0	0	0
aligned	UHGV-1353136	0	0	0	0	0	0
aligned	UHGV-1353140	0	0	0	0	0	0
aligned	UHGV-1790475	0	0	0	0	0	0
aligned	UHGV-1365586	0	0	0	0	0	0
aligned	UHGV-1764299	0	0	0	0	0	0
aligned	UHGV-1371304	0	0	0	0	0	0
aligned	UHGV-1371302	0	0	0	0	0	0
aligned	UHGV-1371306	0	0	0	0	0	0
aligned	UHGV-1371305	0	0	0	0	0	0
aligned	UHGV-1371283	0	0	0	0	0	0
aligned	UHGV-1371280	0	0	0	0	0	0
aligned	UHGV-1371295	0	0	0	0	0	0
aligned	UHGV-1371287	0	0	0	0	0	0
aligned	UHGV-1363839	0	0	0	0	0	0
aligned	UHGV-0439402	0	0	0	0	0	0
aligned	UHGV-1371310	0	0	0	0	0	0
aligned	UHGV-1371309	0	0	0	0	0	0
aligned	UHGV-0270821	0	0	0	0	0	0
aligned	UHGV-0113290	0	0	0	0	0	0
aligned	UHGV-1825670	0	0	0	0	0	0
aligned	UHGV-0007047	0	0	0	0	0	0
aligned	UHGV-0108456	0.7414718	0	1271	51.843132	0.5327159	12.407863323460333
aligned	UHGV-0131558	0	0	0	0	0	0
aligned	UHGV-1692963	0	0	0	0	0	0
aligned	UHGV-1368458	0	0	0	0	0	0
aligned	UHGV-1350454	0.92920804	0.2032329	12765	16.35443	0.54711825	12.743324077746365
aligned	UHGV-1814952	1.214596	0	230	113.71541	1.1735457	27.333886464475654
aligned	UHGV-1368382	0	0	0	0	0	0
aligned	UHGV-1368374	0	0	0	0	0	0
aligned	UHGV-0260596	0	0	0	0	0	0
aligned	UHGV-0260491	0	0	0	0	0	0
aligned	UHGV-1368444	0	0	0	0	0	0
aligned	UHGV-1368429	0	0	0	0	0	0
aligned	UHGV-1368425	0	0	0	0	0	0
aligned	UHGV-0257757	0	0	0	0	0	0
aligned	UHGV-2189137	1.3330859	0.20637757	1972	29.362448	0.7916748	18.439468476572074
aligned	UHGV-0143871	0.27596965	0	800	4.6198235	0.28461838	6.629250037804013
aligned	UHGV-1511909	0	0	0	0	0	0
aligned	UHGV-1961259	1.5200638	0.38385928	6696	44.657764	0.9696951	22.585851183976047
aligned	UHGV-1867315	0	0	0	0	0	0
aligned	UHGV-0112768	0	0	0	0	0	0
aligned	UHGV-2102494	0	0	0	0	0	0
aligned	UHGV-1838588	0	0	0	0	0	0
aligned	UHGV-0103750	0	0	0	0	0	0
aligned	UHGV-2141545	0	0	0	0	0	0
aligned	UHGV-1836304	0	0	0	0	0	0
aligned	UHGV-0134170	0	0	0	0	0	0
aligned	UHGV-0381345	0	0	0	0	0	0
