Sample	Contig	Mean	Trimmed Mean	Covered Bases	Variance	RPKM	TPM
aligned	UHGV-1363925	0	0	0	0	0	0
aligned	UHGV-2007258	0	0	0	0	0	0
aligned	UHGV-1363906	0	0	0	0	0	0
aligned	UHGV-0318370	0	0	0	0	0	0
aligned	UHGV-1375084	0	0	0	0	0	0
aligned	UHGV-0131329	0	0	0	0	0	0
aligned	UHGV-1915498	23.484673	23.756907	5221	64.81171	1.545328	56.41949610435404
aligned	UHGV-1919420	0.39513928	0	1346	10.587703	0.03803619	1.388691998727154
aligned	UHGV-2134673	0	0	0	0	0	0
aligned	UHGV-2133768	0.19283076	0	361	1.5240555	0.014340078	0.5235525577518274
aligned	UHGV-1922335	0.041899174	0	772	0.12785594	0.003231627	0.11798579890864858
aligned	UHGV-1938320	0	0	0	0	0	0
aligned	UHGV-2075247	0.089001365	0.009130545	2046	0.15871203	0.005776082	0.2108831580471815
aligned	UHGV-2232755	1.5133281	0.54754543	8504	24.954918	0.09757744	3.5625280361273326
aligned	UHGV-1925127	0	0	0	0	0	0
aligned	UHGV-0201993	0	0	0	0	0	0
aligned	UHGV-2161681	0.06276446	0	174	0.47070962	0.007523444	0.2746791381014191
aligned	UHGV-2124730	0	0	0	0	0	0
aligned	UHGV-0201994	0	0	0	0	0	0
aligned	UHGV-0201995	0	0	0	0	0	0
aligned	UHGV-0201996	0	0	0	0	0	0
aligned	UHGV-0154859	0	0	0	0	0	0
aligned	UHGV-0154857	0	0	0	0	0	0
aligned	UHGV-0166429	0	0	0	0	0	0
aligned	UHGV-1656210	0	0	0	0	0	0
aligned	UHGV-0286233	0	0	0	0	0	0
aligned	UHGV-0166426	0	0	0	0	0	0
aligned	UHGV-1603500	14.206061	2.9310377	1760	2769.3896	0.90976346	33.21523399790749
aligned	UHGV-0139921	0	0	0	0	0	0
aligned	UHGV-1313019	0	0	0	0	0	0
aligned	UHGV-0089260	0	0	0	0	0	0
aligned	UHGV-1568350	0	0	0	0	0	0
aligned	UHGV-1771526	0	0	0	0	0	0
aligned	UHGV-1467644	0	0	0	0	0	0
aligned	UHGV-0006542	0	0	0	0	0	0
aligned	UHGV-1353088	0	0	0	0	0	0
aligned	UHGV-1353092	0	0	0	0	0	0
aligned	UHGV-1353093	0	0	0	0	0	0
aligned	UHGV-1353094	0	0	0	0	0	0
aligned	UHGV-0115110	0	0	0	0	0	0
aligned	UHGV-1353126	0	0	0	0	0	0
aligned	UHGV-1353133	0	0	0	0	0	0
aligned	UHGV-1353135	0	0	0	0	0	0
aligned	UHGV-1353136	0	0	0	0	0	0
aligned	UHGV-1353140	0	0	0	0	0	0
aligned	UHGV-1790475	0	0	0	0	0	0
aligned	UHGV-1365586	0	0	0	0	0	0
aligned	UHGV-1764299	0	0	0	0	0	0
