Sample	Contig	Covered Fraction
aligned	ivig_436	0.41919935
aligned	ivig_437	0.06001091
aligned	ivig_443	0
aligned	ivig_444	0
aligned	ivig_445	0
aligned	ivig_446	0.026019875
aligned	ivig_447	0
aligned	ivig_448	0
aligned	ivig_450	0
aligned	ivig_451	0
aligned	ivig_452	0
aligned	ivig_455	0
aligned	ivig_456	0
aligned	ivig_460	0
aligned	ivig_461	0.64383984
aligned	ivig_464	0.02831523
aligned	ivig_469	0.01531235
aligned	ivig_470	0.7867428
aligned	ivig_473	0.16351824
aligned	ivig_475	0
aligned	ivig_476	0
aligned	ivig_478	0
aligned	ivig_479	0
aligned	ivig_480	0
aligned	ivig_481	0
aligned	ivig_483	0
aligned	ivig_484	0
aligned	ivig_485	0.02105577
aligned	ivig_486	0
aligned	ivig_491	0
aligned	ivig_492	0
aligned	ivig_493	0
aligned	ivig_494	0
aligned	ivig_495	0.10340482
aligned	ivig_496	0.118392
aligned	ivig_499	0.13224481
aligned	ivig_501	0
aligned	ivig_502	0
aligned	ivig_505	0
aligned	ivig_507	0
aligned	ivig_508	0.12940225
aligned	ivig_512	0.62794065
aligned	ivig_516	0
aligned	ivig_517	0
aligned	ivig_525	0
aligned	ivig_528	0.07899787
aligned	ivig_530	0
aligned	ivig_531	0.056769557
aligned	ivig_532	0.9624104
aligned	ivig_533	0.012069058
aligned	ivig_536	0
aligned	ivig_537	0
aligned	ivig_540	0
aligned	ivig_550	0
aligned	ivig_551	0
aligned	ivig_552	0
aligned	ivig_553	0
aligned	ivig_555	0
aligned	ivig_556	0
aligned	ivig_559	0
aligned	ivig_561	0.563167
aligned	ivig_563	0
aligned	ivig_564	0
aligned	ivig_565	0.10025946
aligned	ivig_566	0
aligned	ivig_567	0
aligned	ivig_568	0
aligned	ivig_571	0.032205276
aligned	ivig_572	0
aligned	ivig_573	0
aligned	ivig_575	0
aligned	ivig_576	0
aligned	ivig_577	0
aligned	ivig_581	0.19611944
aligned	ivig_582	0.3140596
aligned	ivig_584	0
aligned	ivig_585	0.15903813
aligned	ivig_586	0
aligned	ivig_587	0.10513263
aligned	ivig_590	0
aligned	ivig_593	0
aligned	ivig_594	0
aligned	ivig_595	0.040529102
aligned	ivig_598	0
aligned	ivig_601	0.7779019
aligned	ivig_602	0.15779433
aligned	ivig_603	0
aligned	ivig_604	0.3173326
aligned	ivig_605	0
aligned	ivig_607	0
aligned	ivig_608	0
aligned	ivig_609	0
aligned	ivig_612	0
aligned	ivig_615	0
aligned	ivig_616	0
aligned	ivig_617	0
aligned	ivig_618	0
aligned	ivig_619	0
aligned	ivig_621	0
aligned	ivig_623	0
aligned	ivig_624	0.05754408
aligned	ivig_628	0
aligned	ivig_630	0
aligned	ivig_631	0.28994504
aligned	ivig_632	0
aligned	ivig_634	0
aligned	ivig_636	0
aligned	ivig_637	0
aligned	ivig_641	0
aligned	ivig_642	0
aligned	ivig_643	0.052430045
aligned	ivig_646	0
aligned	ivig_651	0
aligned	ivig_654	0
aligned	ivig_655	0
aligned	ivig_657	0.012345679
aligned	ivig_660	0
aligned	ivig_661	0.015343952
aligned	ivig_664	0
aligned	ivig_665	0
aligned	ivig_668	0.01681439
aligned	ivig_671	0
aligned	ivig_677	0
aligned	ivig_678	0
aligned	ivig_680	0.27626812
aligned	ivig_682	0
aligned	ivig_685	0
aligned	ivig_687	0.1132068
aligned	ivig_688	0
aligned	ivig_689	0
aligned	ivig_696	0
aligned	ivig_697	0
aligned	ivig_699	0
aligned	ivig_702	0
aligned	ivig_703	0
aligned	ivig_704	0
aligned	ivig_705	0
aligned	ivig_711	0
aligned	ivig_712	0
aligned	ivig_713	0
aligned	ivig_717	0
aligned	ivig_718	0
aligned	ivig_720	0
aligned	ivig_723	0.0121670235
aligned	ivig_727	0
aligned	ivig_728	0
aligned	ivig_731	0
aligned	ivig_734	0
aligned	ivig_735	0
aligned	ivig_742	0
aligned	ivig_743	0
aligned	ivig_745	0
aligned	ivig_747	0
aligned	ivig_748	0
aligned	ivig_749	0
aligned	ivig_750	0
aligned	ivig_756	0
aligned	ivig_758	0
aligned	ivig_761	0
aligned	ivig_766	0
aligned	ivig_767	0
aligned	ivig_769	0
aligned	ivig_771	0
aligned	ivig_775	0
aligned	ivig_777	0
aligned	ivig_778	0
aligned	ivig_779	0
aligned	ivig_782	0
aligned	ivig_783	0
aligned	ivig_784	0.026907286
aligned	ivig_785	0.26775193
aligned	ivig_786	0.33904937
aligned	ivig_789	0
aligned	ivig_790	0
aligned	ivig_791	0
aligned	ivig_792	0.026535666
aligned	ivig_793	0
aligned	ivig_795	0
aligned	ivig_796	0
aligned	ivig_797	0
aligned	ivig_799	0
aligned	ivig_807	0
aligned	ivig_810	0.027326852
aligned	ivig_811	0
aligned	ivig_812	0
aligned	ivig_815	0
aligned	ivig_819	0
aligned	ivig_820	0
aligned	ivig_821	0
aligned	ivig_826	0
aligned	ivig_829	0
aligned	ivig_830	0
aligned	ivig_831	0
aligned	ivig_834	0
aligned	ivig_837	0.082833014
aligned	ivig_838	0
aligned	ivig_840	0
aligned	ivig_841	0.012460651
aligned	ivig_844	0
aligned	ivig_850	0
aligned	ivig_853	0
aligned	ivig_856	0
aligned	ivig_858	0
aligned	ivig_860	0
aligned	ivig_862	0
aligned	ivig_866	0
aligned	ivig_872	0
aligned	ivig_878	0
aligned	ivig_880	0
aligned	ivig_881	0
aligned	ivig_882	0
aligned	ivig_883	0
aligned	ivig_890	0
aligned	ivig_891	0
aligned	ivig_892	0
aligned	ivig_894	0
aligned	ivig_896	0.69921917
aligned	ivig_898	0
aligned	ivig_901	0
aligned	ivig_904	0.38558108
aligned	ivig_906	0.1861881
