Contig	F6_S22-untreated_virome_Genomad_mapped Mean	F6_S22-untreated_virome_Genomad_mapped Trimmed Mean	F6_S22-untreated_virome_Genomad_mapped Covered Bases	F6_S22-untreated_virome_Genomad_mapped Variance	F6_S22-untreated_virome_Genomad_mapped RPKM	F6_S22-untreated_virome_Genomad_mapped TPM	F7_S23-untreated_virome_Genomad_mapped Mean	F7_S23-untreated_virome_Genomad_mapped Trimmed Mean	F7_S23-untreated_virome_Genomad_mapped Covered Bases	F7_S23-untreated_virome_Genomad_mapped Variance	F7_S23-untreated_virome_Genomad_mapped RPKM	F7_S23-untreated_virome_Genomad_mapped TPM	F8_S24-untreated_virome_Genomad_mapped Mean	F8_S24-untreated_virome_Genomad_mapped Trimmed Mean	F8_S24-untreated_virome_Genomad_mapped Covered Bases	F8_S24-untreated_virome_Genomad_mapped Variance	F8_S24-untreated_virome_Genomad_mapped RPKM	F8_S24-untreated_virome_Genomad_mapped TPM
F7_S23_contig_1155	5.2035966	5.0353413	17760	10.784837	0.3650345	13.80465	5.8854394	5.7261357	18168	10.433227	0.35937637	13.603921	5.7325644	5.609485	17673	10.601063	0.36217025	13.625891
F7_S23_contig_1163	30.320578	26.725258	21109	570.1631	2.3953774	90.586876	33.817596	29.24124	21109	925.6096	2.391699	90.536	32.98879	28.58892	21109	802.28973	2.3918903	89.98982
F7_S23_contig_1281	7.4403324	6.7733545	34170	45.464848	0.5384858	20.364122	7.787756	7.172428	34721	37.935196	0.49094275	18.584267	7.7541695	7.159329	34717	35.7008	0.5020719	18.88939
F7_S23_contig_1368	4.8987646	4.6817803	28829	9.6562805	0.3439406	13.006926	5.4164734	5.305671	28995	8.066966	0.33377975	12.634981	5.1591372	5.0132685	28919	8.486157	0.32772014	12.329775
F7_S23_contig_1649	8.171055	7.78736	12646	22.247288	0.59160084	22.372805	9.5714855	8.918898	12684	44.928066	0.6080334	23.01665	8.846817	8.2808895	12667	28.770123	0.5785374	21.766241
F7_S23_contig_1773	32.823303	32.04876	38340	233.83603	2.3073368	87.257484	36.748234	35.746452	38340	325.60684	2.2680085	85.85374	35.230556	34.353542	38340	321.75015	2.2403414	84.28813
F7_S23_contig_1942	6.39575	6.2614	10838	14.086033	0.44817924	16.948963	6.444878	6.2705812	11101	10.725777	0.39399466	14.914363	6.5079	6.4725585	11043	7.382285	0.40640765	15.290225
F7_S23_contig_1957	7.2261224	7.0788116	41198	12.872241	0.5074142	19.189068	8.772152	8.66347	41287	12.212643	0.5395367	20.423756	7.6975474	7.5826874	41176	11.507269	0.48773414	18.349966
F7_S23_contig_2343	7.946438	7.7215767	17015	22.958939	0.5773634	21.834372	8.6725025	8.465751	17442	23.366333	0.545208	20.638447	8.526319	8.342877	17170	24.48681	0.55192304	20.764936
F7_S23_contig_2927	5.972566	5.825566	17887	13.182589	0.4201636	15.889495	6.257803	6.0274396	18378	13.436298	0.38618818	14.618864	6.5666413	6.3673644	18025	15.22241	0.41563448	15.637364
F7_S23_contig_3015	4.759801	4.621241	12818	7.5838413	0.3351365	12.673986	5.644135	5.52869	12876	8.671093	0.34738797	13.15011	6.0280023	5.9243	12903	9.575414	0.38322592	14.41806
F7_S23_contig_3261	14.406002	13.39138	32039	79.81687	1.024135	38.7301	16.509424	15.559527	32039	69.23982	1.0310616	39.030064	15.1191635	14.308282	32039	64.68701	0.969696	36.482758
F7_S23_contig_3274	16.590664	16.126911	48477	42.778183	1.1667113	44.121956	19.300266	18.856535	48477	49.476223	1.1898468	45.040783	18.293377	17.730291	48477	53.43428	1.1604702	43.66023
F7_S23_contig_3308	215.86281	218.33888	16598	3696.374	15.039265	568.7456	224.80496	227.0669	16624	3744.103	13.742329	520.20557	237.36342	240.81508	16596	4051.8298	14.932038	561.78644
F7_S23_contig_3537	5.4088016	5.239086	21205	8.502167	0.3835826	14.506096	7.4228573	7.3408628	21351	9.346892	0.45617998	17.268358	6.202915	6.115141	21159	8.018069	0.39412993	14.828304
F7_S23_contig_3560	5.7980866	5.648237	10965	8.920127	0.40986252	15.499936	6.8977094	6.719775	11021	9.836453	0.42507762	16.090998	5.780609	5.6732755	11009	9.197217	0.3683711	13.859182
F7_S23_contig_3580	5.272883	5.1567025	41729	7.3823237	0.36922598	13.963154	6.3219314	6.1672745	41863	10.96365	0.38885963	14.719982	6.154258	5.9434137	41716	12.144119	0.3901034	14.676809
F7_S23_contig_3723	20.830692	20.493488	42801	114.19552	1.4630471	55.328617	23.954004	23.62026	42806	125.68651	1.474657	55.82205	22.912321	22.601505	42769	134.44933	1.4520217	54.62923
F7_S23_contig_4462	13.121036	12.888503	11650	32.882732	0.9169878	34.67809	13.948128	13.938314	11659	22.081694	0.85922056	32.525146	14.549917	14.509219	11659	29.979721	0.9163075	34.47414
F7_S23_contig_4559	12.42167	12.185502	16274	26.661663	0.8832796	33.40332	13.933081	13.883407	16274	21.005442	0.8630381	32.66967	14.839494	14.595921	16268	35.844105	0.95511705	35.934242
F7_S23_contig_4736	6.530213	6.501467	12165	7.0365257	0.4569596	17.28101	7.482995	7.426724	12227	10.256996	0.4567325	17.289268	6.372627	6.2747617	12253	8.4405155	0.40874323	15.3780985
