Contig	GP3_S28-mda_virome_Genomad_mapped Mean	GP3_S28-mda_virome_Genomad_mapped Trimmed Mean	GP3_S28-mda_virome_Genomad_mapped Covered Bases	GP3_S28-mda_virome_Genomad_mapped Variance	GP3_S28-mda_virome_Genomad_mapped RPKM	GP3_S28-mda_virome_Genomad_mapped TPM	GP4_S29-mda_virome_Genomad_mapped Mean	GP4_S29-mda_virome_Genomad_mapped Trimmed Mean	GP4_S29-mda_virome_Genomad_mapped Covered Bases	GP4_S29-mda_virome_Genomad_mapped Variance	GP4_S29-mda_virome_Genomad_mapped RPKM	GP4_S29-mda_virome_Genomad_mapped TPM	GP5_S30-mda_virome_Genomad_mapped Mean	GP5_S30-mda_virome_Genomad_mapped Trimmed Mean	GP5_S30-mda_virome_Genomad_mapped Covered Bases	GP5_S30-mda_virome_Genomad_mapped Variance	GP5_S30-mda_virome_Genomad_mapped RPKM	GP5_S30-mda_virome_Genomad_mapped TPM
GP5_S30_contig_2604	180.40309	176.78459	48642	8917.855	10.917107	60.581722	142.72154	140.16591	48642	5274.146	8.999476	44.526276	163.92238	160.28197	48642	6905.4087	10.434863	55.2725
GP5_S30_contig_2700	352.05814	348.5486	15289	15971.868	21.03416	116.72366	276.45227	273.78412	15289	9566.584	17.209606	85.14712	355.88083	352.9953	15289	14932.378	22.39828	118.64165
GP5_S30_contig_2740	7.1909723	7.0003166	31056	16.73178	0.43116164	2.3926213	5.8061156	5.632575	30628	11.752624	0.3644819	1.8033295	6.2540913	6.0671754	31405	12.300206	0.39621827	2.0987308
GP5_S30_contig_3119	18.962608	18.739498	43181	70.021935	1.142881	6.3421288	16.622086	16.256836	43139	56.567974	1.0427303	5.1590657	23.976923	23.729815	43181	86.27957	1.5171255	8.036072
GP5_S30_contig_3476	213330.31	216364.2	1967	16729108000	12057.133	66907.96	194461.28	197134.38	1967	13693922000	11456.582	56683.203	144568.72	146547.25	1967	7626021000	8598.652	45546.273
GP5_S30_contig_3540	6.6671033	6.5136175	10830	10.024097	0.40926528	2.2711139	6.4914856	6.360499	10812	8.754489	0.41796166	2.0679297	6.9532185	6.8462577	10838	8.679198	0.43788502	2.3194373
GP5_S30_contig_3546	23434.914	23220.982	10099	83416290	1415.6967	7856.047	19084.963	18906.797	10098	56296320	1201.4999	5944.604	21968.504	21742.662	10099	75841040	1395.4508	7391.5713
GP5_S30_contig_3598	2.3795154	2.2681565	1898	3.1367805	0.13502006	0.7492588	0	0	0	0	0	0	2.6849566	2.5530727	2241	3.491279	0.16651922	0.8820365
GP5_S30_contig_3644	44.83906	41.077103	45111	1269.1127	2.707183	15.022824	33.22455	30.296923	45111	683.9314	2.0922787	10.351864	37.51954	34.54178	45111	792.06964	2.38263	12.620578
GP5_S30_contig_3672	12.354053	11.580799	24170	70.026505	0.77235085	4.2859654	9.419288	8.711981	24086	53.17822	0.6151137	3.0433698	11.1954565	10.533512	24186	47.313824	0.7381829	3.9100864
GP5_S30_contig_3727	27.094227	27.318504	31959	105.45395	1.6293752	9.0418005	20.48679	20.496967	31937	62.593742	1.2808609	6.337256	22.673298	22.713812	32020	71.48197	1.4320393	7.5853825
GP5_S30_contig_3878	0	0	0	0	0	0	0	0	0	0	0	0	2.5976129	2.5591297	1253	1.279926	0.15066025	0.79803383
GP5_S30_contig_3903	188487.19	186935.55	3756	20670853000	11070.698	61434.016	175483.17	174406.42	3756	16824658000	10767.149	53272.125	132155.9	131732.88	3756	8922285000	8224.857	43566.316
GP5_S30_contig_3950	69.84252	68.941345	16642	1132.5789	4.1846404	23.221586	51.053036	50.352123	16587	730.0756	3.177184	15.719601	71.19902	71.04972	16686	1240.3923	4.4773073	23.715885
GP5_S30_contig_3963	2.2535884	2.1752987	1530	1.9033384	0.12370309	0.6864592	0	0	0	0	0	0	2.7541866	2.7934928	1759	1.401539	0.16670202	0.8830052
GP5_S30_contig_3987	489.10406	495.8343	12795	37323.117	29.344177	162.83804	365.18015	370.52237	12795	19847.48	22.844757	113.027954	522.30176	529.85443	12795	39668.176	32.967255	174.62442
GP5_S30_contig_4052	24.679688	23.898937	93296	246.02383	1.4892043	8.263961	19.717691	19.156647	93120	163.78831	1.2379931	6.125163	20.615149	20.12269	93146	171.51208	1.3058673	6.9170566
GP5_S30_contig_4158	10.409976	10.135778	13416	27.640324	0.6422587	3.5640504	8.648231	8.381401	13135	24.373463	0.554819	2.7450511	12.894588	12.671704	13602	24.94257	0.8262057	4.3763337
GP5_S30_contig_4342	13.703039	13.185706	26277	69.31605	0.8201466	4.5511923	12.772872	12.268617	26326	58.48915	0.79707813	3.9436677	18.383472	17.826874	26470	98.829	1.1585699	6.1368394
GP5_S30_contig_4444	5.3659577	5.304367	12312	7.707119	0.32362166	1.7958554	4.126309	3.9721675	12228	7.3916016	0.26180542	1.2953221	6.7032385	6.5467157	12517	9.420829	0.4207911	2.2288904
GP5_S30_contig_4585	9.907864	9.698414	18074	20.352821	0.6048551	3.3564887	7.778249	7.5960464	18071	16.18664	0.49537376	2.4509382	11.797658	11.578448	18080	23.231295	0.7575427	4.0126343
GP5_S30_contig_4935	5.8345294	5.697161	11366	10.8532505	0.34884575	1.9358308	4.1348443	3.8863504	10378	10.83252	0.2581262	1.277119	5.3930697	5.209022	11248	11.841283	0.34021524	1.8020883
GP5_S30_contig_5094	5.3765335	5.107229	12405	13.921037	0.33493194	1.8586191	3.9527876	3.8016737	12356	5.9249277	0.2604162	1.2884486	5.582777	5.337388	12846	11.565526	0.36937666	1.956555
GP5_S30_contig_5309	0	0	0	0	0	0	0	0	0	0	0	0	10.122055	10.099477	2272	18.503248	0.60575765	3.2086413
GP5_S30_contig_5318	18.197227	17.240143	35805	161.92961	1.0975479	6.0905633	13.957905	13.229314	35764	97.37609	0.87572	4.3327584	14.635905	13.815746	35855	104.17428	0.92705536	4.9105253
GP5_S30_contig_696|provirus_6959_17415	9.67071	8.723079	10394	76.85042	0.5914335	3.282011	9.292131	8.310229	10423	68.51672	0.59765846	2.9570076	12.064811	11.230031	10457	82.61776	0.7642654	4.048242
