Contig	GP3_S28-mda_virome_Genomad_mapped Mean	GP3_S28-mda_virome_Genomad_mapped Trimmed Mean	GP3_S28-mda_virome_Genomad_mapped Covered Bases	GP3_S28-mda_virome_Genomad_mapped Variance	GP3_S28-mda_virome_Genomad_mapped RPKM	GP3_S28-mda_virome_Genomad_mapped TPM	GP4_S29-mda_virome_Genomad_mapped Mean	GP4_S29-mda_virome_Genomad_mapped Trimmed Mean	GP4_S29-mda_virome_Genomad_mapped Covered Bases	GP4_S29-mda_virome_Genomad_mapped Variance	GP4_S29-mda_virome_Genomad_mapped RPKM	GP4_S29-mda_virome_Genomad_mapped TPM	GP5_S30-mda_virome_Genomad_mapped Mean	GP5_S30-mda_virome_Genomad_mapped Trimmed Mean	GP5_S30-mda_virome_Genomad_mapped Covered Bases	GP5_S30-mda_virome_Genomad_mapped Variance	GP5_S30-mda_virome_Genomad_mapped RPKM	GP5_S30-mda_virome_Genomad_mapped TPM
GP3_S28_contig_5304	12.617847	12.291255	37936	32.64977	0.7633311	4.2359114	10.400969	10.1307335	37930	24.01926	0.6540198	3.2358646	11.201265	10.924488	37927	27.192497	0.71106905	3.7664669
GP3_S28_contig_5322	192.57622	176.89215	42821	19376.064	11.569107	64.19983	169.2962	155.78714	42821	14509.367	10.593757	52.41421	225.10403	207.52696	42821	25188.824	14.224871	75.3478
GP3_S28_contig_5331	19.829731	18.659195	65523	134.79982	1.1952672	6.632829	16.361433	15.5057535	65523	85.37764	1.028261	5.0874777	17.718767	16.767221	65478	97.40721	1.1235263	5.9512124
GP3_S28_contig_5332	15.807993	14.6196995	38546	126.94038	0.9499456	5.271481	13.985369	12.879549	38551	90.76331	0.8791189	4.3495755	14.726243	13.8218975	38557	76.02693	0.9336521	4.945467
GP3_S28_contig_5333	159.77255	154.60373	34030	5095.6846	9.602826	53.28843	123.744835	119.467896	34030	3302.8787	7.756788	38.377895	148.27312	143.42412	34030	4710.79	9.37975	49.68364
GP3_S28_contig_5335	95.03543	92.193474	56826	1663.2264	5.7277646	31.784763	78.14135	76.32811	56826	1008.0254	4.9186625	24.335829	84.76308	81.73082	56826	1371.1082	5.3741617	28.466448
GP3_S28_contig_5340	10.342205	10.276135	2254	13.551883	0.5999655	3.3293552	11.945818	11.922386	2185	23.292358	0.7088161	3.5069752	10.089354	10.108236	2254	8.071898	0.6190171	3.2788763
GP3_S28_contig_5343	7.757004	7.5211997	4949	19.233324	0.45290542	2.5132825	3.1023142	3.0559313	4618	3.523337	0.18885003	0.93436474	0	0	0	0	0	0
GP3_S28_contig_5345	37.25224	36.984283	2271	86.50852	2.1476777	11.917991	11.982555	12.040336	2269	13.3935585	0.7159249	3.5421474	18.09854	18.035622	2271	32.531322	1.0950234	5.8002386
GP3_S28_contig_5346	94.25605	93.58011	5399	224.79488	5.6173515	31.172071	158.20728	157.96889	5399	574.4074	9.786243	48.41895	100.05677	99.64211	5399	183.92397	6.235727	33.030064
GP3_S28_contig_5354	6.7066684	6.4828057	7265	18.486366	0.4011968	2.226339	0	0	0	0	0	0	2.6594846	2.5588548	6205	3.997918	0.16616318	0.8801509
GP3_S28_contig_1961|provirus_5979_36618	21.331125	21.072954	30640	69.47984	1.2917091	7.1680107	18.302328	18.136688	30640	49.03765	1.1569682	5.7242785	20.083633	19.882881	30640	51.421825	1.2818612	6.789902
GP3_S28_contig_3646|provirus_68854_100287	47.858875	47.248474	31434	286.2618	2.911088	16.154346	36.54015	36.225742	31434	150.44221	2.312593	11.441903	47.29296	47.027843	31434	232.11368	3.018022	15.986179
