Contig	M1_S25-metaG_Genomad_mapped Mean	M1_S25-metaG_Genomad_mapped Trimmed Mean	M1_S25-metaG_Genomad_mapped Covered Bases	M1_S25-metaG_Genomad_mapped Variance	M1_S25-metaG_Genomad_mapped RPKM	M1_S25-metaG_Genomad_mapped TPM	M2_S26-metaG_Genomad_mapped Mean	M2_S26-metaG_Genomad_mapped Trimmed Mean	M2_S26-metaG_Genomad_mapped Covered Bases	M2_S26-metaG_Genomad_mapped Variance	M2_S26-metaG_Genomad_mapped RPKM	M2_S26-metaG_Genomad_mapped TPM	M3_S27-metaG_Genomad_mapped Mean	M3_S27-metaG_Genomad_mapped Trimmed Mean	M3_S27-metaG_Genomad_mapped Covered Bases	M3_S27-metaG_Genomad_mapped Variance	M3_S27-metaG_Genomad_mapped RPKM	M3_S27-metaG_Genomad_mapped TPM
M1_S25_contig_33849|provirus_17677_60490	10.665479	8.697458	42425	2618.2747	17.652557	492.8551	8.546011	6.9161415	42399	1861.2267	16.73196	466.4683	8.358476	6.7552996	42540	1841.6063	16.499512	459.01788
M1_S25_contig_37448|provirus_82121_117752	111.8807	108.72362	35632	1042.6678	140.0348	3909.7383	96.72944	94.79533	35632	541.1692	140.63962	3920.877	90.16989	88.31894	35632	462.96182	131.57977	3660.5608
M1_S25_contig_38584|provirus_66931_90056	12.641887	12.424033	23126	24.380219	15.662272	437.28696	16.216227	16.085783	23126	25.703232	23.599339	657.923	13.1865425	13.004981	23126	20.428314	19.222273	534.7652
M1_S25_contig_40525|provirus_120160_156310	36.820282	36.65924	36151	72.89322	46.630665	1301.9169	33.563736	33.46906	36151	57.500668	48.7691	1359.6283	28.489513	28.301132	36151	43.932278	41.773415	1162.14
M1_S25_contig_40528|provirus_104132_121871	84.93462	69.67863	17740	12660.815	136.63914	3814.9321	98.08886	80.58938	17740	17190.322	184.27899	5137.4927	90.15827	74.18469	17740	13430.818	170.14304	4733.3945
M1_S25_contig_40779|provirus_12665_51897	44.202263	44.02641	39233	86.096	55.79049	1557.6571	40.72277	40.643867	39233	58.98818	59.231384	1651.3049	34.26106	34.01521	39233	53.275726	49.967094	1390.0894
M1_S25_contig_41285|provirus_6164_17411	6.6944494	6.554855	11050	14.413343	8.334024	232.68394	6.4880157	6.2914915	11167	13.205633	9.421639	262.66483	5.1784105	5.0020022	10863	10.425588	7.5084424	208.88548
M1_S25_contig_44257|provirus_117_60219	60.34829	60.161846	60103	128.24834	76.10563	2124.8508	49.69776	49.60661	60103	69.567184	72.099976	2010.0673	46.697365	46.630905	60103	72.079865	68.003716	1891.8696
M1_S25_contig_44684|provirus_50_34921	75.96682	75.31872	34872	337.9859	96.66662	2698.9094	72.95251	72.266335	34872	352.6251	107.54298	2998.178	75.479065	74.91718	34872	289.09467	111.52428	3102.6155
M1_S25_contig_45611|provirus_1_20071	219.3664	216.22511	20071	2920.4988	287.60944	8029.9854	180.32755	177.72966	20071	1759.6259	270.8947	7552.2407	194.7195	192.10736	20071	1669.6989	292.92667	8149.2476
M2_S26_contig_31	7.6655064	7.506954	13583	14.68425	9.839639	274.72043	6.571365	6.4863796	13593	7.4035926	9.660086	269.31232	6.285905	6.1565304	13575	8.169218	9.288078	258.39514
M2_S26_contig_1169	15.562072	12.149736	14446	413.51077	22.003447	614.33105	13.5545225	10.526095	14456	345.68863	22.02262	613.9661	13.208933	10.664182	14456	221.33006	21.285564	592.16626
M2_S26_contig_1221	12.347822	11.827531	10618	66.609024	19.943417	556.81555	8.7007065	8.325302	10618	31.699179	14.427888	402.23355	10.14167	9.6790495	10618	48.869484	17.654875	491.16025
M2_S26_contig_1442	7.546235	7.4379864	15117	14.00533	10.558089	294.77924	6.2545576	6.1506677	15140	9.582861	9.250787	257.90176	7.708124	7.4642596	15186	17.888975	11.546629	321.2282
M2_S26_contig_2329	153.95183	137.22952	16303	8979.604	203.24751	5674.621	131.46567	115.578445	16303	7336.026	203.19148	5664.7534	114.008484	100.145676	16303	6164.1274	177.52345	4938.7183
M2_S26_contig_4789	6.3895364	5.784236	10910	43.580574	1776.6161	49602.7	6.7445617	6.1389823	11045	33.349377	1614.232	45002.98	7.8219366	7.206077	11026	42.3228	1368.2589	38065.082
