Contig	M1_S25-metaG_Genomad_mapped Mean	M1_S25-metaG_Genomad_mapped Trimmed Mean	M1_S25-metaG_Genomad_mapped Covered Bases	M1_S25-metaG_Genomad_mapped Variance	M1_S25-metaG_Genomad_mapped RPKM	M1_S25-metaG_Genomad_mapped TPM	M2_S26-metaG_Genomad_mapped Mean	M2_S26-metaG_Genomad_mapped Trimmed Mean	M2_S26-metaG_Genomad_mapped Covered Bases	M2_S26-metaG_Genomad_mapped Variance	M2_S26-metaG_Genomad_mapped RPKM	M2_S26-metaG_Genomad_mapped TPM	M3_S27-metaG_Genomad_mapped Mean	M3_S27-metaG_Genomad_mapped Trimmed Mean	M3_S27-metaG_Genomad_mapped Covered Bases	M3_S27-metaG_Genomad_mapped Variance	M3_S27-metaG_Genomad_mapped RPKM	M3_S27-metaG_Genomad_mapped TPM
M2_S26_contig_25603|provirus_145441_178903	143.63528	143.4084	33463	410.40826	181.23956	5060.166	117.981445	117.90541	33463	171.88821	171.53384	4782.173	105.98559	105.78314	33463	186.26778	154.5602	4299.8774
M2_S26_contig_26236|provirus_372_15971	9.593463	9.5056095	15576	15.708954	12.245276	341.88513	8.783301	8.645764	15600	12.385037	12.819283	357.38736	9.6628475	9.48195	15600	14.760227	14.128985	393.0697
M2_S26_contig_28638|provirus_6170_23148	11.688335	11.52994	16979	21.62552	17.063969	476.42197	8.048964	7.852446	16979	12.785577	11.752494	327.64633	9.723929	9.557272	16979	14.179901	14.292457	397.61734
M2_S26_contig_36314|provirus_69541_80246	13.646078	13.517891	10692	27.29415	17.329811	483.84424	14.043483	13.988108	10706	19.232698	20.610264	574.591	10.7230015	10.581667	10706	14.763247	16.021734	445.72607
M2_S26_contig_36870|provirus_2_17382	23.391445	22.93062	17381	45.2287	33.36919	931.65985	16.741339	16.145464	17381	46.893906	25.089718	699.47327	20.808891	20.303501	17381	52.07879	31.188251	867.65985
M2_S26_contig_38028|provirus_22850_63980	23.380543	23.28905	41131	45.41279	29.473026	822.87994	23.121544	22.924734	41131	38.49778	33.57933	936.1545	22.769064	22.590733	41131	44.37306	33.150185	922.2413
M2_S26_contig_42311|provirus_73064_179506	13.196608	13.045482	106422	21.461578	16.980774	474.0991	8.545388	8.455663	106255	10.939285	12.392862	345.4993	11.603408	11.505295	106288	14.807991	16.85883	469.014
M3_S27_contig_223	88.90708	88.604195	19285	213.69562	112.49744	3140.901	58.617767	58.496834	19285	88.989655	85.282524	2377.582	74.976166	74.99547	19285	117.90206	110.02587	3060.9292
M3_S27_contig_678	7.448062	7.3585978	10128	11.317252	9.775707	272.93524	4.8362217	4.628492	9905	9.99812	7.344477	204.75583	7.5585494	7.422482	10133	12.695405	11.155933	310.35907
M3_S27_contig_1006	26.233587	25.80782	19616	66.618286	37.354202	1042.9205	16.68576	16.533848	19616	30.547676	25.082045	699.2595	22.981352	22.835844	19616	33.26391	34.109543	948.9304
M3_S27_contig_1463	8.765328	8.57305	42241	26.778969	11.368291	317.4001	5.7487817	5.6282554	41560	12.349686	8.434535	235.14537	8.737735	8.569104	42838	21.5776	12.894943	358.7386
M3_S27_contig_1646	6.738479	6.5603404	23743	11.716451	8.358626	233.37086	4.8732576	4.822955	23177	6.4476457	7.0963717	197.83897	5.9288435	5.733572	23939	10.268944	8.677999	241.42267
M3_S27_contig_4704	43.400593	39.921055	11311	1016.18396	58.10724	1622.3398	41.10689	39.068394	11311	622.9588	63.794956	1778.5322	34.422634	32.14654	11311	572.0168	54.388653	1513.0973
M3_S27_contig_4949	101.926094	55.906204	42772	471275.5	205.93193	5749.5693	91.16616	49.08548	42772	369928.97	218.14626	6081.675	81.952774	42.214962	42772	337108.16	201.95908	5618.5176
M3_S27_contig_5039	56.485813	55.881	11745	416.3374	73.491905	2051.8765	48.70677	48.124462	11745	378.67242	71.312836	1988.122	51.608883	50.8742	11745	378.22418	76.16213	2118.837
M3_S27_contig_5263	25.459772	24.335278	10814	196.83492	33.412212	932.86096	24.30739	23.48979	10814	138.57338	37.267258	1038.9695	21.41204	20.607836	10814	126.49569	33.196613	923.5324
M3_S27_contig_6335	6.227397	5.4977217	10374	29.60662	8.491896	237.09158	5.9257956	5.515296	10168	17.812088	9.087897	253.36058	6.63679	6.2126274	10273	22.253967	10.2689	285.68173
M3_S27_contig_6419	133.00594	122.80917	10082	5782.3438	203.60396	5684.5737	134.10129	123.986015	10082	5175.263	237.52875	6622.035	134.23097	123.53501	10082	6426.7285	245.0703	6817.876
M3_S27_contig_6989	8.140334	7.7096486	23521	33.871075	10.585348	295.54034	7.8363543	7.376253	23574	29.899952	11.348888	316.39432	8.645266	8.228384	23512	32.865135	12.706917	353.50757
M3_S27_contig_6997	12.658205	10.899564	2947	155.14423	17.918865	500.29044	14.991776	13.205637	2947	204.89227	24.884136	693.7417	12.924562	11.387455	2947	150.32585	22.73382	632.45715
M3_S27_contig_7511	6.604562	6.4137993	12197	13.725398	8.352218	233.192	6.0888357	6.0524583	12466	8.472179	8.810974	245.63997	6.530692	6.381346	12469	13.926525	9.371201	260.70752
M3_S27_contig_8203	8.76985	8.482798	13993	28.001707	11.148494	311.2634	9.054322	8.90724	14053	14.194237	13.24174	369.16483	9.3407345	9.201804	14067	13.388779	13.558891	377.20963
M3_S27_contig_8311	6.4744625	6.0397825	10267	26.664732	9.03967	252.38533	4.8504224	4.669475	10045	10.434273	7.5171824	209.5707	5.8199883	5.484215	10308	20.755205	8.943171	248.79968
M3_S27_contig_8979	38.521877	17.41576	37726	14003.378	55.449757	1548.1442	34.27704	14.08152	37726	12476.908	58.07313	1619.0145	35.357834	15.784565	37726	11850.581	59.86484	1665.4447
M3_S27_contig_9730	118.45194	118.24342	11802	255.92996	147.5502	4119.565	120.77283	120.96968	11802	178.83582	173.53981	4838.0967	106.28107	105.94851	11802	218.90996	153.51164	4270.7065
M3_S27_contig_11478	6.666762	6.43715	20940	14.923128	8.62351	240.76622	4.9102964	4.7457485	20213	9.727108	7.2001553	200.7323	6.2057424	6.0312667	21095	11.756005	9.136689	254.18343
M3_S27_contig_12175	12.567235	11.128139	31052	139.77368	16.478027	460.06268	10.447056	8.762151	30703	141.0424	15.68389	437.2494	16.063856	15.079786	31077	99.57589	24.119812	671.0152
M3_S27_contig_12192	85.20472	8.609831	13168	332396.6	236.88701	6613.83	74.41481	6.917733	13138	263789.84	253.15318	7057.6284	77.96551	9.3547535	13168	270778.66	260.44067	7245.4814
M3_S27_contig_12320	40.882664	41.04059	61990	261.43527	52.140793	1455.758	35.37786	35.64913	61990	189.56218	51.34949	1431.5665	28.335915	28.339622	61990	119.885056	41.266182	1148.0292
M3_S27_contig_12525	9.692975	9.241574	10172	37.109695	13.414016	374.51605	7.306426	6.9213967	10160	26.148888	11.872972	331.00528	9.165636	8.693681	10172	33.916283	14.738883	410.03705
M3_S27_contig_13029	42.16243	34.68488	12186	1815.3805	57.613956	1608.5675	35.927303	28.354994	12186	1769.8542	57.285667	1597.0605	46.873547	39.816967	12186	1661.0626	74.10432	2061.5884
M3_S27_contig_14034	19.974426	18.887732	10708	213.20953	29.340994	819.1936	15.289827	14.336385	10708	161.62672	26.682663	743.8831	25.956337	24.90099	10708	180.49588	42.247906	1175.3401
M3_S27_contig_14338	8.413479	8.14691	43768	23.64222	10.83342	302.4664	8.182894	7.9391985	43573	22.181936	12.124092	338.00616	7.661699	7.414739	43932	19.247429	11.31753	314.8547
M3_S27_contig_15253	8.812739	8.7033615	13919	17.686796	11.406811	318.47528	7.3776994	7.2217765	13863	15.478306	11.380176	317.26666	8.508197	8.345423	13997	13.83409	12.98746	361.3123
M3_S27_contig_15645	41.738533	6.513359	13096	169881.69	95.00253	2652.4478	41.31041	6.724968	13165	154652.75	116.084595	3236.3093	39.81091	6.718822	13165	138302.16	109.91891	3057.9531
M3_S27_contig_16283	213.34987	107.4148	14669	390026	296.56293	8279.967	194.12509	98.4233	14489	328170.4	316.21957	8815.851	210.01823	105.00182	14762	381824.97	343.9847	9569.684
M3_S27_contig_16352	8.165393	7.9914026	20420	17.10959	11.260507	314.39053	5.16554	5.079769	20144	7.964956	7.596354	211.77792	6.8250566	6.6530633	20273	12.239758	10.090267	280.7122
M3_S27_contig_16380	7.2479296	7.125	13968	13.992143	9.149343	255.44759	6.1459165	6.029743	14059	8.955361	8.929909	248.95586	8.025843	7.9038706	13995	16.07415	11.637488	323.75595
M3_S27_contig_17465	8.661216	8.47306	12686	12.299497	11.342421	316.67746	7.3865666	7.214906	12628	12.795906	11.286882	314.6656	7.536774	7.348635	12686	10.845717	11.215976	312.0296
M3_S27_contig_17475	7.755702	7.6902695	22266	11.325187	9.881343	275.88455	5.4269457	5.341647	21819	7.413598	7.8682528	219.35817	9.340635	9.176896	22291	13.824611	13.569001	377.49084
M3_S27_contig_17502	8.321922	8.163805	11280	14.369805	11.719366	327.202	6.8354897	6.6656017	11180	10.531744	10.089401	281.28137	8.147439	7.8669395	11280	16.66736	12.439877	346.07837
M3_S27_contig_17953	700.86084	691.6202	38389	13712.423	885.40784	24720.373	604.6407	595.02014	38389	8237.666	881.84985	24584.986	593.5286	583.14935	38389	7383.1953	868.4286	24159.762
M3_S27_contig_19399	31.684204	31.128317	16021	194.35004	43.546192	1215.7991	23.86617	23.38152	16021	125.72023	37.338593	1040.9581	30.232752	29.78719	16021	165.38336	46.912407	1305.1074
M3_S27_contig_20079	12.189237	11.216774	20273	71.77216	17.59544	491.2605	9.301545	8.501352	20205	46.02645	14.640947	408.1733	11.181683	10.471426	20273	53.95874	17.600052	489.63492
M3_S27_contig_20283	11.032316	10.932589	12280	17.972576	16.06095	448.41788	5.094064	5.034347	12032	6.2702355	7.4603043	207.98503	7.64831	7.496428	12280	12.360433	11.1069765	308.99698
M3_S27_contig_20317	6.4667215	6.1456857	25090	17.902853	8.393057	234.33208	5.7525697	5.507056	25081	13.914975	8.438114	235.24518	6.343182	6.105302	25576	13.911416	9.276275	258.06683
M3_S27_contig_20361	6.2586846	6.1566305	16205	9.102653	7.937752	221.62009	6.0561714	5.9126863	16246	10.070881	8.804676	245.46458	7.3415866	7.28329	16335	8.174904	10.667773	296.7783
M3_S27_contig_20484	9.211277	9.092815	13078	19.273449	13.103848	365.8563	5.5418487	5.4773717	12602	9.417058	8.054016	224.53697	8.056924	7.825961	13123	18.237974	11.619065	323.24353
M3_S27_contig_21009	18.767607	15.590291	17478	571.8939	25.71751	718.02686	15.794803	13.425168	17356	383.5895	25.701513	716.5294	15.252228	12.463239	17443	442.81177	24.991383	695.26245
M3_S27_contig_21590	6.304893	6.1619234	16910	11.970866	8.181209	228.41727	5.3647175	5.2524695	16735	7.8836966	7.7349358	215.64143	6.5861745	6.4503107	17026	10.352351	9.502101	264.34927
M3_S27_contig_23315	11.178707	10.930441	37916	24.16943	13.939778	389.19522	11.668859	11.456492	37913	24.08888	17.0322	474.83868	12.574804	12.41275	38022	23.878166	18.3781	511.28043
M3_S27_contig_23874	4.1171894	3.985888	12855	7.3240542	5.173662	144.4474	2.8825905	2.7893791	12882	3.1892543	4.1722884	116.31873	3.2146266	3.1234195	12988	4.4521694	4.659713	129.63367
M3_S27_contig_25655	6.5383387	6.291606	10459	15.784125	8.489126	237.01451	5.0645556	4.8414073	10358	11.077968	7.3799253	205.74411	5.716313	5.6731052	10657	7.8404813	8.311016	231.21317
M3_S27_contig_26061	10.089303	9.982159	23128	16.015358	12.7417345	355.74628	10.141439	10.004448	23050	15.376692	14.856512	414.18298	9.373357	9.256793	23128	11.968398	13.8422365	385.09225
M3_S27_contig_28795	54.039692	51.261124	14007	437.8659	71.87106	2006.6224	51.127735	48.34675	14007	382.29834	78.45472	2187.2305	43.387817	41.71779	14007	186.91556	66.51127	1850.3494
M3_S27_contig_29458	7.396891	7.280298	15531	13.054763	9.475503	264.55383	5.962072	5.847345	15439	8.610095	8.883335	247.65747	7.3935366	7.256719	15653	9.380338	11.0836735	308.34875
M3_S27_contig_30702	9.401771	9.084153	36534	33.02578	14.114432	394.07166	6.2187276	6.0118093	35288	16.477858	9.21401	256.8762	8.646155	8.456678	36515	26.03945	12.7857	355.6993
M3_S27_contig_31537	7.8421535	7.7706914	11083	11.657992	10.64089	297.09122	5.9492736	5.8108053	11027	8.81196	8.632861	240.67462	7.880724	7.7889714	11091	10.6948185	11.471285	319.132
M3_S27_contig_32302	6.3258796	6.1288724	11100	13.363323	8.0073	223.56178	4.6875725	4.4373946	10898	9.907282	6.71473	187.1991	5.380223	5.23884	11317	8.798755	7.7699428	216.1605
M3_S27_contig_35421	10.520094	10.225734	21796	30.881039	13.659968	381.38318	8.525039	8.268471	21828	24.688484	12.441127	346.84473	8.593849	8.405403	22185	19.132565	12.604555	350.65973
M3_S27_contig_35789	7.4553714	7.308591	11366	12.388251	9.8446865	274.86142	6.910565	6.8363023	11347	9.464783	10.157288	283.17377	9.164618	8.980503	11376	14.154282	13.524267	376.2464
M3_S27_contig_35797	8.222046	7.94234	11398	20.935005	10.432851	291.28268	5.95656	5.8255506	10981	14.530099	8.780732	244.79715	6.39933	6.2009788	10985	17.604883	9.60295	267.15485
M3_S27_contig_36977	9.017458	8.589433	11755	28.745459	12.683247	354.1131	5.7721877	5.5890503	11715	10.135162	8.79444	245.17914	8.999226	8.649628	11778	19.774233	13.544409	376.80658
M3_S27_contig_37176	8.371947	8.184578	15999	16.184021	10.987357	306.7643	7.7770205	7.7416053	15893	9.133767	11.316269	315.485	8.07685	8.02068	15999	10.633289	11.689669	325.20758
M3_S27_contig_39117	54.258408	52.637875	17785	273.94067	69.128136	1930.0409	54.563255	52.65791	17785	238.25905	79.88506	2227.1072	41.071053	39.54325	17785	163.4097	60.395134	1680.1981
M3_S27_contig_40777	19.004827	18.656889	179495	71.90285	24.478336	683.4294	12.0967245	11.797565	179453	36.815853	17.570614	489.84906	15.955919	15.638837	179500	51.134445	23.247347	646.7432
M3_S27_contig_41072	14.909736	14.746388	45528	28.823986	20.348455	568.1238	10.264401	10.180451	45522	15.341903	15.031935	419.0736	15.867953	15.702585	45525	26.49058	23.137314	643.682
M3_S27_contig_42763	11.3059635	11.138803	10903	17.373722	14.99971	418.78836	7.912131	7.7567596	10900	12.633801	11.681722	325.67343	9.147316	9.064603	10916	13.346807	13.17456	366.51733
M3_S27_contig_1621|provirus_36529_86612	119.285034	119.27126	50084	257.67007	149.70592	4179.7524	117.601135	117.60881	50084	217.17502	170.83911	4762.8047	109.645836	109.38334	50084	177.98265	159.96437	4450.223
M3_S27_contig_1784|provirus_19300_29937	11.574084	11.385063	10638	17.097204	15.075197	420.89606	9.549199	9.078602	10638	26.512693	15.321264	427.1399	10.139207	9.750106	10638	29.205761	15.960034	444.00952
M3_S27_contig_4703|provirus_36829_60606	12.787667	12.590238	23736	25.09069	18.042383	503.73892	8.729304	8.594846	23778	11.530987	12.757343	355.66046	13.865414	13.751388	23778	20.245567	20.292131	564.529
M3_S27_contig_5071|provirus_1_77415	12.19648	11.651189	77407	178.70895	16.387083	457.5234	9.871922	9.317807	77302	221.54301	15.389759	429.04932	16.627478	16.031118	77415	208.38763	25.246614	702.36334
M3_S27_contig_6013|provirus_24012_61062	121.71182	122.006325	37051	463.74158	151.92293	4241.6523	153.72299	153.70943	37051	488.5897	224.27888	6252.6436	117.29522	117.22489	37051	274.91034	171.75787	4778.3184
M3_S27_contig_6593|provirus_160587_184010	146.39203	104.88471	22959	110992.414	191.78983	5354.725	120.30351	88.38753	23150	74232.41	183.55016	5117.173	114.99549	83.79869	23194	67514.75	176.52919	4911.057
M3_S27_contig_7502|provirus_2_10458	9.156108	9.035572	10456	13.5493765	12.065555	336.86746	6.592607	6.4061656	10457	10.319656	9.593269	267.44952	8.032017	7.9516006	10457	10.39195	11.62418	323.38568
M3_S27_contig_7596|provirus_9462_22478	11.304578	10.926432	12949	36.870296	14.702367	410.48663	9.209994	8.8119335	12903	28.567902	13.791638	384.4954	10.152017	9.809429	12834	31.001448	15.457322	430.02405
M3_S27_contig_9074|provirus_12655_34354	13.133921	10.9945345	21686	875.70264	21.844316	609.8881	9.975731	7.904877	21546	814.09344	20.17628	562.4922	12.585894	10.666839	21700	709.0026	23.582905	656.07837
M3_S27_contig_9171|provirus_20191_31970	4.396217	4.228888	11255	8.043532	5.8065267	162.11674	3.5765262	3.4222393	10756	6.3757324	5.523301	153.98343	5.3042994	5.1196027	11668	9.912812	8.169726	227.28256
M3_S27_contig_17444|provirus_15465_30416	8.388799	8.239453	14924	14.4512825	10.832315	302.4358	6.6676803	6.465471	14949	12.098933	9.838303	274.2809	9.768004	9.689912	14952	11.813484	14.28886	397.51746
M3_S27_contig_18596|provirus_2284_18261	11.307872	11.137934	15978	19.496098	16.425062	458.58383	6.4034624	6.210375	15824	13.587382	9.26103	258.18723	9.976371	9.908816	15978	12.889943	14.573243	405.42892
M3_S27_contig_18679|provirus_98368_148407	918.36206	920.8609	50040	81205.875	1150.8403	32131.188	852.17255	854.17035	50040	74028.82	1235.8676	34454.605	857.85095	859.6792	50039	72533.33	1247.9225	34717.313
M3_S27_contig_24486|provirus_114286_169962	66.88085	64.28362	55677	568.83594	87.34978	2438.785	68.36591	66.08304	55677	488.72644	103.736275	2892.052	60.341095	58.048023	55677	468.21094	92.27059	2566.9758
M3_S27_contig_26920|provirus_33_33948	11.26959	10.955215	33834	37.4154	14.462251	403.78244	9.799591	9.480783	33858	32.678482	14.378384	400.85324	8.579903	8.413656	33793	20.916918	12.585731	350.1361
M3_S27_contig_28191|provirus_1_12459	19.93257	19.523603	12459	40.43695	26.725018	746.156	14.560078	14.325751	12459	26.065557	21.954567	612.06903	17.242262	17.04179	12459	30.36265	25.923447	721.19257
M3_S27_contig_32767|provirus_125_24152	48.143394	47.800575	24028	98.7601	62.303246	1739.492	31.028646	30.870697	24028	49.09595	45.372524	1264.9353	37.41243	37.32933	24028	48.169052	54.757282	1523.3519
M3_S27_contig_33170|provirus_134816_165826	15.053984	14.942646	31011	21.807388	19.279852	538.28906	11.905252	11.696921	31011	22.849474	17.437468	486.13718	19.847218	19.72306	31011	33.59569	29.02835	807.5715
M3_S27_contig_34944|provirus_1815_45454	6.708853	6.478591	43402	16.824562	8.45822	236.15149	5.5119567	5.3635993	42499	10.471116	8.077986	225.2052	5.7718325	5.5641255	42818	12.028028	8.456157	235.25102
M3_S27_contig_37972|provirus_3_20033	6.12771	5.770748	19681	18.305168	7.9176226	221.05817	5.803028	5.608562	19538	12.70587	8.419221	234.71834	7.297017	7.112558	19845	16.614845	10.676715	297.02716
M3_S27_contig_40358|provirus_237_37281	73.91744	72.301445	37045	302.45938	93.65115	2614.7183	76.16672	75.22282	37045	235.36662	112.27802	3130.1868	74.94726	73.4216	37045	303.10403	110.87338	3084.5068
M3_S27_contig_44395|provirus_20_11390	10.580697	5.7783937	11239	743.62476	13.464478	375.92505	9.935745	4.4934154	10749	939.82916	14.888596	415.07742	10.525087	5.744133	11207	732.37805	15.814036	439.94794
