sample	coverage	full_coverage	relative_abundance	level	taxonomy
F8_S24_raw_R1	0	1282.3	100.0	root	Root
F8_S24_raw_R1	3.07	3.07	0.24	domain	Root; d__Archaea
F8_S24_raw_R1	16.21	1279.23	99.76	domain	Root; d__Bacteria
F8_S24_raw_R1	0.23	0.57	0.04	phylum	Root; d__Bacteria; p__Actinomycetota
F8_S24_raw_R1	0.11	16.24	1.27	phylum	Root; d__Bacteria; p__Verrucomicrobiota
F8_S24_raw_R1	0.23	2.32	0.18	phylum	Root; d__Bacteria; p__Pseudomonadota
F8_S24_raw_R1	0	728.58	56.82	phylum	Root; d__Bacteria; p__Bacillota_A
F8_S24_raw_R1	0	490.67	38.26	phylum	Root; d__Bacteria; p__Bacteroidota
F8_S24_raw_R1	0	21.89	1.71	phylum	Root; d__Bacteria; p__Bacillota_C
F8_S24_raw_R1	0	1.9	0.15	phylum	Root; d__Bacteria; p__Bacillota_I
F8_S24_raw_R1	0	0.85	0.07	phylum	Root; d__Bacteria; p__Desulfobacterota
F8_S24_raw_R1	0	0.34	0.03	class	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
F8_S24_raw_R1	0.05	16.13	1.26	class	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae
F8_S24_raw_R1	0.11	1.47	0.11	class	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
F8_S24_raw_R1	0.17	0.62	0.05	class	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
F8_S24_raw_R1	6.19	728.58	56.82	class	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
F8_S24_raw_R1	0	490.67	38.26	class	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
F8_S24_raw_R1	0	21.89	1.71	class	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
F8_S24_raw_R1	0	1.9	0.15	class	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A
F8_S24_raw_R1	0	0.85	0.07	class	Root; d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia
F8_S24_raw_R1	0	0.34	0.03	order	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales
F8_S24_raw_R1	0	16.08	1.25	order	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales
F8_S24_raw_R1	0.17	1.36	0.11	order	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales
F8_S24_raw_R1	0.45	0.45	0.04	order	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
F8_S24_raw_R1	0.51	42.39	3.31	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
F8_S24_raw_R1	33.75	632.69	49.34	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
