sample	coverage	taxonomy
J1_S17_raw_R1	1.48	Root; d__Archaea
J1_S17_raw_R1	4.73	Root; d__Bacteria
J1_S17_raw_R1	0.68	Root; d__Bacteria; p__Patescibacteria
J1_S17_raw_R1	0.06	Root; d__Bacteria; p__Acidobacteriota
J1_S17_raw_R1	1.46	Root; d__Bacteria; p__Pseudomonadota
J1_S17_raw_R1	0.34	Root; d__Bacteria; p__Actinomycetota
J1_S17_raw_R1	0.57	Root; d__Bacteria; p__Planctomycetota
J1_S17_raw_R1	0.96	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia
J1_S17_raw_R1	0.28	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria
J1_S17_raw_R1	0.45	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia
J1_S17_raw_R1	0.12	Root; d__Bacteria; p__Bacillota; c__Bacilli
J1_S17_raw_R1	0.74	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
J1_S17_raw_R1	0.69	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
J1_S17_raw_R1	0.68	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
J1_S17_raw_R1	0.51	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
J1_S17_raw_R1	13.08	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales
J1_S17_raw_R1	1.48	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__UBA4664
J1_S17_raw_R1	0.57	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9973
J1_S17_raw_R1	0.4	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales
J1_S17_raw_R1	0.23	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
J1_S17_raw_R1	0.85	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
J1_S17_raw_R1	0.74	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__UBA1547
J1_S17_raw_R1	18.6	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__UBA4665
J1_S17_raw_R1	1.4	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__UBA10212
J1_S17_raw_R1	0.56	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__UBA2112
J1_S17_raw_R1	0.49	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__JACDBH01
