sample	coverage	taxonomy
F8_S24_raw_R1	3.07	Root; d__Archaea
F8_S24_raw_R1	16.21	Root; d__Bacteria
F8_S24_raw_R1	0.23	Root; d__Bacteria; p__Actinomycetota
F8_S24_raw_R1	0.11	Root; d__Bacteria; p__Verrucomicrobiota
F8_S24_raw_R1	0.23	Root; d__Bacteria; p__Pseudomonadota
F8_S24_raw_R1	6.19	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
F8_S24_raw_R1	0.05	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae
F8_S24_raw_R1	0.11	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
F8_S24_raw_R1	0.17	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
F8_S24_raw_R1	6.74	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
F8_S24_raw_R1	0.51	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
F8_S24_raw_R1	33.75	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
F8_S24_raw_R1	0.57	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales
F8_S24_raw_R1	0.8	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales
F8_S24_raw_R1	0.34	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales
F8_S24_raw_R1	0.17	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales
F8_S24_raw_R1	0.45	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
F8_S24_raw_R1	0.11	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales
F8_S24_raw_R1	5.56	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae
