sample	coverage	full_coverage	relative_abundance	level	taxonomy
F4_S20_raw_R1	0	1184.75	100.0	root	Root
F4_S20_raw_R1	4.13	4.13	0.35	domain	Root; d__Archaea
F4_S20_raw_R1	14.19	1180.62	99.65	domain	Root; d__Bacteria
F4_S20_raw_R1	0.11	14.47	1.22	phylum	Root; d__Bacteria; p__Verrucomicrobiota
F4_S20_raw_R1	0.11	2.04	0.17	phylum	Root; d__Bacteria; p__Pseudomonadota
F4_S20_raw_R1	0	748.98	63.22	phylum	Root; d__Bacteria; p__Bacillota_A
F4_S20_raw_R1	0	381.88	32.23	phylum	Root; d__Bacteria; p__Bacteroidota
F4_S20_raw_R1	0	1.01	0.09	phylum	Root; d__Bacteria; p__Bacillota_I
F4_S20_raw_R1	0	18.05	1.52	phylum	Root; d__Bacteria; p__Bacillota_C
F4_S20_raw_R1	0	14.36	1.21	class	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae
F4_S20_raw_R1	0.28	1.65	0.14	class	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
F4_S20_raw_R1	0.28	0.28	0.02	class	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
F4_S20_raw_R1	8.4	748.98	63.22	class	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
F4_S20_raw_R1	0.06	381.88	32.23	class	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
F4_S20_raw_R1	0	1.01	0.09	class	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A
F4_S20_raw_R1	0	18.05	1.52	class	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
F4_S20_raw_R1	0	14.36	1.21	order	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales
F4_S20_raw_R1	0.23	1.37	0.12	order	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales
F4_S20_raw_R1	30.41	659.14	55.64	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
F4_S20_raw_R1	0.34	41.68	3.52	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
F4_S20_raw_R1	0.28	7.47	0.63	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales
F4_S20_raw_R1	0.91	1.87	0.16	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales
F4_S20_raw_R1	0	1.31	0.11	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__UBA1381
