sample	coverage	full_coverage	relative_abundance	level	taxonomy
F7_S23_raw_R1	0	1264.67	100.0	root	Root
F7_S23_raw_R1	3.49	3.49	0.28	domain	Root; d__Archaea
F7_S23_raw_R1	10.97	1261.18	99.72	domain	Root; d__Bacteria
F7_S23_raw_R1	0.18	0.46	0.04	phylum	Root; d__Bacteria; p__Actinomycetota
F7_S23_raw_R1	0.06	15.96	1.26	phylum	Root; d__Bacteria; p__Verrucomicrobiota
F7_S23_raw_R1	0.34	0.34	0.03	phylum	Root; d__Bacteria; p__Desulfobacterota
F7_S23_raw_R1	0.17	3.02	0.24	phylum	Root; d__Bacteria; p__Pseudomonadota
F7_S23_raw_R1	0	486.88	38.5	phylum	Root; d__Bacteria; p__Bacteroidota
F7_S23_raw_R1	0	717.04	56.7	phylum	Root; d__Bacteria; p__Bacillota_A
F7_S23_raw_R1	0	0.34	0.03	phylum	Root; d__Bacteria; p__Bacillota
F7_S23_raw_R1	0	23.47	1.86	phylum	Root; d__Bacteria; p__Bacillota_C
F7_S23_raw_R1	0	2.7	0.21	phylum	Root; d__Bacteria; p__Bacillota_I
F7_S23_raw_R1	0	0.28	0.02	class	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
F7_S23_raw_R1	0.05	15.9	1.26	class	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae
F7_S23_raw_R1	0.23	2.23	0.18	class	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
F7_S23_raw_R1	0.28	0.62	0.05	class	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
F7_S23_raw_R1	0.11	486.88	38.5	class	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
F7_S23_raw_R1	7.3	717.04	56.7	class	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
F7_S23_raw_R1	0.34	0.34	0.03	class	Root; d__Bacteria; p__Bacillota; c__Bacilli
F7_S23_raw_R1	0	23.47	1.86	class	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
F7_S23_raw_R1	0	2.7	0.21	class	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A
F7_S23_raw_R1	0.28	0.28	0.02	order	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales
