sample	coverage	full_coverage	relative_abundance	level	taxonomy
GP3_S28_raw_R1	0	26.65	100.0	root	Root
GP3_S28_raw_R1	2.61	26.65	100.0	domain	Root; d__Bacteria
GP3_S28_raw_R1	0	17.11	64.2	phylum	Root; d__Bacteria; p__Bacillota_A
GP3_S28_raw_R1	0	6.93	26.0	phylum	Root; d__Bacteria; p__Bacteroidota
GP3_S28_raw_R1	1.07	17.11	64.2	class	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
GP3_S28_raw_R1	0	6.93	26.0	class	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
GP3_S28_raw_R1	0.31	4.05	15.2	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
GP3_S28_raw_R1	0.96	9.84	36.92	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
GP3_S28_raw_R1	0	0.85	3.19	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Monoglobales
GP3_S28_raw_R1	0	1.3	4.88	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Eubacteriales
GP3_S28_raw_R1	0.28	6.93	26.0	order	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
GP3_S28_raw_R1	0.45	0.45	1.69	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
GP3_S28_raw_R1	0.23	3.29	12.35	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Anaerotignaceae
GP3_S28_raw_R1	1.03	5.75	21.58	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae
GP3_S28_raw_R1	0.83	1.2	4.5	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae
GP3_S28_raw_R1	1.02	1.93	7.24	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae
