sample	coverage	full_coverage	relative_abundance	level	taxonomy
M2_S26_raw_R1	0	5740.78	100.0	root	Root
M2_S26_raw_R1	6.81	6.81	0.12	domain	Root; d__Archaea
M2_S26_raw_R1	16.34	5733.97	99.88	domain	Root; d__Bacteria
M2_S26_raw_R1	2.02	276.29	4.81	phylum	Root; d__Bacteria; p__Actinomycetota
M2_S26_raw_R1	0.23	65.92	1.15	phylum	Root; d__Bacteria; p__Pseudomonadota
M2_S26_raw_R1	0.06	34.7	0.6	phylum	Root; d__Bacteria; p__Bacteroidota
M2_S26_raw_R1	0.05	1.07	0.02	phylum	Root; d__Bacteria; p__Desulfobacterota
M2_S26_raw_R1	0	4213.6	73.4	phylum	Root; d__Bacteria; p__Bacillota_A
M2_S26_raw_R1	0	472.57	8.23	phylum	Root; d__Bacteria; p__Bacillota_I
M2_S26_raw_R1	0	433.03	7.54	phylum	Root; d__Bacteria; p__Verrucomicrobiota
M2_S26_raw_R1	0	142.63	2.48	phylum	Root; d__Bacteria; p__Bacillota
M2_S26_raw_R1	0	77.82	1.36	phylum	Root; d__Bacteria; p__Bacillota_C
M2_S26_raw_R1	0.06	145.23	2.53	class	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
M2_S26_raw_R1	0.4	129.04	2.25	class	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
M2_S26_raw_R1	1.25	65.69	1.14	class	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
M2_S26_raw_R1	0.06	34.64	0.6	class	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
M2_S26_raw_R1	0	1.02	0.02	class	Root; d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia
M2_S26_raw_R1	20.37	4213.6	73.4	class	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
M2_S26_raw_R1	0.06	472.57	8.23	class	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A
M2_S26_raw_R1	0.17	433.03	7.54	class	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae
M2_S26_raw_R1	0	142.63	2.48	class	Root; d__Bacteria; p__Bacillota; c__Bacilli
M2_S26_raw_R1	0	77.82	1.36	class	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
M2_S26_raw_R1	0.39	145.17	2.53	order	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales
M2_S26_raw_R1	1.37	127.79	2.23	order	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales
M2_S26_raw_R1	0.11	0.85	0.01	order	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales
M2_S26_raw_R1	0.32	63.93	1.11	order	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales
M2_S26_raw_R1	0	0.51	0.01	order	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
M2_S26_raw_R1	0.85	34.58	0.6	order	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
M2_S26_raw_R1	0	1.02	0.02	order	Root; d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia; o__Desulfovibrionales
M2_S26_raw_R1	0.67	3573.57	62.25	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
M2_S26_raw_R1	5.28	504.04	8.78	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
M2_S26_raw_R1	0.4	33.01	0.58	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales
