sample	coverage	taxonomy
F3_S19_raw_R1	3.86	Root; d__Archaea
F3_S19_raw_R1	17.46	Root; d__Bacteria
F3_S19_raw_R1	0.06	Root; d__Bacteria; p__Verrucomicrobiota
F3_S19_raw_R1	0.28	Root; d__Bacteria; p__Pseudomonadota
F3_S19_raw_R1	0.51	Root; d__Bacteria; p__Actinomycetota
F3_S19_raw_R1	0.06	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
F3_S19_raw_R1	0.06	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae
F3_S19_raw_R1	8.44	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
F3_S19_raw_R1	0.11	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
F3_S19_raw_R1	0.23	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
F3_S19_raw_R1	0.06	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A
F3_S19_raw_R1	4.0	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
F3_S19_raw_R1	35.01	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
F3_S19_raw_R1	1.36	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
F3_S19_raw_R1	1.13	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales
F3_S19_raw_R1	0.34	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales
F3_S19_raw_R1	0.45	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales
F3_S19_raw_R1	0.4	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
F3_S19_raw_R1	0.17	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales
F3_S19_raw_R1	0.06	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales
F3_S19_raw_R1	7.36	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae
F3_S19_raw_R1	0.11	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae
F3_S19_raw_R1	7.94	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae
F3_S19_raw_R1	11.59	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae
F3_S19_raw_R1	8.71	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae
F3_S19_raw_R1	0.09	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Butyricicoccaceae
F3_S19_raw_R1	4.19	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
F3_S19_raw_R1	0.4	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Anaerotignaceae
F3_S19_raw_R1	0.06	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Clostridiales; f__Clostridiaceae
F3_S19_raw_R1	0.11	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Monoglobales; f__Monoglobaceae
F3_S19_raw_R1	0.13	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales; f__Aristaeellaceae
F3_S19_raw_R1	0.45	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales; f__Christensenellaceae
F3_S19_raw_R1	0.11	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Peptostreptococcaceae
F3_S19_raw_R1	0.17	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Erysipelotrichaceae
F3_S19_raw_R1	3.96	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
F3_S19_raw_R1	1.05	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides
