sample	coverage	full_coverage	relative_abundance	level	taxonomy
GP5_S30_raw_R1	0	29.4	100.0	root	Root
GP5_S30_raw_R1	3.28	29.4	100.0	domain	Root; d__Bacteria
GP5_S30_raw_R1	0	18.41	62.62	phylum	Root; d__Bacteria; p__Bacillota_A
GP5_S30_raw_R1	0	7.48	25.44	phylum	Root; d__Bacteria; p__Bacteroidota
GP5_S30_raw_R1	0	0.23	0.78	phylum	Root; d__Bacteria; p__Bacillota_C
GP5_S30_raw_R1	1.74	18.41	62.62	class	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
GP5_S30_raw_R1	0	7.48	25.44	class	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
GP5_S30_raw_R1	0	0.23	0.78	class	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
GP5_S30_raw_R1	0.4	3.35	11.39	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
GP5_S30_raw_R1	0.91	11.06	37.62	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
GP5_S30_raw_R1	0	0.9	3.06	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Monoglobales
GP5_S30_raw_R1	0	1.36	4.63	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Eubacteriales
GP5_S30_raw_R1	0.34	7.48	25.44	order	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
GP5_S30_raw_R1	0.23	0.23	0.78	order	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales
GP5_S30_raw_R1	0.23	2.95	10.03	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Anaerotignaceae
GP5_S30_raw_R1	0.82	1.47	5.0	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae
GP5_S30_raw_R1	1.37	6.87	23.37	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae
GP5_S30_raw_R1	0.96	1.81	6.16	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae
GP5_S30_raw_R1	0.11	0.9	3.06	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Monoglobales; f__Monoglobaceae
GP5_S30_raw_R1	0	1.36	4.63	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Eubacteriales; f__Eubacteriaceae
