sample	coverage	full_coverage	relative_abundance	level	taxonomy
M1_S25_raw_R1	0	5883.6	100.0	root	Root
M1_S25_raw_R1	6.67	6.67	0.11	domain	Root; d__Archaea
M1_S25_raw_R1	25.44	5876.93	99.89	domain	Root; d__Bacteria
M1_S25_raw_R1	0.06	59.89	1.02	phylum	Root; d__Bacteria; p__Pseudomonadota
M1_S25_raw_R1	0	4444.75	75.54	phylum	Root; d__Bacteria; p__Bacillota_A
M1_S25_raw_R1	0	495.7	8.43	phylum	Root; d__Bacteria; p__Bacillota_I
M1_S25_raw_R1	0	144.51	2.46	phylum	Root; d__Bacteria; p__Bacillota
M1_S25_raw_R1	0	79.3	1.35	phylum	Root; d__Bacteria; p__Bacillota_C
M1_S25_raw_R1	0	220.32	3.74	phylum	Root; d__Bacteria; p__Actinomycetota
M1_S25_raw_R1	0	363.5	6.18	phylum	Root; d__Bacteria; p__Verrucomicrobiota
M1_S25_raw_R1	0	42.04	0.71	phylum	Root; d__Bacteria; p__Bacteroidota
M1_S25_raw_R1	0	1.48	0.03	phylum	Root; d__Bacteria; p__Desulfobacterota
M1_S25_raw_R1	1.87	59.83	1.02	class	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
M1_S25_raw_R1	43.56	4444.75	75.54	class	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
M1_S25_raw_R1	0.19	495.7	8.43	class	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A
M1_S25_raw_R1	0.64	144.51	2.46	class	Root; d__Bacteria; p__Bacillota; c__Bacilli
M1_S25_raw_R1	0.06	79.3	1.35	class	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
M1_S25_raw_R1	0.51	108.27	1.84	class	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
M1_S25_raw_R1	0.06	112.05	1.9	class	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
M1_S25_raw_R1	0	363.5	6.18	class	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae
M1_S25_raw_R1	0	42.04	0.71	class	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
M1_S25_raw_R1	0	1.48	0.03	class	Root; d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia
M1_S25_raw_R1	0.46	57.51	0.98	order	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales
M1_S25_raw_R1	0	0.45	0.01	order	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
M1_S25_raw_R1	0.4	3824.02	64.99	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
M1_S25_raw_R1	1.76	458.51	7.79	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
M1_S25_raw_R1	0.27	39.12	0.66	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales
