sample	coverage	full_coverage	relative_abundance	level	taxonomy
M3_S27_raw_R1	11.28	3413.14	60.67	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
M3_S27_raw_R1	0.01	0.41	0.01	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Anaerotignaceae
M3_S27_raw_R1	0.06	1.02	0.02	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Bianqueaceae
M3_S27_raw_R1	1.29	33.44	0.59	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae
M3_S27_raw_R1	0.11	0.51	0.01	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Peptostreptococcaceae
M3_S27_raw_R1	0	0.9	0.02	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Eubacteriales; f__Anaerofustaceae
M3_S27_raw_R1	0	15.5	0.28	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Eubacteriales; f__Eubacteriaceae
M3_S27_raw_R1	0.28	2.21	0.04	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales; f__Christensenellaceae
M3_S27_raw_R1	0.62	2.77	0.05	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales; f__Aristaeellaceae
M3_S27_raw_R1	1.92	2.94	0.05	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales; f__Peptoniphilaceae
M3_S27_raw_R1	2.75	248.81	4.42	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae
M3_S27_raw_R1	4.2	172.22	3.06	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae
M3_S27_raw_R1	5.14	105.78	1.88	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae
M3_S27_raw_R1	0	5.61	0.1	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Butyricicoccaceae
M3_S27_raw_R1	0.06	28.75	0.51	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Clostridiales; f__Clostridiaceae
M3_S27_raw_R1	0.34	9.4	0.17	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Monoglobales; f__Monoglobaceae
M3_S27_raw_R1	0.05	8.26	0.15	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__UBA1381; f__UBA1381
M3_S27_raw_R1	3.3	535.86	9.53	family	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Erysipelotrichaceae
M3_S27_raw_R1	0.28	37.22	0.66	family	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Coprobacillaceae
M3_S27_raw_R1	0.51	118.01	2.1	family	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Streptococcaceae
M3_S27_raw_R1	0.17	3.56	0.06	family	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Aerococcaceae
M3_S27_raw_R1	1.02	2.55	0.05	family	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
M3_S27_raw_R1	0	1.58	0.03	family	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Staphylococcales; f__Gemellaceae
M3_S27_raw_R1	0	3.68	0.07	family	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__MOL361; f__Turicibacteraceae
M3_S27_raw_R1	0.39	41.24	0.73	family	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae
M3_S27_raw_R1	0	1.93	0.03	family	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae
M3_S27_raw_R1	0	1.02	0.02	family	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae
M3_S27_raw_R1	0	0.79	0.01	family	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinifilaceae
M3_S27_raw_R1	0.11	80.36	1.43	family	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales; f__Dialisteraceae
M3_S27_raw_R1	0	0.4	0.01	family	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales; f__Veillonellaceae
M3_S27_raw_R1	0.28	389.67	6.93	family	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae
M3_S27_raw_R1	0	1.3	0.02	family	Root; d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfovibrionaceae
M3_S27_raw_R1	0	49.58	0.88	genus	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia
M3_S27_raw_R1	1.39	6.01	0.11	genus	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Pasteurellaceae; g__Haemophilus_D
M3_S27_raw_R1	0.02	0.46	0.01	genus	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Pasteurellaceae; g__Aggregatibacter
M3_S27_raw_R1	0	0.45	0.01	genus	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Neisseriaceae; g__QFNR01
M3_S27_raw_R1	4.22	22.91	0.41	genus	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Actinomycetaceae; g__Pauljensenia
