sample	coverage	full_coverage	relative_abundance	level	taxonomy
F6_S22_raw_R1	0	1157.04	100.0	root	Root
F6_S22_raw_R1	2.16	2.16	0.19	domain	Root; d__Archaea
F6_S22_raw_R1	18.6	1154.88	99.81	domain	Root; d__Bacteria
F6_S22_raw_R1	0.11	2.14	0.18	phylum	Root; d__Bacteria; p__Pseudomonadota
F6_S22_raw_R1	0.28	0.28	0.02	phylum	Root; d__Bacteria; p__Actinomycetota
F6_S22_raw_R1	0	673.65	58.22	phylum	Root; d__Bacteria; p__Bacillota_A
F6_S22_raw_R1	0	424.57	36.69	phylum	Root; d__Bacteria; p__Bacteroidota
F6_S22_raw_R1	0	2.09	0.18	phylum	Root; d__Bacteria; p__Bacillota_I
F6_S22_raw_R1	0	18.68	1.61	phylum	Root; d__Bacteria; p__Bacillota_C
F6_S22_raw_R1	0	0.74	0.06	phylum	Root; d__Bacteria; p__Desulfobacterota
F6_S22_raw_R1	0	14.13	1.22	phylum	Root; d__Bacteria; p__Verrucomicrobiota
F6_S22_raw_R1	0.11	1.75	0.15	class	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
F6_S22_raw_R1	0.28	0.28	0.02	class	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
F6_S22_raw_R1	6.79	673.65	58.22	class	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
F6_S22_raw_R1	0.06	424.57	36.69	class	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
F6_S22_raw_R1	0	2.09	0.18	class	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A
F6_S22_raw_R1	0	18.68	1.61	class	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
F6_S22_raw_R1	0	0.74	0.06	class	Root; d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia
F6_S22_raw_R1	0	14.13	1.22	class	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae
F6_S22_raw_R1	0.34	1.64	0.14	order	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales
F6_S22_raw_R1	33.61	580.74	50.19	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
F6_S22_raw_R1	0.79	41.63	3.6	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
F6_S22_raw_R1	0.11	7.12	0.62	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales
F6_S22_raw_R1	0.52	1.88	0.16	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales
F6_S22_raw_R1	0	3.0	0.26	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Monoglobales
F6_S22_raw_R1	0	0.96	0.08	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__UBA1381
F6_S22_raw_R1	0	24.4	2.11	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Clostridiales
F6_S22_raw_R1	0	7.13	0.62	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Eubacteriales
F6_S22_raw_R1	6.04	424.51	36.69	order	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
F6_S22_raw_R1	0.06	2.09	0.18	order	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales
F6_S22_raw_R1	0.15	18.68	1.61	order	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales
F6_S22_raw_R1	0	0.74	0.06	order	Root; d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia; o__Desulfovibrionales
F6_S22_raw_R1	0	14.13	1.22	order	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales
F6_S22_raw_R1	0.06	0.51	0.04	family	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae
F6_S22_raw_R1	0	0.79	0.07	family	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Pasteurellaceae
F6_S22_raw_R1	7.17	88.72	7.67	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae
F6_S22_raw_R1	9.5	407.01	35.18	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae
F6_S22_raw_R1	5.37	51.4	4.44	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae
F6_S22_raw_R1	0.79	24.84	2.15	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Anaerotignaceae
F6_S22_raw_R1	5.28	16.0	1.38	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
F6_S22_raw_R1	0.45	6.45	0.56	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Peptostreptococcaceae
F6_S22_raw_R1	0.17	0.56	0.05	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae
F6_S22_raw_R1	0.17	0.57	0.05	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales; f__Aristaeellaceae
F6_S22_raw_R1	0.79	0.79	0.07	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales; f__Christensenellaceae
F6_S22_raw_R1	0.17	3.0	0.26	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Monoglobales; f__Monoglobaceae
F6_S22_raw_R1	0.05	0.96	0.08	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__UBA1381; f__UBA1381
F6_S22_raw_R1	0	24.4	2.11	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Clostridiales; f__Clostridiaceae
F6_S22_raw_R1	0	7.13	0.62	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Eubacteriales; f__Eubacteriaceae
F6_S22_raw_R1	3.88	399.27	34.51	family	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae
F6_S22_raw_R1	0.17	10.76	0.93	family	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae
F6_S22_raw_R1	0	5.04	0.44	family	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae
F6_S22_raw_R1	0	3.4	0.29	family	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinifilaceae
F6_S22_raw_R1	0.18	2.03	0.18	family	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Erysipelotrichaceae
F6_S22_raw_R1	0.11	18.13	1.57	family	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales; f__Dialisteraceae
F6_S22_raw_R1	0	0.4	0.03	family	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales; f__Veillonellaceae
F6_S22_raw_R1	0.06	0.74	0.06	family	Root; d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfovibrionaceae
F6_S22_raw_R1	0	14.13	1.22	family	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae
F6_S22_raw_R1	0.45	0.45	0.04	genus	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia
F6_S22_raw_R1	0.79	0.79	0.07	genus	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Pasteurellaceae; g__Haemophilus_D
F6_S22_raw_R1	2.06	6.63	0.57	genus	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__CAKTXU01
F6_S22_raw_R1	47.19	55.58	4.8	genus	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__Anaeromassilibacillus
F6_S22_raw_R1	0.27	5.52	0.48	genus	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__CAJFUH01
F6_S22_raw_R1	0.42	0.42	0.04	genus	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__Hominenteromicrobium
F6_S22_raw_R1	0.89	0.89	0.08	genus	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__Timburyella
