sample	coverage	full_coverage	relative_abundance	level	taxonomy
J2_S18_raw_R1	0	98.4	100.0	root	Root
J2_S18_raw_R1	2.06	2.06	2.09	domain	Root; d__Archaea
J2_S18_raw_R1	6.0	96.34	97.91	domain	Root; d__Bacteria
J2_S18_raw_R1	1.18	52.75	53.61	phylum	Root; d__Bacteria; p__Patescibacteria
J2_S18_raw_R1	0.79	6.21	6.31	phylum	Root; d__Bacteria; p__Actinomycetota
J2_S18_raw_R1	0.11	12.9	13.11	phylum	Root; d__Bacteria; p__Acidobacteriota
J2_S18_raw_R1	1.08	1.36	1.38	phylum	Root; d__Bacteria; p__Chloroflexota
J2_S18_raw_R1	0.34	0.97	0.99	phylum	Root; d__Bacteria; p__Planctomycetota
J2_S18_raw_R1	0	14.91	15.15	phylum	Root; d__Bacteria; p__Pseudomonadota
J2_S18_raw_R1	0	0.57	0.58	phylum	Root; d__Bacteria; p__Bacillota_A
J2_S18_raw_R1	0	0.39	0.4	phylum	Root; d__Bacteria; p__Bacteroidota
J2_S18_raw_R1	0	0.28	0.28	phylum	Root; d__Bacteria; p__Gemmatimonadota
J2_S18_raw_R1	0.4	49.7	50.51	class	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia
J2_S18_raw_R1	0.06	0.68	0.69	class	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria
J2_S18_raw_R1	1.19	1.19	1.21	class	Root; d__Bacteria; p__Patescibacteria; c__Microgenomatia
J2_S18_raw_R1	1.58	4.18	4.25	class	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
J2_S18_raw_R1	0.17	1.24	1.26	class	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
J2_S18_raw_R1	0.4	12.79	13.0	class	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia
J2_S18_raw_R1	0.28	0.28	0.28	class	Root; d__Bacteria; p__Chloroflexota; c__Dormibacteria
J2_S18_raw_R1	0.06	0.63	0.64	class	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia
J2_S18_raw_R1	2.63	13.31	13.53	class	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
J2_S18_raw_R1	0.57	1.6	1.63	class	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
J2_S18_raw_R1	0.34	0.57	0.58	class	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
J2_S18_raw_R1	0.39	0.39	0.4	class	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
J2_S18_raw_R1	0.28	0.28	0.28	class	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes
J2_S18_raw_R1	5.8	45.69	46.43	order	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales
J2_S18_raw_R1	0.46	3.61	3.67	order	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__UBA4664
J2_S18_raw_R1	0.62	0.62	0.63	order	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9973
J2_S18_raw_R1	0.73	1.3	1.32	order	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales
