Contig	F3_S19_subsampled_depth_8G_combined_mapped Mean	F3_S19_subsampled_depth_8G_combined_mapped Trimmed Mean	F3_S19_subsampled_depth_8G_combined_mapped Covered Bases	F3_S19_subsampled_depth_8G_combined_mapped Variance	F3_S19_subsampled_depth_8G_combined_mapped RPKM	F3_S19_subsampled_depth_8G_combined_mapped TPM	F4_S20_subsampled_depth_8G_combined_mapped Mean	F4_S20_subsampled_depth_8G_combined_mapped Trimmed Mean	F4_S20_subsampled_depth_8G_combined_mapped Covered Bases	F4_S20_subsampled_depth_8G_combined_mapped Variance	F4_S20_subsampled_depth_8G_combined_mapped RPKM	F4_S20_subsampled_depth_8G_combined_mapped TPM	F5_S21_subsampled_depth_8G_combined_mapped Mean	F5_S21_subsampled_depth_8G_combined_mapped Trimmed Mean	F5_S21_subsampled_depth_8G_combined_mapped Covered Bases	F5_S21_subsampled_depth_8G_combined_mapped Variance	F5_S21_subsampled_depth_8G_combined_mapped RPKM	F5_S21_subsampled_depth_8G_combined_mapped TPM	F6_S22_subsampled_depth_8G_combined_mapped Mean	F6_S22_subsampled_depth_8G_combined_mapped Trimmed Mean	F6_S22_subsampled_depth_8G_combined_mapped Covered Bases	F6_S22_subsampled_depth_8G_combined_mapped Variance	F6_S22_subsampled_depth_8G_combined_mapped RPKM	F6_S22_subsampled_depth_8G_combined_mapped TPM	F7_S23_subsampled_depth_8G_combined_mapped Mean	F7_S23_subsampled_depth_8G_combined_mapped Trimmed Mean	F7_S23_subsampled_depth_8G_combined_mapped Covered Bases	F7_S23_subsampled_depth_8G_combined_mapped Variance	F7_S23_subsampled_depth_8G_combined_mapped RPKM	F7_S23_subsampled_depth_8G_combined_mapped TPM	F8_S24_subsampled_depth_8G_combined_mapped Mean	F8_S24_subsampled_depth_8G_combined_mapped Trimmed Mean	F8_S24_subsampled_depth_8G_combined_mapped Covered Bases	F8_S24_subsampled_depth_8G_combined_mapped Variance	F8_S24_subsampled_depth_8G_combined_mapped RPKM	F8_S24_subsampled_depth_8G_combined_mapped TPM	GP3_S28_subsampled_depth_8G_combined_mapped Mean	GP3_S28_subsampled_depth_8G_combined_mapped Trimmed Mean	GP3_S28_subsampled_depth_8G_combined_mapped Covered Bases	GP3_S28_subsampled_depth_8G_combined_mapped Variance	GP3_S28_subsampled_depth_8G_combined_mapped RPKM	GP3_S28_subsampled_depth_8G_combined_mapped TPM	GP4_S29_subsampled_depth_8G_combined_mapped Mean	GP4_S29_subsampled_depth_8G_combined_mapped Trimmed Mean	GP4_S29_subsampled_depth_8G_combined_mapped Covered Bases	GP4_S29_subsampled_depth_8G_combined_mapped Variance	GP4_S29_subsampled_depth_8G_combined_mapped RPKM	GP4_S29_subsampled_depth_8G_combined_mapped TPM	GP5_S30_subsampled_depth_8G_combined_mapped Mean	GP5_S30_subsampled_depth_8G_combined_mapped Trimmed Mean	GP5_S30_subsampled_depth_8G_combined_mapped Covered Bases	GP5_S30_subsampled_depth_8G_combined_mapped Variance	GP5_S30_subsampled_depth_8G_combined_mapped RPKM	GP5_S30_subsampled_depth_8G_combined_mapped TPM	M1_S25_subsampled_depth_8G_combined_mapped Mean	M1_S25_subsampled_depth_8G_combined_mapped Trimmed Mean	M1_S25_subsampled_depth_8G_combined_mapped Covered Bases	M1_S25_subsampled_depth_8G_combined_mapped Variance	M1_S25_subsampled_depth_8G_combined_mapped RPKM	M1_S25_subsampled_depth_8G_combined_mapped TPM	M2_S26_subsampled_depth_8G_combined_mapped Mean	M2_S26_subsampled_depth_8G_combined_mapped Trimmed Mean	M2_S26_subsampled_depth_8G_combined_mapped Covered Bases	M2_S26_subsampled_depth_8G_combined_mapped Variance	M2_S26_subsampled_depth_8G_combined_mapped RPKM	M2_S26_subsampled_depth_8G_combined_mapped TPM	M3_S27_subsampled_depth_8G_combined_mapped Mean	M3_S27_subsampled_depth_8G_combined_mapped Trimmed Mean	M3_S27_subsampled_depth_8G_combined_mapped Covered Bases	M3_S27_subsampled_depth_8G_combined_mapped Variance	M3_S27_subsampled_depth_8G_combined_mapped RPKM	M3_S27_subsampled_depth_8G_combined_mapped TPM
F3_S19_subsampled_depth_8G_contig_274	117.79484	115.70533	50306	684.109	19.842945	759.3569	121.50586	119.53042	50306	811.9763	20.458477	788.3831	119.16973	116.73251	50306	785.79956	20.245123	779.797	108.24461	106.22314	50306	698.6853	18.452814	740.331	113.07803	111.0243	50306	725.54474	19.128193	764.29	110.97707	108.66368	50306	733.8467	18.879549	751.87445	78.27835	76.44564	50093	1450.29	11.097655	87.81547	62.193558	60.78397	50128	864.0539	8.579452	59.59507	72.85061	71.46637	50225	1159.4926	10.051415	75.096504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F3_S19_subsampled_depth_8G_contig_553	4418.8877	3983.9727	14285	18257382	742.7964	28425.596	4413.4775	3980.071	14028	18310452	741.4797	28573.482	4434.2607	3997.6113	14028	18459552	751.6217	28950.8	3923.2285	3542.0562	14028	14129221	667.3464	26774.08	4135.6216	3740.3977	14028	15313826	697.9819	27888.697	4046.135	3659.2053	14031	14824831	687.4476	27377.469	2353.5852	2063.1973	14028	6719188.5	335.10593	2651.685	2065.1936	1814.683	14031	5175812.5	286.03467	1986.8691	2360.7158	2067.0146	14031	6832874.5	326.817	2441.7263	4.136682	3.6743693	11924	19.057446	16.14869	431.87222	5.7032895	5.072546	13485	33.397453	21.143217	561.7599	6.4561725	5.8141947	13452	43.755245	22.932802	601.9394
F3_S19_subsampled_depth_8G_contig_640	73.42487	59.854343	56826	6820.4575	12.288963	470.2784	73.4263	60.063908	56826	6313.8794	12.284722	473.40128	74.67993	61.15711	56826	6775.1006	12.6030445	485.4413	77.68096	64.12553	56826	6485.5684	13.160475	528.0009	80.254005	68.156204	56826	5693.047	13.4918995	539.0851	78.35498	65.806885	56826	5972.3276	13.246822	527.5522	40.30694	38.97708	56826	331.87488	5.721962	45.277737	35.942303	35.153774	56826	239.66716	4.973452	34.54688	39.253407	37.74303	56826	321.44333	5.416505	40.46797	121.979324	114.44022	56826	2209.3738	481.24612	12870.197	122.09884	114.43054	56826	1892.1122	448.9975	11929.54	159.82817	148.2982	56826	3845.5134	572.3621	15023.343
F3_S19_subsampled_depth_8G_contig_701	39.398277	36.136726	35304	543.48047	7.002534	267.97546	39.751125	36.391308	35304	573.6952	7.0567474	271.93704	43.195625	39.613937	35304	648.833	7.7343106	297.90857	49.77684	45.6823	35304	824.74347	8.966216	359.7266	47.281902	43.2475	35304	765.0677	8.432661	336.937	47.31359	43.594437	35304	711.20325	8.488709	338.0613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7549639	2.466972	30801	8.510206	13.099479	350.32565	1.9658076	1.7397914	27039	6.01021	8.103235	215.29724	2.8830574	2.5916877	32150	12.154986	11.447456	300.47226
F3_S19_subsampled_depth_8G_contig_1004	5.7118044	5.448703	12260	12.4186325	0.94549865	36.182655	5.7562413	5.1911855	12125	23.681122	0.95477945	36.793167	5.9180737	5.551746	12052	18.25137	1.0059882	38.74842	5.187283	4.7979536	11909	16.870546	0.8793425	35.279427	5.1485014	4.817521	12029	14.653932	0.8637487	34.512104	5.1543994	4.8258686	11851	15.082736	0.873627	34.79204	2.3061323	2.1516023	10792	3.4763303	0.33410108	2.643732	2.164418	2.0047572	9771	3.7909188	0.30019727	2.0852463	2.623495	2.5175478	10810	3.913663	0.36296073	2.711764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F3_S19_subsampled_depth_8G_contig_1778	60.61148	61.014355	21588	110.34493	10.104497	386.68243	61.65182	61.971863	21588	125.219666	10.279355	396.1227	65.48258	65.969376	21593	145.61067	11.020453	424.48328	63.229214	63.552723	21593	144.64322	10.674039	428.2448	65.94311	66.62211	21593	145.90878	11.044031	441.27747	64.8191	64.973885	21593	142.20184	10.928614	435.2302	34.30765	34.282295	21591	56.484283	4.869262	38.530346	31.330038	31.507746	21593	59.887745	4.302251	29.88452	32.509445	32.6291	21593	60.707397	4.4726696	33.41635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F3_S19_subsampled_depth_8G_contig_1968	7.3714585	7.206256	11474	12.0140505	1.2451472	47.64974	7.557716	7.4596286	11209	12.386593	1.285678	49.54458	7.303009	7.1540565	11376	14.944517	1.2619805	48.60869	6.369787	6.2236557	11245	10.754666	1.0960363	43.97321	6.3440967	6.1481915	11282	11.949956	1.0844662	43.33116	6.4778285	6.260313	11227	13.373858	1.1116575	44.271545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7457329	1.6330401	8681	2.482637	7.3274784	195.96233	1.7423016	1.6194526	8682	2.4334536	6.5925956	175.16049	1.9665669	1.7970674	9152	3.1666782	7.2976656	191.54887
F3_S19_subsampled_depth_8G_contig_2430	29.776154	29.480965	45297	69.0307	4.9881487	190.88818	29.174297	28.7046	45220	82.61162	4.8845854	188.23132	29.903316	29.288534	45220	88.00328	5.0565534	194.76712	29.754091	29.281643	45220	83.59039	5.0500164	202.60788	30.18245	29.739227	45222	77.5111	5.078261	202.90797	30.479345	29.892427	45223	93.20029	5.1517787	205.16864	18.845793	17.180813	45221	242.70515	2.6743393	21.161974	14.73037	13.382718	45120	146.07742	2.0376468	14.1540165	17.53009	16.238525	45220	176.63525	2.4168212	18.05664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F3_S19_subsampled_depth_8G_contig_2512	7.456933	7.3144526	22766	10.229673	1.2453055	47.65578	6.169349	6.0890646	22724	6.345407	1.035251	39.89418	6.5225506	6.4572606	22626	7.5068955	1.1048588	42.556694	6.4653344	6.3946257	22565	8.317524	1.095402	43.94776	6.4661746	6.407202	22635	8.022645	1.0871431	43.438118	6.9993367	6.942179	22637	7.7077603	1.1838969	47.148483	3.76185	3.6022794	21606	6.606736	0.53472024	4.231228	3.568403	3.4463549	21621	5.4741626	0.49373576	3.429613	4.0402813	3.921301	21583	6.6947727	0.5601218	4.184801	2.9793067	2.885783	20388	4.034593	11.889832	317.97543	2.9536169	2.8624976	21156	3.6590018	11.019379	292.77713	3.8384771	3.7438593	21782	5.312269	14.013462	367.82486
F3_S19_subsampled_depth_8G_contig_2685	22.716421	21.700808	7244	213.85689	4.024501	154.01103	43.54589	41.931717	7220	763.3404	7.6396513	294.39993	54.024834	52.08505	7285	1169.4989	9.645138	371.50925	6.303471	5.6369457	6908	31.79236	1.1037296	44.28189	7.9619975	7.5246153	6901	34.672676	1.4205368	56.759277	9.090822	8.47447	6711	51.914913	1.6251136	64.719826	73850.914	73907.53	7317	1548750700	10314.2705	81616.56	72485.94	72534.35	7317	1487462000	9843.034	68372.2	54056.992	54068.29	7317	836428100	7337.927	54823.363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
