Contig	F3_S19_subsampled_depth_6G_combined_mapped Mean	F3_S19_subsampled_depth_6G_combined_mapped Trimmed Mean	F3_S19_subsampled_depth_6G_combined_mapped Covered Bases	F3_S19_subsampled_depth_6G_combined_mapped Variance	F3_S19_subsampled_depth_6G_combined_mapped RPKM	F3_S19_subsampled_depth_6G_combined_mapped TPM	F4_S20_subsampled_depth_6G_combined_mapped Mean	F4_S20_subsampled_depth_6G_combined_mapped Trimmed Mean	F4_S20_subsampled_depth_6G_combined_mapped Covered Bases	F4_S20_subsampled_depth_6G_combined_mapped Variance	F4_S20_subsampled_depth_6G_combined_mapped RPKM	F4_S20_subsampled_depth_6G_combined_mapped TPM	F5_S21_subsampled_depth_6G_combined_mapped Mean	F5_S21_subsampled_depth_6G_combined_mapped Trimmed Mean	F5_S21_subsampled_depth_6G_combined_mapped Covered Bases	F5_S21_subsampled_depth_6G_combined_mapped Variance	F5_S21_subsampled_depth_6G_combined_mapped RPKM	F5_S21_subsampled_depth_6G_combined_mapped TPM	F6_S22_subsampled_depth_6G_combined_mapped Mean	F6_S22_subsampled_depth_6G_combined_mapped Trimmed Mean	F6_S22_subsampled_depth_6G_combined_mapped Covered Bases	F6_S22_subsampled_depth_6G_combined_mapped Variance	F6_S22_subsampled_depth_6G_combined_mapped RPKM	F6_S22_subsampled_depth_6G_combined_mapped TPM	F7_S23_subsampled_depth_6G_combined_mapped Mean	F7_S23_subsampled_depth_6G_combined_mapped Trimmed Mean	F7_S23_subsampled_depth_6G_combined_mapped Covered Bases	F7_S23_subsampled_depth_6G_combined_mapped Variance	F7_S23_subsampled_depth_6G_combined_mapped RPKM	F7_S23_subsampled_depth_6G_combined_mapped TPM	F8_S24_subsampled_depth_6G_combined_mapped Mean	F8_S24_subsampled_depth_6G_combined_mapped Trimmed Mean	F8_S24_subsampled_depth_6G_combined_mapped Covered Bases	F8_S24_subsampled_depth_6G_combined_mapped Variance	F8_S24_subsampled_depth_6G_combined_mapped RPKM	F8_S24_subsampled_depth_6G_combined_mapped TPM	GP3_S28_subsampled_depth_6G_combined_mapped Mean	GP3_S28_subsampled_depth_6G_combined_mapped Trimmed Mean	GP3_S28_subsampled_depth_6G_combined_mapped Covered Bases	GP3_S28_subsampled_depth_6G_combined_mapped Variance	GP3_S28_subsampled_depth_6G_combined_mapped RPKM	GP3_S28_subsampled_depth_6G_combined_mapped TPM	GP4_S29_subsampled_depth_6G_combined_mapped Mean	GP4_S29_subsampled_depth_6G_combined_mapped Trimmed Mean	GP4_S29_subsampled_depth_6G_combined_mapped Covered Bases	GP4_S29_subsampled_depth_6G_combined_mapped Variance	GP4_S29_subsampled_depth_6G_combined_mapped RPKM	GP4_S29_subsampled_depth_6G_combined_mapped TPM	GP5_S30_subsampled_depth_6G_combined_mapped Mean	GP5_S30_subsampled_depth_6G_combined_mapped Trimmed Mean	GP5_S30_subsampled_depth_6G_combined_mapped Covered Bases	GP5_S30_subsampled_depth_6G_combined_mapped Variance	GP5_S30_subsampled_depth_6G_combined_mapped RPKM	GP5_S30_subsampled_depth_6G_combined_mapped TPM	M1_S25_subsampled_depth_6G_combined_mapped Mean	M1_S25_subsampled_depth_6G_combined_mapped Trimmed Mean	M1_S25_subsampled_depth_6G_combined_mapped Covered Bases	M1_S25_subsampled_depth_6G_combined_mapped Variance	M1_S25_subsampled_depth_6G_combined_mapped RPKM	M1_S25_subsampled_depth_6G_combined_mapped TPM	M2_S26_subsampled_depth_6G_combined_mapped Mean	M2_S26_subsampled_depth_6G_combined_mapped Trimmed Mean	M2_S26_subsampled_depth_6G_combined_mapped Covered Bases	M2_S26_subsampled_depth_6G_combined_mapped Variance	M2_S26_subsampled_depth_6G_combined_mapped RPKM	M2_S26_subsampled_depth_6G_combined_mapped TPM	M3_S27_subsampled_depth_6G_combined_mapped Mean	M3_S27_subsampled_depth_6G_combined_mapped Trimmed Mean	M3_S27_subsampled_depth_6G_combined_mapped Covered Bases	M3_S27_subsampled_depth_6G_combined_mapped Variance	M3_S27_subsampled_depth_6G_combined_mapped RPKM	M3_S27_subsampled_depth_6G_combined_mapped TPM
F3_S19_subsampled_depth_6G_contig_1134	8.160856	8.028375	36371	20.252502	1.8217062	69.43112	7.4067755	7.270062	35434	19.819084	1.6611087	63.83723	7.7329035	7.5626774	36210	20.358438	1.7393216	66.72524	7.071156	6.9147544	36155	16.302885	1.5989649	63.781124	6.6072965	6.48819	35049	16.03528	1.4852123	59.049923	6.887231	6.7540154	35489	16.416233	1.5564467	61.66246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.364202	17.101429	35832	113.169525	94.46726	2647.4514	18.800165	18.537258	36176	129.63052	94.47219	2628.6016	19.41687	19.20432	36135	138.87875	95.100204	2629.6748
F3_S19_subsampled_depth_6G_contig_1314	29.525558	28.855774	17189	175.48001	7.0591984	269.04892	29.722284	28.831192	17189	191.71722	7.1569	275.04312	31.053349	30.173567	17189	163.51547	7.4769354	286.83627	35.529842	34.609833	17189	187.53862	8.515693	339.68283	37.501614	36.599464	17189	200.56541	8.93005	355.04605	36.771233	35.79396	17189	219.37871	8.830896	349.85773	3.2220201	3.1312513	16406	3.8189397	0.6237522	5.018812	3.409531	3.2963421	16551	4.3161345	0.6387741	4.466558	3.8214684	3.6897697	16645	4.9182363	0.7239427	5.3498654	4.920946	4.6669493	16862	13.565238	31.192736	874.1786	4.147661	4.023342	16648	6.0510917	21.865955	608.3998	5.687012	5.5113125	16982	12.47094	29.70655	821.43414
F3_S19_subsampled_depth_6G_contig_1460	5.9290705	5.7163563	17121	12.128917	1.3245883	50.484386	6.5665035	6.352355	16873	16.658031	1.4711733	56.537888	5.8547053	5.634511	17152	11.261924	1.3216337	50.701603	5.0184603	4.835727	16651	9.095517	1.1335062	45.21448	4.978628	4.8007245	16785	8.722914	1.1181376	44.455544	5.171966	4.976967	16631	10.794664	1.166846	46.22751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F3_S19_subsampled_depth_6G_contig_1491	3.9843595	3.8188086	3915	7.326053	0.90054995	34.32288	10.851291	10.83315	4061	24.12365	2.491227	95.73905	17.638779	17.79785	4153	49.813602	4.1825747	160.45525	2.3234856	2.2098732	3329	3.4600194	0.544754	21.72972	0	0	0	0	0	0	0	0	0	0	0	0	66774.24	67761.73	4096	541412030	12206.979	98219.32	87230.695	88519.914	4095	878341100	15508.58	108442.03	90865.43	92228.54	4096	977981060	16150.53	119350.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F3_S19_subsampled_depth_6G_contig_1927	8418.308	8475.595	21210	22376846	1870.0494	71273.65	8396.341	8451.24	21210	22247828	1864.4176	71650.45	8358.526	8417.53	21210	21952534	1872.3716	71829.43	7382.357	7435.1226	21210	17037128	1659.1879	66183.41	7762.318	7816.227	21210	18458300	1730.8153	68814.766	7600.626	7656.73	21210	17833196	1705.296	67559.52	4388.04	4337.2163	21210	7509114	825.9553	6645.769	3820.6855	3776.826	21210	5717048	698.9327	4887.2104	4384.791	4326.822	21210	7694987.5	802.5293	5930.615	9.725926	9.463755	20542	42.669647	51.084328	1431.6416	10.803229	10.615543	20116	53.857758	53.408405	1486.0398	12.693305	12.5214205	20435	68.28387	61.440468	1698.9285
F3_S19_subsampled_depth_6G_contig_2017	17.843699	17.471708	28544	60.888687	4.1898007	159.68694	17.77365	17.48693	28544	58.093475	4.1604495	159.88809	20.099846	19.673346	28544	77.057304	4.761204	182.65314	19.907093	19.450853	28544	83.75659	4.7448826	189.26869	20.242727	19.84669	28544	67.76028	4.7663336	189.5026	20.059484	19.611128	28544	77.39571	4.7369275	187.6651	5.363316	4.9890437	27676	16.459623	1.0237855	8.237545	5.0160246	4.8385115	27101	11.757253	0.9284029	6.4917545	5.0604	4.8379636	26983	12.843143	0.938457	6.9351087	0	0	0	0	0	0	0	0	0	0	0	0	1.5292315	1.3907497	21739	3.2163644	8.140679	225.103
F3_S19_subsampled_depth_6G_contig_2154	50.848846	49.92609	35386	413.946	11.500437	438.31885	53.045662	52.170525	35386	446.95218	11.9619055	459.70172	54.984447	53.914677	35386	478.80096	12.536293	480.92734	61.684982	60.761967	35386	573.3656	14.081	561.67737	60.453995	59.81595	35386	538.5005	13.739808	546.2754	63.49651	62.659645	35386	582.2138	14.479076	573.6244	7.415002	6.5657125	32241	61.04443	1.4030371	11.289065	6.6848392	5.926846	31427	49.24039	1.2310466	8.607956	6.7954082	5.997351	32334	52.44956	1.2494832	9.233562	5.8421216	5.669578	34057	13.40442	34.149998	957.05597	4.551311	4.4253325	33646	8.182269	22.953512	638.66003	6.6349754	6.4772024	35032	13.866865	32.318634	893.6627
F3_S19_subsampled_depth_6G_contig_2186	52.33482	50.281063	61843	1577.0237	11.89521	453.36502	54.12546	51.988167	61843	1735.1519	12.293702	472.4528	57.32589	54.89956	61843	1964.3624	13.140465	504.10535	55.29083	52.797913	61843	2183.987	12.751822	508.65784	57.63443	55.334156	61843	1953.1056	13.154913	523.0206	55.046276	52.61048	61843	2135.2192	12.679444	502.32758	35.81758	35.027916	61843	264.75888	6.774668	54.51006	30.626457	29.744349	61815	204.78345	5.6306987	39.37206	34.526463	33.818623	61843	216.80562	6.3485684	46.91529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F3_S19_subsampled_depth_6G_contig_2392	21.146767	19.325972	6691	249.88307	5.000651	190.59114	41.879223	39.271614	6684	696.2376	9.785064	376.04462	54.997402	51.157127	6691	1416.2086	13.073619	501.54083	6.644397	5.8357396	6447	40.265884	1.5687783	62.57702	7.5399785	6.912859	6400	34.857918	1.7871572	71.054794	8.8825865	8.20214	6565	45.31588	2.118608	83.93391	71409.305	69699.83	6691	1172358900	13315.49	107138.586	70269.195	68569.664	6691	1120796500	12742.673	89101.75	52456.258	51195.7	6691	622246800	9512.523	70296.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F3_S19_subsampled_depth_6G_contig_2528	3.0208154	2.9837933	12345	2.726424	0.6727646	25.64125	2.7447765	2.6835742	11893	2.9283113	0.61483663	23.628452	2.2138295	2.0523872	10536	3.571684	0.49348715	18.931555	2.7870378	2.70311	11456	3.1600528	0.62206215	24.813465	2.9560041	2.8775296	12281	3.0261357	0.65882635	26.194	2.8501143	2.7709155	11535	3.448673	0.6395176	25.33607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
