Contig	F3_S19_subsampled_depth_4G_combined_mapped Mean	F3_S19_subsampled_depth_4G_combined_mapped Trimmed Mean	F3_S19_subsampled_depth_4G_combined_mapped Covered Bases	F3_S19_subsampled_depth_4G_combined_mapped Variance	F3_S19_subsampled_depth_4G_combined_mapped RPKM	F3_S19_subsampled_depth_4G_combined_mapped TPM	F4_S20_subsampled_depth_4G_combined_mapped Mean	F4_S20_subsampled_depth_4G_combined_mapped Trimmed Mean	F4_S20_subsampled_depth_4G_combined_mapped Covered Bases	F4_S20_subsampled_depth_4G_combined_mapped Variance	F4_S20_subsampled_depth_4G_combined_mapped RPKM	F4_S20_subsampled_depth_4G_combined_mapped TPM	F5_S21_subsampled_depth_4G_combined_mapped Mean	F5_S21_subsampled_depth_4G_combined_mapped Trimmed Mean	F5_S21_subsampled_depth_4G_combined_mapped Covered Bases	F5_S21_subsampled_depth_4G_combined_mapped Variance	F5_S21_subsampled_depth_4G_combined_mapped RPKM	F5_S21_subsampled_depth_4G_combined_mapped TPM	F6_S22_subsampled_depth_4G_combined_mapped Mean	F6_S22_subsampled_depth_4G_combined_mapped Trimmed Mean	F6_S22_subsampled_depth_4G_combined_mapped Covered Bases	F6_S22_subsampled_depth_4G_combined_mapped Variance	F6_S22_subsampled_depth_4G_combined_mapped RPKM	F6_S22_subsampled_depth_4G_combined_mapped TPM	F7_S23_subsampled_depth_4G_combined_mapped Mean	F7_S23_subsampled_depth_4G_combined_mapped Trimmed Mean	F7_S23_subsampled_depth_4G_combined_mapped Covered Bases	F7_S23_subsampled_depth_4G_combined_mapped Variance	F7_S23_subsampled_depth_4G_combined_mapped RPKM	F7_S23_subsampled_depth_4G_combined_mapped TPM	F8_S24_subsampled_depth_4G_combined_mapped Mean	F8_S24_subsampled_depth_4G_combined_mapped Trimmed Mean	F8_S24_subsampled_depth_4G_combined_mapped Covered Bases	F8_S24_subsampled_depth_4G_combined_mapped Variance	F8_S24_subsampled_depth_4G_combined_mapped RPKM	F8_S24_subsampled_depth_4G_combined_mapped TPM	GP3_S28_subsampled_depth_4G_combined_mapped Mean	GP3_S28_subsampled_depth_4G_combined_mapped Trimmed Mean	GP3_S28_subsampled_depth_4G_combined_mapped Covered Bases	GP3_S28_subsampled_depth_4G_combined_mapped Variance	GP3_S28_subsampled_depth_4G_combined_mapped RPKM	GP3_S28_subsampled_depth_4G_combined_mapped TPM	GP4_S29_subsampled_depth_4G_combined_mapped Mean	GP4_S29_subsampled_depth_4G_combined_mapped Trimmed Mean	GP4_S29_subsampled_depth_4G_combined_mapped Covered Bases	GP4_S29_subsampled_depth_4G_combined_mapped Variance	GP4_S29_subsampled_depth_4G_combined_mapped RPKM	GP4_S29_subsampled_depth_4G_combined_mapped TPM	GP5_S30_subsampled_depth_4G_combined_mapped Mean	GP5_S30_subsampled_depth_4G_combined_mapped Trimmed Mean	GP5_S30_subsampled_depth_4G_combined_mapped Covered Bases	GP5_S30_subsampled_depth_4G_combined_mapped Variance	GP5_S30_subsampled_depth_4G_combined_mapped RPKM	GP5_S30_subsampled_depth_4G_combined_mapped TPM	M1_S25_subsampled_depth_4G_combined_mapped Mean	M1_S25_subsampled_depth_4G_combined_mapped Trimmed Mean	M1_S25_subsampled_depth_4G_combined_mapped Covered Bases	M1_S25_subsampled_depth_4G_combined_mapped Variance	M1_S25_subsampled_depth_4G_combined_mapped RPKM	M1_S25_subsampled_depth_4G_combined_mapped TPM	M2_S26_subsampled_depth_4G_combined_mapped Mean	M2_S26_subsampled_depth_4G_combined_mapped Trimmed Mean	M2_S26_subsampled_depth_4G_combined_mapped Covered Bases	M2_S26_subsampled_depth_4G_combined_mapped Variance	M2_S26_subsampled_depth_4G_combined_mapped RPKM	M2_S26_subsampled_depth_4G_combined_mapped TPM	M3_S27_subsampled_depth_4G_combined_mapped Mean	M3_S27_subsampled_depth_4G_combined_mapped Trimmed Mean	M3_S27_subsampled_depth_4G_combined_mapped Covered Bases	M3_S27_subsampled_depth_4G_combined_mapped Variance	M3_S27_subsampled_depth_4G_combined_mapped RPKM	M3_S27_subsampled_depth_4G_combined_mapped TPM
F3_S19_subsampled_depth_4G_contig_568	17.876032	17.642857	16388	25.879133	6.0302143	251.81073	19.635855	19.470444	16388	23.874977	6.6325316	279.4248	22.443773	22.234333	16388	29.336224	7.6350946	321.7319	23.227922	23.003216	16388	36.448696	7.966926	345.4357	23.422466	23.299603	16388	40.456364	7.9956317	348.18234	24.361559	24.046934	16388	37.283504	8.289515	358.4395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4913783	2.3597426	13937	3.8205516	24.859842	695.6783	1.6014287	1.5036945	12677	1.8299223	12.642673	351.43478	2.575194	2.5045156	14905	2.711566	20.286674	560.4938
F3_S19_subsampled_depth_4G_contig_900	3.524085	3.3713186	28373	5.7205486	1.1822323	49.36785	4.1032023	3.9979818	28952	5.515033	1.3730559	57.846085	4.006829	3.845717	29207	5.944684	1.3461483	56.72475	3.940763	3.8346164	29062	4.771241	1.3368363	57.963486	3.6794605	3.5663776	28280	5.213597	1.2332337	53.703102	4.144813	4.011736	29064	6.5006075	1.3966554	60.391537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.694463	3.5772164	27486	6.180771	30.769444	861.0527	4.0340085	3.904059	28089	6.241687	31.85894	885.599	3.8604345	3.7458515	28712	5.269686	30.035618	829.8438
F3_S19_subsampled_depth_4G_contig_1228	2.979255	2.8834658	15961	4.0268245	0.99422944	41.517223	2.8702424	2.755633	15826	3.7436802	0.95573795	40.26471	2.522924	2.4539995	15317	2.8356116	0.8443925	35.581463	3.33436	3.2348764	16260	4.518718	1.1196924	48.548412	3.193329	3.0628834	15414	4.6918755	1.0642176	46.343025	3.2132604	3.0748918	15181	5.421625	1.0849711	46.91426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F3_S19_subsampled_depth_4G_contig_1245	478.95044	477.23407	34334	4400.6343	159.66	6667.111	472.05286	469.67245	34334	4219.735	157.23477	6624.214	468.81836	466.94016	34334	3797.267	157.56088	6639.3867	468.18753	466.7442	34334	4061.2805	157.89366	6846.065	481.4406	479.90598	34334	3622.8384	161.1578	7017.8687	476.34805	474.72845	34334	4223.3745	160.23953	6928.776	165.23642	163.64299	34334	2239.4438	46.76073	375.025	141.70808	139.95804	34334	1817.8131	39.011574	271.83386	168.45215	166.99223	34334	2423.426	46.379864	344.67767	3.824567	3.7279465	33146	4.725183	32.103603	898.38776	4.9677043	4.9279075	33684	5.2465353	39.17245	1088.8961	5.0036273	4.9428916	33985	5.820832	38.63065	1067.3126
F3_S19_subsampled_depth_4G_contig_1400	11.08207	10.674389	15064	44.601463	3.7343814	155.94095	11.580997	11.323376	15064	35.201946	3.8880801	163.80263	11.416186	11.020337	15023	47.89712	3.8786747	163.4417	11.893858	11.435712	15009	57.18628	4.029584	174.71754	11.973045	11.636845	15064	41.16216	4.0275245	175.38481	12.953265	12.607047	15064	54.452526	4.3843575	189.58014	5.86335	5.687202	14661	14.302119	1.6612694	13.323518	3.5988333	3.4021156	14308	7.109556	0.9972346	6.9487658	5.8251977	5.663513	14787	13.469408	1.6331276	12.13679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F3_S19_subsampled_depth_4G_contig_1732	251.68874	245.59705	62558	9603.719	84.153046	3514.078	248.12578	242.76006	62557	8858.44	82.91012	3492.9583	251.523	245.0745	62549	10330.513	84.766624	3571.9417	267.23834	254.18204	62558	15585.468	90.341995	3917.111	255.93776	243.32742	62544	14264.562	85.90016	3740.656	265.35046	252.79527	62558	14713.582	89.54852	3872.0884	121.65915	121.15218	62476	4325.7075	34.49247	276.6325	101.950806	101.408775	62558	2907.038	28.112902	195.8917	117.758156	116.97748	62549	3829.9211	32.471497	241.31586	5.942427	5.8485436	60806	10.466234	51.548634	1442.5378	4.7054706	4.6247687	60040	7.14268	37.226166	1034.7946	5.9635305	5.875908	61165	9.849135	46.454514	1283.4762
F3_S19_subsampled_depth_4G_contig_2181	105.89718	104.473656	40697	519.35913	35.359463	1476.5466	106.00812	104.505684	40697	502.66068	35.353016	1489.4031	106.73527	105.04735	40697	508.15408	35.91723	1513.4999	154.49838	152.99619	40697	739.2133	52.171783	2262.101	157.49498	156.25336	40697	686.3995	52.77169	2298.0254	156.82541	155.16006	40697	836.51636	52.816265	2283.7805	64.30693	60.10339	40697	1240.191	18.240166	146.28773	55.5777	51.71641	40697	926.2074	15.314694	106.713295	61.608677	57.984245	40697	996.7774	17.00315	126.36096	5.512812	5.3440385	40256	8.79441	47.805923	1337.8019	4.6700125	4.5167017	39956	6.683885	37.440617	1040.7555	6.5127134	6.384978	40555	8.5985365	51.471066	1422.0763
F3_S19_subsampled_depth_4G_contig_2237	1831.7992	1851.7544	13076	149373.13	608.02075	25389.842	1740.34	1756.5327	13050	146302.88	577.34216	24323.11	1888.4786	1913.063	13063	142236.03	632.11694	26636.488	1714.7821	1736.0043	13034	111861.42	575.77405	24964.814	1709.003	1729.0159	13030	118291.88	569.6732	24807.31	1722.145	1742.7142	13043	109374.55	576.9693	24948.215	577.25574	580.4527	13066	65227.676	162.22926	1301.092	476.6584	480.3608	13039	40856.52	130.4222	908.7861	684.436	688.6248	13062	79423.66	187.04797	1390.0701	4.917305	4.821487	12662	6.7396407	41.32696	1156.4949	5.1723523	5.1142244	12863	4.705864	40.650417	1129.9806	4.6607103	4.552471	12702	5.6558776	35.73458	987.29865
F3_S19_subsampled_depth_4G_contig_2588	5.0099573	4.837303	13545	8.997356	1.6785692	70.09396	4.1393995	3.980218	13146	7.94844	1.3952146	58.779617	5.301548	5.069681	13038	15.376065	1.7940743	75.599655	5.3638344	5.2056518	13522	9.823568	1.8181118	78.83094	4.8047094	4.5966897	13321	10.441216	1.6185012	70.4802	5.545098	5.383367	13383	13.364136	1.8796644	81.27694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F3_S19_subsampled_depth_4G_contig_2665	39.445946	33.194138	54966	1492.6542	13.223324	552.1818	39.737267	33.53087	54966	1410.604	13.310917	560.7817	38.999653	32.54005	54966	1622.069	13.1969595	556.1007	34.353947	29.340319	54966	1077.6143	11.649818	505.121	35.380035	30.9473	54966	876.19696	11.904714	518.4093	34.357086	29.66941	54966	957.0705	11.608485	501.95215	27.504105	26.622547	54966	153.87933	7.797	62.532578	21.20246	20.848894	54966	71.84807	5.8482223	40.750607	26.503246	25.891195	54966	108.68773	7.303891	54.279736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
