Contig	F3_S19_subsampled_depth_15G_combined_mapped Mean	F3_S19_subsampled_depth_15G_combined_mapped Trimmed Mean	F3_S19_subsampled_depth_15G_combined_mapped Covered Bases	F3_S19_subsampled_depth_15G_combined_mapped Variance	F3_S19_subsampled_depth_15G_combined_mapped RPKM	F3_S19_subsampled_depth_15G_combined_mapped TPM	F4_S20_subsampled_depth_15G_combined_mapped Mean	F4_S20_subsampled_depth_15G_combined_mapped Trimmed Mean	F4_S20_subsampled_depth_15G_combined_mapped Covered Bases	F4_S20_subsampled_depth_15G_combined_mapped Variance	F4_S20_subsampled_depth_15G_combined_mapped RPKM	F4_S20_subsampled_depth_15G_combined_mapped TPM	F5_S21_subsampled_depth_15G_combined_mapped Mean	F5_S21_subsampled_depth_15G_combined_mapped Trimmed Mean	F5_S21_subsampled_depth_15G_combined_mapped Covered Bases	F5_S21_subsampled_depth_15G_combined_mapped Variance	F5_S21_subsampled_depth_15G_combined_mapped RPKM	F5_S21_subsampled_depth_15G_combined_mapped TPM	F6_S22_subsampled_depth_15G_combined_mapped Mean	F6_S22_subsampled_depth_15G_combined_mapped Trimmed Mean	F6_S22_subsampled_depth_15G_combined_mapped Covered Bases	F6_S22_subsampled_depth_15G_combined_mapped Variance	F6_S22_subsampled_depth_15G_combined_mapped RPKM	F6_S22_subsampled_depth_15G_combined_mapped TPM	F7_S23_subsampled_depth_15G_combined_mapped Mean	F7_S23_subsampled_depth_15G_combined_mapped Trimmed Mean	F7_S23_subsampled_depth_15G_combined_mapped Covered Bases	F7_S23_subsampled_depth_15G_combined_mapped Variance	F7_S23_subsampled_depth_15G_combined_mapped RPKM	F7_S23_subsampled_depth_15G_combined_mapped TPM	F8_S24_subsampled_depth_15G_combined_mapped Mean	F8_S24_subsampled_depth_15G_combined_mapped Trimmed Mean	F8_S24_subsampled_depth_15G_combined_mapped Covered Bases	F8_S24_subsampled_depth_15G_combined_mapped Variance	F8_S24_subsampled_depth_15G_combined_mapped RPKM	F8_S24_subsampled_depth_15G_combined_mapped TPM	GP3_S28_subsampled_depth_15G_combined_mapped Mean	GP3_S28_subsampled_depth_15G_combined_mapped Trimmed Mean	GP3_S28_subsampled_depth_15G_combined_mapped Covered Bases	GP3_S28_subsampled_depth_15G_combined_mapped Variance	GP3_S28_subsampled_depth_15G_combined_mapped RPKM	GP3_S28_subsampled_depth_15G_combined_mapped TPM	GP4_S29_subsampled_depth_15G_combined_mapped Mean	GP4_S29_subsampled_depth_15G_combined_mapped Trimmed Mean	GP4_S29_subsampled_depth_15G_combined_mapped Covered Bases	GP4_S29_subsampled_depth_15G_combined_mapped Variance	GP4_S29_subsampled_depth_15G_combined_mapped RPKM	GP4_S29_subsampled_depth_15G_combined_mapped TPM	GP5_S30_subsampled_depth_15G_combined_mapped Mean	GP5_S30_subsampled_depth_15G_combined_mapped Trimmed Mean	GP5_S30_subsampled_depth_15G_combined_mapped Covered Bases	GP5_S30_subsampled_depth_15G_combined_mapped Variance	GP5_S30_subsampled_depth_15G_combined_mapped RPKM	GP5_S30_subsampled_depth_15G_combined_mapped TPM	M1_S25_subsampled_depth_15G_combined_mapped Mean	M1_S25_subsampled_depth_15G_combined_mapped Trimmed Mean	M1_S25_subsampled_depth_15G_combined_mapped Covered Bases	M1_S25_subsampled_depth_15G_combined_mapped Variance	M1_S25_subsampled_depth_15G_combined_mapped RPKM	M1_S25_subsampled_depth_15G_combined_mapped TPM	M2_S26_subsampled_depth_15G_combined_mapped Mean	M2_S26_subsampled_depth_15G_combined_mapped Trimmed Mean	M2_S26_subsampled_depth_15G_combined_mapped Covered Bases	M2_S26_subsampled_depth_15G_combined_mapped Variance	M2_S26_subsampled_depth_15G_combined_mapped RPKM	M2_S26_subsampled_depth_15G_combined_mapped TPM	M3_S27_subsampled_depth_15G_combined_mapped Mean	M3_S27_subsampled_depth_15G_combined_mapped Trimmed Mean	M3_S27_subsampled_depth_15G_combined_mapped Covered Bases	M3_S27_subsampled_depth_15G_combined_mapped Variance	M3_S27_subsampled_depth_15G_combined_mapped RPKM	M3_S27_subsampled_depth_15G_combined_mapped TPM
M2_S26_subsampled_depth_15G_contig_29540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.1776366	7.1042585	3933	10.273565	12.879818	344.3276	7.2254825	7.100147	3933	8.400491	12.437364	330.35876	7.8154902	7.6781206	3933	9.277424	13.799448	364.74216
M2_S26_subsampled_depth_15G_contig_32317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.227682	6.1105084	18444	10.165655	11.468041	306.58533	7.689283	7.5647144	18588	10.530177	13.369084	355.10666	7.4081244	7.3293567	18526	8.793069	12.620628	333.5842
M2_S26_subsampled_depth_15G_contig_32336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.224454	10.232056	29540	1747.3873	30.550268	816.727	13.503109	11.207551	29577	2241.5366	33.094845	879.0584	13.26982	10.92509	29577	2622.8735	32.643795	862.8294
M2_S26_subsampled_depth_15G_contig_33211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2645445	4.092585	12548	8.401333	7.8071203	208.71465	4.4959087	4.3621655	12990	8.01787	7.8061504	207.34534	4.828992	4.6971393	12927	8.668952	8.151921	215.46875
M2_S26_subsampled_depth_15G_contig_33246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.083799	4.9465466	10945	8.209972	9.212917	246.29701	5.8505135	5.6072073	11197	13.902766	10.139625	269.3267	4.699225	4.4824824	10825	8.513834	7.8239503	206.7999
M2_S26_subsampled_depth_15G_contig_34572	12.986822	10.078675	24366	350.47726	1.4299898	46.195118	13.47456	10.621763	24586	324.5815	1.4573346	47.467453	12.231219	9.368024	24533	304.8683	1.3472373	43.942398	12.305771	9.513579	24434	308.42914	1.3919209	47.613167	11.49091	9.139726	24245	240.84442	1.2726142	43.416374	12.707975	9.922048	24365	319.90683	1.4134759	48.062817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.031277	22.779295	24737	13590.06	107.2546	2867.3315	52.938015	26.31321	24737	18043.93	121.480934	3226.7512	61.845486	35.20105	24737	18734.977	134.10118	3544.5164
M2_S26_subsampled_depth_15G_contig_35291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.974138	6.905568	10019	10.398327	12.823922	342.83313	6.826383	6.7504454	10126	8.227497	11.831457	314.26462	7.1664996	7.0964365	10122	7.458092	12.247371	323.7183
M2_S26_subsampled_depth_15G_contig_36261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6713604	1.5529021	13523	2.1260397	0.123706065	0.9407801	0	0	0	0	0	0	6.1736307	6.0292444	17394	10.6109	11.707437	312.9851	7.4684753	7.315561	17549	9.672516	13.072477	347.2283	6.5511813	6.4324117	17371	9.671582	11.272341	297.94666
M2_S26_subsampled_depth_15G_contig_38026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.714169	7.4747014	15935	167.00725	17.835371	476.80856	7.306072	6.2719607	15960	123.36504	13.980634	371.35056	9.549146	8.263457	15960	185.25754	17.8292	471.25534
M2_S26_subsampled_depth_15G_contig_39222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.22336	29.222897	43327	12591.982	83.829575	2241.09	39.429768	30.739687	43327	16466.77	86.10583	2287.1243	36.02543	27.724943	43327	14612.9375	76.5341	2022.923
M2_S26_subsampled_depth_15G_contig_39660	144.82527	126.97393	17046	26394.984	13.0724325	422.29843	134.01543	117.71682	17063	21713.021	12.093459	393.9011	142.15305	123.719185	17046	25530.395	12.943864	422.1857	173.57593	147.24791	17050	46516.92	15.812857	540.90735	172.0152	144.3981	17065	47400.246	15.572586	531.2725	170.83868	142.28798	17049	48948.832	15.549436	528.7319	44.90093	42.32101	16874	1797.1274	3.4102108	30.050163	36.266476	33.731003	16947	1195.772	2.6640553	20.260042	45.256664	42.361725	16994	1765.4935	3.3392856	26.190554	2.891352	2.6823406	14552	5.9673867	5.2883153	141.37727	2.0349352	1.9416169	14728	2.256465	3.5251803	93.63504	2.7594137	2.6751823	15614	3.4397502	4.6511364	122.937225
