Contig	F3_S19_subsampled_depth_3G_combined_mapped Mean	F3_S19_subsampled_depth_3G_combined_mapped Trimmed Mean	F3_S19_subsampled_depth_3G_combined_mapped Covered Bases	F3_S19_subsampled_depth_3G_combined_mapped Variance	F3_S19_subsampled_depth_3G_combined_mapped RPKM	F3_S19_subsampled_depth_3G_combined_mapped TPM	F4_S20_subsampled_depth_3G_combined_mapped Mean	F4_S20_subsampled_depth_3G_combined_mapped Trimmed Mean	F4_S20_subsampled_depth_3G_combined_mapped Covered Bases	F4_S20_subsampled_depth_3G_combined_mapped Variance	F4_S20_subsampled_depth_3G_combined_mapped RPKM	F4_S20_subsampled_depth_3G_combined_mapped TPM	F5_S21_subsampled_depth_3G_combined_mapped Mean	F5_S21_subsampled_depth_3G_combined_mapped Trimmed Mean	F5_S21_subsampled_depth_3G_combined_mapped Covered Bases	F5_S21_subsampled_depth_3G_combined_mapped Variance	F5_S21_subsampled_depth_3G_combined_mapped RPKM	F5_S21_subsampled_depth_3G_combined_mapped TPM	F6_S22_subsampled_depth_3G_combined_mapped Mean	F6_S22_subsampled_depth_3G_combined_mapped Trimmed Mean	F6_S22_subsampled_depth_3G_combined_mapped Covered Bases	F6_S22_subsampled_depth_3G_combined_mapped Variance	F6_S22_subsampled_depth_3G_combined_mapped RPKM	F6_S22_subsampled_depth_3G_combined_mapped TPM	F7_S23_subsampled_depth_3G_combined_mapped Mean	F7_S23_subsampled_depth_3G_combined_mapped Trimmed Mean	F7_S23_subsampled_depth_3G_combined_mapped Covered Bases	F7_S23_subsampled_depth_3G_combined_mapped Variance	F7_S23_subsampled_depth_3G_combined_mapped RPKM	F7_S23_subsampled_depth_3G_combined_mapped TPM	F8_S24_subsampled_depth_3G_combined_mapped Mean	F8_S24_subsampled_depth_3G_combined_mapped Trimmed Mean	F8_S24_subsampled_depth_3G_combined_mapped Covered Bases	F8_S24_subsampled_depth_3G_combined_mapped Variance	F8_S24_subsampled_depth_3G_combined_mapped RPKM	F8_S24_subsampled_depth_3G_combined_mapped TPM	GP3_S28_subsampled_depth_3G_combined_mapped Mean	GP3_S28_subsampled_depth_3G_combined_mapped Trimmed Mean	GP3_S28_subsampled_depth_3G_combined_mapped Covered Bases	GP3_S28_subsampled_depth_3G_combined_mapped Variance	GP3_S28_subsampled_depth_3G_combined_mapped RPKM	GP3_S28_subsampled_depth_3G_combined_mapped TPM	GP4_S29_subsampled_depth_3G_combined_mapped Mean	GP4_S29_subsampled_depth_3G_combined_mapped Trimmed Mean	GP4_S29_subsampled_depth_3G_combined_mapped Covered Bases	GP4_S29_subsampled_depth_3G_combined_mapped Variance	GP4_S29_subsampled_depth_3G_combined_mapped RPKM	GP4_S29_subsampled_depth_3G_combined_mapped TPM	GP5_S30_subsampled_depth_3G_combined_mapped Mean	GP5_S30_subsampled_depth_3G_combined_mapped Trimmed Mean	GP5_S30_subsampled_depth_3G_combined_mapped Covered Bases	GP5_S30_subsampled_depth_3G_combined_mapped Variance	GP5_S30_subsampled_depth_3G_combined_mapped RPKM	GP5_S30_subsampled_depth_3G_combined_mapped TPM	M1_S25_subsampled_depth_3G_combined_mapped Mean	M1_S25_subsampled_depth_3G_combined_mapped Trimmed Mean	M1_S25_subsampled_depth_3G_combined_mapped Covered Bases	M1_S25_subsampled_depth_3G_combined_mapped Variance	M1_S25_subsampled_depth_3G_combined_mapped RPKM	M1_S25_subsampled_depth_3G_combined_mapped TPM	M2_S26_subsampled_depth_3G_combined_mapped Mean	M2_S26_subsampled_depth_3G_combined_mapped Trimmed Mean	M2_S26_subsampled_depth_3G_combined_mapped Covered Bases	M2_S26_subsampled_depth_3G_combined_mapped Variance	M2_S26_subsampled_depth_3G_combined_mapped RPKM	M2_S26_subsampled_depth_3G_combined_mapped TPM	M3_S27_subsampled_depth_3G_combined_mapped Mean	M3_S27_subsampled_depth_3G_combined_mapped Trimmed Mean	M3_S27_subsampled_depth_3G_combined_mapped Covered Bases	M3_S27_subsampled_depth_3G_combined_mapped Variance	M3_S27_subsampled_depth_3G_combined_mapped RPKM	M3_S27_subsampled_depth_3G_combined_mapped TPM
F3_S19_subsampled_depth_3G_contig_506	25.662897	25.15238	43134	76.294464	11.464276	462.0966	23.705309	23.306467	43134	54.542236	10.587252	430.59448	25.10718	24.727911	43134	71.259384	11.31891	460.51083	22.459986	22.081657	43134	51.31622	10.157999	426.0845	21.741415	21.321926	43134	54.41479	9.75559	411.116	22.403522	22.171535	43134	58.918037	10.1220255	423.3527	10.410246	9.890374	43123	37.45839	3.940677	32.192574	8.471827	8.030347	43028	26.619913	3.1224751	22.17468	9.847129	9.538075	43039	26.73393	3.6199074	27.287603	26.66269	26.547873	43134	34.6584	300.74777	8074.009	28.909037	28.73466	43134	38.566967	306.8409	8161.31	25.340126	25.251719	43131	32.26836	263.86987	7049.6
F3_S19_subsampled_depth_3G_contig_605	1.9709073	1.9550931	2058	1.4175055	0.86645895	34.92482	4.5798817	4.456736	1765	8.719318	2.040174	82.97599	6.1464496	6.0016427	1890	17.060438	2.8695025	116.745926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26171.307	26694.318	1937	205908480	9277.087	75787.305	34093.74	34781.633	1921	348123740	11746.556	83419.73	35559.42	36294.977	1931	373500350	12247.228	92322.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F3_S19_subsampled_depth_3G_contig_784	9.882331	8.700919	18532	64.9151	4.7497277	191.44969	9.23659	7.9177346	18532	69.45574	4.388598	178.48888	9.886465	8.753143	18532	59.6319	4.7690477	194.02908	8.24301	6.8157034	18520	70.00117	4.0110583	168.24678	6.9371123	6.125544	18484	29.836098	3.3157022	139.72884	7.8005657	6.8519707	18499	42.212334	3.7612815	157.31517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F3_S19_subsampled_depth_3G_contig_835	39.145752	37.320496	45035	246.52135	17.523365	706.32336	37.19414	35.45189	45035	223.84476	16.643444	676.9061	41.02845	38.981335	45035	329.93842	18.519054	753.4489	51.045204	49.11184	45035	345.87665	23.163858	971.62506	46.951054	45.005272	45035	308.34836	21.13573	890.6933	50.28611	48.415947	45035	317.25122	22.763182	952.0682	10.922134	10.61054	44881	41.455284	4.1295958	33.735916	9.438654	9.164245	44676	31.526657	3.480543	24.71753	10.77781	10.407332	44614	44.23834	3.9708095	29.932781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F3_S19_subsampled_depth_3G_contig_1127	5.222666	5.1118402	18690	7.0975394	2.3337648	94.06824	4.740835	4.6219187	18677	6.6024594	2.125141	86.43168	4.7967544	4.653839	18363	8.359774	2.155046	87.67823	4.5352488	4.4361296	18387	6.3907313	2.0589993	86.36617	4.409098	4.269374	18495	6.5238605	1.9767377	83.30281	4.7696195	4.69309	18572	6.0505714	2.1558316	90.16747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F3_S19_subsampled_depth_3G_contig_1358	205.49944	202.835	45519	7111.718	91.91193	3704.742	210.31125	208.02826	45519	7207.7954	94.005196	3823.289	199.21169	195.99733	45519	7160.381	89.87653	3656.6338	212.64943	209.97604	45519	8164.156	96.32356	4040.3608	205.81654	203.21559	45519	7062.653	92.471115	3896.8792	213.5852	210.64825	45519	7872.097	96.582214	4039.5422	7.6778636	7.471628	45155	21.109394	2.9178128	23.836494	7.10732	6.824333	45269	19.199667	2.6123364	18.551863	11.854813	11.520364	45496	41.256016	4.357823	32.850155	0	0	0	0	0	0	0	0	0	0	0	0	2.2238975	2.0842457	37787	3.3025405	23.156061	618.6417
F3_S19_subsampled_depth_3G_contig_1493	348.0833	299.20972	125493	107471.34	155.84715	6281.811	356.37463	308.88174	125493	105109.14	159.396	6482.7993	339.9736	290.27057	125493	109595.375	153.45937	6243.5063	477.82184	431.15866	125493	101979.33	216.57336	9084.326	491.84372	448.99673	125493	94284.08	221.1424	9319.291	479.53036	432.93463	125493	104944.914	216.95975	9074.321	269.31055	235.84944	125493	60912.5	102.15347	834.52264	224.74257	198.42491	125493	39189.105	82.86275	588.4608	238.26329	207.08961	125493	51744.184	87.87396	662.4119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F3_S19_subsampled_depth_3G_contig_1791	5026.7856	4901.5176	95571	818254.94	2249.5916	90675.45	5204.54	5070.317	95571	916893.44	2326.975	94640.49	5211.572	5065.7583	95571	1016540.8	2351.3135	95663.375	5390.8735	5223.977	95571	1325470.8	2442.3652	102446.78	5640.1836	5482.2876	95571	1264471.1	2534.3167	106800.13	5353.9556	5194.719	95571	1228441.5	2420.9026	101254.03	2663.821	2623.9521	95571	485617.84	1010.24396	8252.985	2337.2244	2301.416	95571	359985.1	861.4024	6117.3643	2578.8613	2540.2136	95571	415991.5	950.6183	7165.954	10.14458	9.930088	95400	17.556162	114.92952	3085.4497	10.382296	10.168691	95545	16.15893	110.18838	2930.776	10.532158	10.349759	95539	16.401247	109.63423	2929.01
F3_S19_subsampled_depth_3G_contig_1835	6.1324935	6.019674	10709	6.839328	2.7251275	109.84317	5.169713	5.08364	10615	6.4108615	2.32613	94.60615	5.048963	5.0231457	10682	3.9393528	2.2963407	93.42686	5.8652334	5.685534	10695	8.002957	2.6936817	112.9884	5.7975187	5.6305103	10667	9.201089	2.6259007	110.6596	5.1936736	5.079958	10653	6.2560086	2.3899956	99.96137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F3_S19_subsampled_depth_3G_contig_2187	11.390804	11.2214365	34556	14.97722	5.1354113	206.99562	11.548131	11.421301	34555	14.172061	5.201983	211.56999	12.268703	12.132855	34555	16.698183	5.569289	226.58699	11.74272	11.644869	34555	14.397747	5.34614	224.24765	11.6675	11.600174	34555	15.784108	5.2621446	221.75517	11.518805	11.349351	34555	15.0693	5.2476993	219.48456	6.48291	6.3115673	33042	15.5984745	2.4578032	20.078543	5.876562	5.7831817	33145	11.312738	2.1626632	15.358444	6.17651	6.087257	33347	11.651591	2.2744205	17.14504	18.44527	18.393852	34555	25.528862	209.59853	5626.977	17.637941	17.52464	34555	18.670048	188.08995	5002.7925	16.816282	16.730963	34555	18.037016	175.5924	4691.1626
